dataset_source,treatment_period,token_range,event_rows,unique_bodies,agc_count,hwc_count,agc_share_within_range,hwc_share_within_range
control,control,100-110,788,639,123,665,0.15609137055837563,0.8439086294416244
control,control,111-120,689,546,84,605,0.12191582002902758,0.8780841799709724
control,control,121-130,645,516,95,550,0.14728682170542637,0.8527131782945736
control,control,131-140,617,480,101,516,0.16369529983792544,0.8363047001620746
control,control,141-150,543,440,78,465,0.143646408839779,0.856353591160221
control,control,151-160,498,415,66,432,0.13253012048192772,0.8674698795180723
control,control,161-170,479,386,67,412,0.13987473903966596,0.860125260960334
control,control,171-180,455,346,59,396,0.12967032967032968,0.8703296703296703
control,control,181-190,397,300,65,332,0.163727959697733,0.836272040302267
control,control,191-200,375,301,46,329,0.12266666666666666,0.8773333333333333
control,event,100-110,0,0,0,0,,
control,event,111-120,0,0,0,0,,
control,event,121-130,0,0,0,0,,
control,event,131-140,0,0,0,0,,
control,event,141-150,0,0,0,0,,
control,event,151-160,0,0,0,0,,
control,event,161-170,0,0,0,0,,
control,event,171-180,0,0,0,0,,
control,event,181-190,0,0,0,0,,
control,event,191-200,0,0,0,0,,
control,post,100-110,0,0,0,0,,
control,post,111-120,0,0,0,0,,
control,post,121-130,0,0,0,0,,
control,post,131-140,0,0,0,0,,
control,post,141-150,0,0,0,0,,
control,post,151-160,0,0,0,0,,
control,post,161-170,0,0,0,0,,
control,post,171-180,0,0,0,0,,
control,post,181-190,0,0,0,0,,
control,post,191-200,0,0,0,0,,
control,pre,100-110,0,0,0,0,,
control,pre,111-120,0,0,0,0,,
control,pre,121-130,0,0,0,0,,
control,pre,131-140,0,0,0,0,,
control,pre,141-150,0,0,0,0,,
control,pre,151-160,0,0,0,0,,
control,pre,161-170,0,0,0,0,,
control,pre,171-180,0,0,0,0,,
control,pre,181-190,0,0,0,0,,
control,pre,191-200,0,0,0,0,,
treatment,control,100-110,0,0,0,0,,
treatment,control,111-120,0,0,0,0,,
treatment,control,121-130,0,0,0,0,,
treatment,control,131-140,0,0,0,0,,
treatment,control,141-150,0,0,0,0,,
treatment,control,151-160,0,0,0,0,,
treatment,control,161-170,0,0,0,0,,
treatment,control,171-180,0,0,0,0,,
treatment,control,181-190,0,0,0,0,,
treatment,control,191-200,0,0,0,0,,
treatment,event,100-110,284,260,69,215,0.24295774647887325,0.7570422535211268
treatment,event,111-120,260,243,57,203,0.21923076923076923,0.7807692307692308
treatment,event,121-130,205,191,63,142,0.3073170731707317,0.6926829268292682
treatment,event,131-140,172,166,51,121,0.29651162790697677,0.7034883720930233
treatment,event,141-150,204,189,57,147,0.27941176470588236,0.7205882352941176
treatment,event,151-160,149,138,40,109,0.2684563758389262,0.7315436241610739
treatment,event,161-170,145,138,47,98,0.32413793103448274,0.6758620689655173
treatment,event,171-180,169,159,35,134,0.20710059171597633,0.7928994082840237
treatment,event,181-190,122,117,35,87,0.28688524590163933,0.7131147540983607
treatment,event,191-200,150,143,32,118,0.21333333333333335,0.7866666666666666
treatment,post,100-110,996,879,126,870,0.12650602409638553,0.8734939759036144
treatment,post,111-120,883,740,116,767,0.13137032842582105,0.8686296715741789
treatment,post,121-130,772,686,118,654,0.15284974093264247,0.8471502590673575
treatment,post,131-140,770,686,115,655,0.14935064935064934,0.8506493506493507
treatment,post,141-150,693,614,79,614,0.113997113997114,0.886002886002886
treatment,post,151-160,675,591,81,594,0.12,0.88
treatment,post,161-170,694,599,87,607,0.12536023054755044,0.8746397694524496
treatment,post,171-180,555,493,77,478,0.13873873873873874,0.8612612612612612
treatment,post,181-190,603,512,74,529,0.12271973466003316,0.8772802653399668
treatment,post,191-200,532,468,63,469,0.11842105263157894,0.881578947368421
treatment,pre,100-110,1177,992,114,1063,0.09685641461342395,0.903143585386576
treatment,pre,111-120,981,833,113,868,0.11518858307849134,0.8848114169215087
treatment,pre,121-130,927,789,105,822,0.11326860841423948,0.8867313915857605
treatment,pre,131-140,871,721,97,774,0.1113662456946039,0.8886337543053962
treatment,pre,141-150,747,634,66,681,0.08835341365461848,0.9116465863453815
treatment,pre,151-160,725,629,79,646,0.10896551724137932,0.8910344827586207
treatment,pre,161-170,664,563,68,596,0.10240963855421686,0.8975903614457831
treatment,pre,171-180,587,516,46,541,0.07836456558773425,0.9216354344122658
treatment,pre,181-190,592,500,60,532,0.10135135135135136,0.8986486486486487
treatment,pre,191-200,570,491,40,530,0.07017543859649122,0.9298245614035088
