classification,token_range,month_after_adoption,treatment_event_row_count,control_event_row_count,treatment_event_row_count_per_100_repo_months,control_event_row_count_per_100_repo_months,event_row_count_difference_treatment_minus_control,treatment_event_row_share_within_month,control_event_row_share_within_month,treatment_panel_repo_months,control_panel_repo_months
AGC-like,ALL,1,189,46,266.19718309859155,104.54545454545455,143,1.0,1.0,71,44
AGC-like,100-110,1,32,6,45.070422535211264,13.636363636363637,26,0.1693121693121693,0.13043478260869565,71,44
AGC-like,111-120,1,20,4,28.169014084507044,9.090909090909092,16,0.10582010582010581,0.08695652173913043,71,44
AGC-like,121-130,1,29,7,40.84507042253521,15.909090909090908,22,0.15343915343915343,0.15217391304347827,71,44
AGC-like,131-140,1,15,9,21.12676056338028,20.454545454545453,6,0.07936507936507936,0.1956521739130435,71,44
AGC-like,141-150,1,15,4,21.12676056338028,9.090909090909092,11,0.07936507936507936,0.08695652173913043,71,44
AGC-like,151-160,1,14,2,19.718309859154928,4.545454545454546,12,0.07407407407407407,0.043478260869565216,71,44
AGC-like,161-170,1,13,1,18.309859154929576,2.272727272727273,12,0.06878306878306878,0.021739130434782608,71,44
AGC-like,171-180,1,19,4,26.760563380281692,9.090909090909092,15,0.10052910052910052,0.08695652173913043,71,44
AGC-like,181-190,1,19,7,26.760563380281692,15.909090909090908,12,0.10052910052910052,0.15217391304347827,71,44
AGC-like,191-200,1,13,2,18.309859154929576,4.545454545454546,11,0.06878306878306878,0.043478260869565216,71,44
HWC-like,ALL,1,943,222,1328.1690140845071,504.54545454545456,721,1.0,1.0,71,44
HWC-like,100-110,1,115,20,161.9718309859155,45.45454545454545,95,0.12195121951219512,0.09009009009009009,71,44
HWC-like,111-120,1,115,33,161.9718309859155,75.0,82,0.12195121951219512,0.14864864864864866,71,44
HWC-like,121-130,1,92,30,129.57746478873239,68.18181818181819,62,0.0975609756097561,0.13513513513513514,71,44
HWC-like,131-140,1,106,32,149.29577464788733,72.72727272727273,74,0.11240721102863202,0.14414414414414414,71,44
HWC-like,141-150,1,113,21,159.1549295774648,47.72727272727273,92,0.11983032873807,0.0945945945945946,71,44
HWC-like,151-160,1,87,14,122.53521126760563,31.818181818181817,73,0.09225874867444327,0.06306306306306306,71,44
HWC-like,161-170,1,93,18,130.98591549295776,40.90909090909091,75,0.09862142099681867,0.08108108108108109,71,44
HWC-like,171-180,1,68,25,95.77464788732394,56.81818181818182,43,0.07211028632025451,0.11261261261261261,71,44
HWC-like,181-190,1,96,13,135.2112676056338,29.545454545454547,83,0.10180275715800637,0.05855855855855856,71,44
HWC-like,191-200,1,58,16,81.69014084507042,36.36363636363637,42,0.061505832449628844,0.07207207207207207,71,44
AGC-like,ALL,2,139,67,231.66666666666666,145.65217391304347,72,1.0,1.0,60,46
AGC-like,100-110,2,21,17,35.0,36.95652173913044,4,0.1510791366906475,0.2537313432835821,60,46
AGC-like,111-120,2,18,9,30.0,19.565217391304348,9,0.12949640287769784,0.13432835820895522,60,46
AGC-like,121-130,2,11,11,18.333333333333332,23.91304347826087,0,0.07913669064748201,0.16417910447761194,60,46
AGC-like,131-140,2,18,8,30.0,17.391304347826086,10,0.12949640287769784,0.11940298507462686,60,46
AGC-like,141-150,2,11,3,18.333333333333332,6.521739130434782,8,0.07913669064748201,0.04477611940298507,60,46
AGC-like,151-160,2,18,2,30.0,4.3478260869565215,16,0.12949640287769784,0.029850746268656716,60,46
AGC-like,161-170,2,11,5,18.333333333333332,10.869565217391305,6,0.07913669064748201,0.07462686567164178,60,46
AGC-like,171-180,2,11,4,18.333333333333332,8.695652173913043,7,0.07913669064748201,0.05970149253731343,60,46
AGC-like,181-190,2,10,6,16.666666666666668,13.043478260869565,4,0.07194244604316546,0.08955223880597014,60,46
AGC-like,191-200,2,10,2,16.666666666666668,4.3478260869565215,8,0.07194244604316546,0.029850746268656716,60,46
HWC-like,ALL,2,869,166,1448.3333333333333,360.8695652173913,703,1.0,1.0,60,46
HWC-like,100-110,2,119,30,198.33333333333334,65.21739130434783,89,0.13693901035673187,0.18072289156626506,60,46
HWC-like,111-120,2,113,16,188.33333333333334,34.78260869565217,97,0.13003452243958574,0.0963855421686747,60,46
HWC-like,121-130,2,89,33,148.33333333333334,71.73913043478261,56,0.10241657077100115,0.19879518072289157,60,46
HWC-like,131-140,2,89,19,148.33333333333334,41.30434782608695,70,0.10241657077100115,0.1144578313253012,60,46
HWC-like,141-150,2,76,14,126.66666666666667,30.434782608695652,62,0.08745684695051784,0.08433734939759036,60,46
HWC-like,151-160,2,100,9,166.66666666666666,19.565217391304348,91,0.11507479861910241,0.05421686746987952,60,46
HWC-like,161-170,2,87,16,145.0,34.78260869565217,71,0.1001150747986191,0.0963855421686747,60,46
HWC-like,171-180,2,57,11,95.0,23.91304347826087,46,0.06559263521288838,0.06626506024096386,60,46
HWC-like,181-190,2,78,7,130.0,15.217391304347826,71,0.08975834292289989,0.04216867469879518,60,46
HWC-like,191-200,2,61,11,101.66666666666667,23.91304347826087,50,0.07019562715765247,0.06626506024096386,60,46
AGC-like,ALL,3,145,52,245.76271186440678,144.44444444444446,93,1.0,1.0,59,36
AGC-like,100-110,3,18,8,30.508474576271187,22.22222222222222,10,0.12413793103448276,0.15384615384615385,59,36
AGC-like,111-120,3,20,2,33.898305084745765,5.555555555555555,18,0.13793103448275862,0.038461538461538464,59,36
AGC-like,121-130,3,18,1,30.508474576271187,2.7777777777777777,17,0.12413793103448276,0.019230769230769232,59,36
AGC-like,131-140,3,19,11,32.20338983050848,30.555555555555557,8,0.1310344827586207,0.21153846153846154,59,36
AGC-like,141-150,3,9,4,15.254237288135593,11.11111111111111,5,0.06206896551724138,0.07692307692307693,59,36
AGC-like,151-160,3,9,13,15.254237288135593,36.111111111111114,-4,0.06206896551724138,0.25,59,36
AGC-like,161-170,3,19,3,32.20338983050848,8.333333333333334,16,0.1310344827586207,0.057692307692307696,59,36
AGC-like,171-180,3,13,6,22.033898305084747,16.666666666666668,7,0.0896551724137931,0.11538461538461539,59,36
AGC-like,181-190,3,7,4,11.864406779661017,11.11111111111111,3,0.04827586206896552,0.07692307692307693,59,36
AGC-like,191-200,3,13,0,22.033898305084747,0.0,13,0.0896551724137931,0.0,59,36
HWC-like,ALL,3,726,236,1230.5084745762713,655.5555555555555,490,1.0,1.0,59,36
HWC-like,100-110,3,99,25,167.79661016949152,69.44444444444444,74,0.13636363636363635,0.1059322033898305,59,36
HWC-like,111-120,3,101,27,171.1864406779661,75.0,74,0.13911845730027547,0.11440677966101695,59,36
HWC-like,121-130,3,60,42,101.69491525423729,116.66666666666667,18,0.08264462809917356,0.17796610169491525,59,36
HWC-like,131-140,3,62,27,105.08474576271186,75.0,35,0.08539944903581267,0.11440677966101695,59,36
HWC-like,141-150,3,71,19,120.33898305084746,52.77777777777778,52,0.09779614325068871,0.08050847457627118,59,36
HWC-like,151-160,3,70,19,118.64406779661017,52.77777777777778,51,0.09641873278236915,0.08050847457627118,59,36
HWC-like,161-170,3,66,27,111.86440677966101,75.0,39,0.09090909090909091,0.11440677966101695,59,36
HWC-like,171-180,3,61,17,103.38983050847457,47.22222222222222,44,0.08402203856749312,0.07203389830508475,59,36
HWC-like,181-190,3,55,16,93.22033898305085,44.44444444444444,39,0.07575757575757576,0.06779661016949153,59,36
HWC-like,191-200,3,81,17,137.28813559322035,47.22222222222222,64,0.1115702479338843,0.07203389830508475,59,36
AGC-like,ALL,4,154,5,280.0,14.705882352941176,149,1.0,1.0,55,34
AGC-like,100-110,4,19,0,34.54545454545455,0.0,19,0.12337662337662338,0.0,55,34
AGC-like,111-120,4,14,2,25.454545454545453,5.882352941176471,12,0.09090909090909091,0.4,55,34
AGC-like,121-130,4,14,0,25.454545454545453,0.0,14,0.09090909090909091,0.0,55,34
AGC-like,131-140,4,24,0,43.63636363636363,0.0,24,0.15584415584415584,0.0,55,34
AGC-like,141-150,4,15,0,27.272727272727273,0.0,15,0.09740259740259741,0.0,55,34
AGC-like,151-160,4,20,0,36.36363636363637,0.0,20,0.12987012987012986,0.0,55,34
AGC-like,161-170,4,20,2,36.36363636363637,5.882352941176471,18,0.12987012987012986,0.4,55,34
AGC-like,171-180,4,11,1,20.0,2.9411764705882355,10,0.07142857142857142,0.2,55,34
AGC-like,181-190,4,9,0,16.363636363636363,0.0,9,0.05844155844155844,0.0,55,34
AGC-like,191-200,4,8,0,14.545454545454545,0.0,8,0.05194805194805195,0.0,55,34
HWC-like,ALL,4,1024,82,1861.8181818181818,241.1764705882353,942,1.0,1.0,55,34
HWC-like,100-110,4,165,14,300.0,41.1764705882353,151,0.1611328125,0.17073170731707318,55,34
HWC-like,111-120,4,133,9,241.8181818181818,26.470588235294116,124,0.1298828125,0.10975609756097561,55,34
HWC-like,121-130,4,88,7,160.0,20.58823529411765,81,0.0859375,0.08536585365853659,55,34
HWC-like,131-140,4,93,11,169.0909090909091,32.35294117647059,82,0.0908203125,0.13414634146341464,55,34
HWC-like,141-150,4,99,10,180.0,29.41176470588235,89,0.0966796875,0.12195121951219512,55,34
HWC-like,151-160,4,87,6,158.1818181818182,17.647058823529413,81,0.0849609375,0.07317073170731707,55,34
HWC-like,161-170,4,97,10,176.36363636363637,29.41176470588235,87,0.0947265625,0.12195121951219512,55,34
HWC-like,171-180,4,65,4,118.18181818181819,11.764705882352942,61,0.0634765625,0.04878048780487805,55,34
HWC-like,181-190,4,116,7,210.9090909090909,20.58823529411765,109,0.11328125,0.08536585365853659,55,34
HWC-like,191-200,4,81,4,147.27272727272728,11.764705882352942,77,0.0791015625,0.04878048780487805,55,34
AGC-like,ALL,5,134,41,279.1666666666667,124.24242424242425,93,1.0,1.0,48,33
AGC-like,100-110,5,14,7,29.166666666666668,21.21212121212121,7,0.1044776119402985,0.17073170731707318,48,33
AGC-like,111-120,5,16,3,33.333333333333336,9.090909090909092,13,0.11940298507462686,0.07317073170731707,48,33
AGC-like,121-130,5,31,5,64.58333333333333,15.151515151515152,26,0.23134328358208955,0.12195121951219512,48,33
AGC-like,131-140,5,18,1,37.5,3.0303030303030303,17,0.13432835820895522,0.024390243902439025,48,33
AGC-like,141-150,5,11,4,22.916666666666668,12.121212121212121,7,0.08208955223880597,0.0975609756097561,48,33
AGC-like,151-160,5,3,1,6.25,3.0303030303030303,2,0.022388059701492536,0.024390243902439025,48,33
AGC-like,161-170,5,12,5,25.0,15.151515151515152,7,0.08955223880597014,0.12195121951219512,48,33
AGC-like,171-180,5,6,2,12.5,6.0606060606060606,4,0.04477611940298507,0.04878048780487805,48,33
AGC-like,181-190,5,14,7,29.166666666666668,21.21212121212121,7,0.1044776119402985,0.17073170731707318,48,33
AGC-like,191-200,5,9,6,18.75,18.181818181818183,3,0.06716417910447761,0.14634146341463414,48,33
HWC-like,ALL,5,1221,114,2543.75,345.45454545454544,1107,1.0,1.0,48,33
HWC-like,100-110,5,167,14,347.9166666666667,42.42424242424242,153,0.13677313677313677,0.12280701754385964,48,33
HWC-like,111-120,5,128,14,266.6666666666667,42.42424242424242,114,0.10483210483210484,0.12280701754385964,48,33
HWC-like,121-130,5,149,14,310.4166666666667,42.42424242424242,135,0.12203112203112203,0.12280701754385964,48,33
HWC-like,131-140,5,130,11,270.8333333333333,33.333333333333336,119,0.10647010647010648,0.09649122807017543,48,33
