pair_id,treatment_repo,control_repo,treatment_event_month,event_month,aligned_time
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-6,2024-02
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-5,2024-03
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-4,2024-04
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-3,2024-05
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-2,2024-06
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,-1,2024-07
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,0,2024-08
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,1,2024-09
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,2,2024-10
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,3,2024-11
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,4,2024-12
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,5,2025-01
1,1mrat/cursor-taskrunner,PhilNad/robot-arm-kinematic-calibration,2024-08,6,2025-02
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-6,2024-02
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-5,2024-03
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-4,2024-04
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-3,2024-05
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-2,2024-06
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,-1,2024-07
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,0,2024-08
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,1,2024-09
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,2,2024-10
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,3,2024-11
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,4,2024-12
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,5,2025-01
2,1mrat/cursor-taskrunner,The-WhiteRabbit/dnfm_server,2024-08,6,2025-02
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-6,2024-02
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-5,2024-03
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-4,2024-04
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-3,2024-05
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-2,2024-06
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,-1,2024-07
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,0,2024-08
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,1,2024-09
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,2,2024-10
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,3,2024-11
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,4,2024-12
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,5,2025-01
3,1mrat/cursor-taskrunner,TheFocusedCoder/api-agent,2024-08,6,2025-02
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-6,2024-08
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-5,2024-09
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-4,2024-10
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-3,2024-11
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-2,2024-12
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,-1,2025-01
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,0,2025-02
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,1,2025-03
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,2,2025-04
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,3,2025-05
4,Anemll/Anemll,LuneMods/KCD2-Blender-Toolkit,2025-02,4,2025-06
