time_to_event,event_rows,agc_event_rows,hwc_event_rows,unique_bodies,agc_unique_bodies,hwc_unique_bodies,agc_event_share,agc_unique_body_share
-14,140,18,122,133,16,117,0.12857142857142856,0.12030075187969924
-13,475,39,436,417,36,381,0.08210526315789474,0.08633093525179857
-12,733,71,662,564,44,520,0.09686221009549795,0.07801418439716312
-11,456,29,427,420,29,391,0.06359649122807018,0.06904761904761905
-10,650,54,596,600,51,549,0.08307692307692308,0.085
-9,616,32,584,576,30,546,0.05194805194805195,0.052083333333333336
-8,549,44,505,496,38,458,0.08014571948998178,0.07661290322580645
-7,647,60,587,599,53,546,0.09273570324574962,0.08848080133555926
-6,567,65,502,529,61,468,0.1146384479717813,0.11531190926275993
-5,503,58,445,482,55,427,0.11530815109343936,0.11410788381742738
-4,420,25,395,384,25,359,0.05952380952380952,0.06510416666666667
-3,745,105,640,682,96,586,0.14093959731543623,0.14076246334310852
-2,595,73,522,561,72,489,0.1226890756302521,0.12834224598930483
-1,745,115,630,701,101,600,0.15436241610738255,0.14407988587731813
0,1860,486,1374,1744,440,1304,0.26129032258064516,0.25229357798165136
1,1132,189,943,1027,167,860,0.16696113074204946,0.1626095423563778
2,1008,139,869,950,130,820,0.1378968253968254,0.1368421052631579
3,871,145,726,801,122,679,0.16647531572904709,0.1523096129837703
4,1178,154,1024,1078,143,935,0.1307300509337861,0.1326530612244898
5,1355,134,1221,1246,122,1124,0.0988929889298893,0.09791332263242375
6,1081,116,965,949,103,846,0.10730804810360776,0.10853530031612224
7,235,17,218,224,17,207,0.07234042553191489,0.07589285714285714
8,125,10,115,114,10,104,0.08,0.08771929824561403
9,20,6,14,20,6,14,0.3,0.3
10,133,18,115,126,16,110,0.13533834586466165,0.12698412698412698
11,35,8,27,31,8,23,0.22857142857142856,0.25806451612903225
