classification,token_range,pre_unique_bodies,adoption_month_unique_bodies,strict_post_unique_bodies,adoption_and_after_unique_bodies,pre_only,adoption_and_after_only,observed_in_both,union
ALL,ALL,6668,1744,6268,7939,6366,7637,302,14305
ALL,100-110,992,260,879,1128,951,1087,41,2079
ALL,111-120,833,243,740,975,803,945,30,1778
ALL,121-130,789,191,686,868,756,835,33,1624
ALL,131-140,721,166,686,846,694,819,27,1540
ALL,141-150,634,189,614,792,601,759,33,1393
ALL,151-160,629,138,591,722,590,683,39,1312
ALL,161-170,563,138,599,730,539,706,24,1269
ALL,171-180,516,159,493,647,498,629,18,1145
ALL,181-190,500,117,512,622,471,593,29,1093
ALL,191-200,491,143,468,609,463,581,28,1072
AGC-like,ALL,668,440,814,1240,643,1215,25,1883
AGC-like,100-110,93,58,100,155,90,152,3,245
AGC-like,111-120,92,53,99,151,90,149,2,241
AGC-like,121-130,97,57,106,162,94,159,3,256
AGC-like,131-140,80,47,105,151,77,148,3,228
AGC-like,141-150,55,52,71,120,53,118,2,173
AGC-like,151-160,74,35,71,105,71,102,3,176
AGC-like,161-170,57,44,76,120,56,119,1,176
AGC-like,171-180,38,32,68,98,37,97,1,135
AGC-like,181-190,48,31,61,90,44,86,4,134
AGC-like,191-200,34,31,57,88,31,85,3,119
HWC-like,ALL,6000,1304,5454,6699,5723,6422,277,12422
HWC-like,100-110,899,202,779,973,861,935,38,1834
HWC-like,111-120,741,190,641,824,713,796,28,1537
HWC-like,121-130,692,134,580,706,662,676,30,1368
HWC-like,131-140,641,119,581,695,617,671,24,1312
HWC-like,141-150,579,137,543,672,548,641,31,1220
HWC-like,151-160,555,103,520,617,519,581,36,1136
HWC-like,161-170,506,94,523,610,483,587,23,1093
HWC-like,171-180,478,127,425,549,461,532,17,1010
HWC-like,181-190,452,86,451,532,427,507,25,959
HWC-like,191-200,457,112,411,521,432,496,25,953
