classification,token_range,event_month,treatment_unique_body_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_unique_body_count_per_100_repo_months,treatment_unique_body_count_per_100_repositories,control_unique_body_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repositories,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month
ALL,ALL,-6,529,31,31,300,1706.4516129032259,1706.4516129032259,214,35,35,300,611.4285714285714,611.4285714285714,315,1.0,1.0
ALL,100-110,-6,73,31,31,300,235.48387096774192,235.48387096774192,26,35,35,300,74.28571428571429,74.28571428571429,47,0.13799621928166353,0.12149532710280374
ALL,111-120,-6,68,31,31,300,219.3548387096774,219.3548387096774,23,35,35,300,65.71428571428571,65.71428571428571,45,0.1285444234404537,0.10747663551401869
ALL,121-130,-6,56,31,31,300,180.6451612903226,180.6451612903226,28,35,35,300,80.0,80.0,28,0.10586011342155009,0.1308411214953271
ALL,131-140,-6,53,31,31,300,170.96774193548387,170.96774193548387,26,35,35,300,74.28571428571429,74.28571428571429,27,0.1001890359168242,0.12149532710280374
ALL,141-150,-6,55,31,31,300,177.41935483870967,177.41935483870967,13,35,35,300,37.142857142857146,37.142857142857146,42,0.10396975425330812,0.06074766355140187
ALL,151-160,-6,53,31,31,300,170.96774193548387,170.96774193548387,22,35,35,300,62.857142857142854,62.857142857142854,31,0.1001890359168242,0.102803738317757
ALL,161-170,-6,45,31,31,300,145.16129032258064,145.16129032258064,15,35,35,300,42.857142857142854,42.857142857142854,30,0.08506616257088846,0.07009345794392523
ALL,171-180,-6,35,31,31,300,112.90322580645162,112.90322580645162,25,35,35,300,71.42857142857143,71.42857142857143,10,0.0661625708884688,0.11682242990654206
ALL,181-190,-6,42,31,31,300,135.48387096774192,135.48387096774192,20,35,35,300,57.142857142857146,57.142857142857146,22,0.07939508506616257,0.09345794392523364
ALL,191-200,-6,49,31,31,300,158.06451612903226,158.06451612903226,16,35,35,300,45.714285714285715,45.714285714285715,33,0.09262759924385633,0.07476635514018691
AGC-like,ALL,-6,61,31,31,300,196.7741935483871,196.7741935483871,23,35,35,300,65.71428571428571,65.71428571428571,38,1.0,1.0
AGC-like,100-110,-6,11,31,31,300,35.483870967741936,35.483870967741936,3,35,35,300,8.571428571428571,8.571428571428571,8,0.18032786885245902,0.13043478260869565
AGC-like,111-120,-6,12,31,31,300,38.70967741935484,38.70967741935484,6,35,35,300,17.142857142857142,17.142857142857142,6,0.19672131147540983,0.2608695652173913
AGC-like,121-130,-6,5,31,31,300,16.129032258064516,16.129032258064516,1,35,35,300,2.857142857142857,2.857142857142857,4,0.08196721311475409,0.043478260869565216
AGC-like,131-140,-6,9,31,31,300,29.032258064516128,29.032258064516128,1,35,35,300,2.857142857142857,2.857142857142857,8,0.14754098360655737,0.043478260869565216
AGC-like,141-150,-6,5,31,31,300,16.129032258064516,16.129032258064516,3,35,35,300,8.571428571428571,8.571428571428571,2,0.08196721311475409,0.13043478260869565
AGC-like,151-160,-6,5,31,31,300,16.129032258064516,16.129032258064516,3,35,35,300,8.571428571428571,8.571428571428571,2,0.08196721311475409,0.13043478260869565
AGC-like,161-170,-6,5,31,31,300,16.129032258064516,16.129032258064516,3,35,35,300,8.571428571428571,8.571428571428571,2,0.08196721311475409,0.13043478260869565
AGC-like,171-180,-6,3,31,31,300,9.67741935483871,9.67741935483871,2,35,35,300,5.714285714285714,5.714285714285714,1,0.04918032786885246,0.08695652173913043
AGC-like,181-190,-6,6,31,31,300,19.35483870967742,19.35483870967742,1,35,35,300,2.857142857142857,2.857142857142857,5,0.09836065573770492,0.043478260869565216
AGC-like,191-200,-6,0,31,31,300,0.0,0.0,0,35,35,300,0.0,0.0,0,0.0,0.0
HWC-like,ALL,-6,468,31,31,300,1509.6774193548388,1509.6774193548388,191,35,35,300,545.7142857142857,545.7142857142857,277,1.0,1.0
HWC-like,100-110,-6,62,31,31,300,200.0,200.0,23,35,35,300,65.71428571428571,65.71428571428571,39,0.13247863247863248,0.12041884816753927
HWC-like,111-120,-6,56,31,31,300,180.6451612903226,180.6451612903226,17,35,35,300,48.57142857142857,48.57142857142857,39,0.11965811965811966,0.08900523560209424
HWC-like,121-130,-6,51,31,31,300,164.51612903225808,164.51612903225808,27,35,35,300,77.14285714285714,77.14285714285714,24,0.10897435897435898,0.14136125654450263
HWC-like,131-140,-6,44,31,31,300,141.93548387096774,141.93548387096774,25,35,35,300,71.42857142857143,71.42857142857143,19,0.09401709401709402,0.13089005235602094
HWC-like,141-150,-6,50,31,31,300,161.29032258064515,161.29032258064515,10,35,35,300,28.571428571428573,28.571428571428573,40,0.10683760683760683,0.05235602094240838
HWC-like,151-160,-6,48,31,31,300,154.83870967741936,154.83870967741936,19,35,35,300,54.285714285714285,54.285714285714285,29,0.10256410256410256,0.09947643979057591
HWC-like,161-170,-6,40,31,31,300,129.03225806451613,129.03225806451613,12,35,35,300,34.285714285714285,34.285714285714285,28,0.08547008547008547,0.06282722513089005
HWC-like,171-180,-6,32,31,31,300,103.2258064516129,103.2258064516129,23,35,35,300,65.71428571428571,65.71428571428571,9,0.06837606837606838,0.12041884816753927
HWC-like,181-190,-6,36,31,31,300,116.12903225806451,116.12903225806451,19,35,35,300,54.285714285714285,54.285714285714285,17,0.07692307692307693,0.09947643979057591
HWC-like,191-200,-6,49,31,31,300,158.06451612903226,158.06451612903226,16,35,35,300,45.714285714285715,45.714285714285715,33,0.1047008547008547,0.08376963350785341
ALL,ALL,-5,482,33,33,300,1460.6060606060605,1460.6060606060605,180,43,43,300,418.6046511627907,418.6046511627907,302,1.0,1.0
ALL,100-110,-5,87,33,33,300,263.6363636363636,263.6363636363636,33,43,43,300,76.74418604651163,76.74418604651163,54,0.18049792531120332,0.18333333333333332
ALL,111-120,-5,59,33,33,300,178.78787878787878,178.78787878787878,26,43,43,300,60.46511627906977,60.46511627906977,33,0.12240663900414937,0.14444444444444443
ALL,121-130,-5,64,33,33,300,193.93939393939394,193.93939393939394,12,43,43,300,27.906976744186046,27.906976744186046,52,0.13278008298755187,0.06666666666666667
ALL,131-140,-5,52,33,33,300,157.57575757575756,157.57575757575756,28,43,43,300,65.11627906976744,65.11627906976744,24,0.1078838174273859,0.15555555555555556
ALL,141-150,-5,44,33,33,300,133.33333333333334,133.33333333333334,15,43,43,300,34.883720930232556,34.883720930232556,29,0.0912863070539419,0.08333333333333333
ALL,151-160,-5,31,33,33,300,93.93939393939394,93.93939393939394,13,43,43,300,30.232558139534884,30.232558139534884,18,0.06431535269709543,0.07222222222222222
ALL,161-170,-5,41,33,33,300,124.24242424242425,124.24242424242425,15,43,43,300,34.883720930232556,34.883720930232556,26,0.08506224066390042,0.08333333333333333
ALL,171-180,-5,41,33,33,300,124.24242424242425,124.24242424242425,10,43,43,300,23.25581395348837,23.25581395348837,31,0.08506224066390042,0.05555555555555555
ALL,181-190,-5,33,33,33,300,100.0,100.0,14,43,43,300,32.55813953488372,32.55813953488372,19,0.06846473029045644,0.07777777777777778
ALL,191-200,-5,30,33,33,300,90.9090909090909,90.9090909090909,14,43,43,300,32.55813953488372,32.55813953488372,16,0.06224066390041494,0.07777777777777778
AGC-like,ALL,-5,55,33,33,300,166.66666666666666,166.66666666666666,25,43,43,300,58.13953488372093,58.13953488372093,30,1.0,1.0
AGC-like,100-110,-5,9,33,33,300,27.272727272727273,27.272727272727273,3,43,43,300,6.976744186046512,6.976744186046512,6,0.16363636363636364,0.12
AGC-like,111-120,-5,4,33,33,300,12.121212121212121,12.121212121212121,4,43,43,300,9.30232558139535,9.30232558139535,0,0.07272727272727272,0.16
AGC-like,121-130,-5,13,33,33,300,39.39393939393939,39.39393939393939,5,43,43,300,11.627906976744185,11.627906976744185,8,0.23636363636363636,0.2
AGC-like,131-140,-5,4,33,33,300,12.121212121212121,12.121212121212121,4,43,43,300,9.30232558139535,9.30232558139535,0,0.07272727272727272,0.16
AGC-like,141-150,-5,4,33,33,300,12.121212121212121,12.121212121212121,2,43,43,300,4.651162790697675,4.651162790697675,2,0.07272727272727272,0.08
AGC-like,151-160,-5,5,33,33,300,15.151515151515152,15.151515151515152,1,43,43,300,2.3255813953488373,2.3255813953488373,4,0.09090909090909091,0.04
AGC-like,161-170,-5,4,33,33,300,12.121212121212121,12.121212121212121,4,43,43,300,9.30232558139535,9.30232558139535,0,0.07272727272727272,0.16
AGC-like,171-180,-5,4,33,33,300,12.121212121212121,12.121212121212121,1,43,43,300,2.3255813953488373,2.3255813953488373,3,0.07272727272727272,0.04
AGC-like,181-190,-5,5,33,33,300,15.151515151515152,15.151515151515152,1,43,43,300,2.3255813953488373,2.3255813953488373,4,0.09090909090909091,0.04
AGC-like,191-200,-5,3,33,33,300,9.090909090909092,9.090909090909092,0,43,43,300,0.0,0.0,3,0.05454545454545454,0.0
HWC-like,ALL,-5,427,33,33,300,1293.939393939394,1293.939393939394,155,43,43,300,360.4651162790698,360.4651162790698,272,1.0,1.0
HWC-like,100-110,-5,78,33,33,300,236.36363636363637,236.36363636363637,30,43,43,300,69.76744186046511,69.76744186046511,48,0.18266978922716628,0.1935483870967742
HWC-like,111-120,-5,55,33,33,300,166.66666666666666,166.66666666666666,22,43,43,300,51.16279069767442,51.16279069767442,33,0.1288056206088993,0.14193548387096774
HWC-like,121-130,-5,51,33,33,300,154.54545454545453,154.54545454545453,7,43,43,300,16.27906976744186,16.27906976744186,44,0.11943793911007025,0.04516129032258064
HWC-like,131-140,-5,48,33,33,300,145.45454545454547,145.45454545454547,24,43,43,300,55.81395348837209,55.81395348837209,24,0.11241217798594848,0.15483870967741936
HWC-like,141-150,-5,40,33,33,300,121.21212121212122,121.21212121212122,13,43,43,300,30.232558139534884,30.232558139534884,27,0.0936768149882904,0.08387096774193549
HWC-like,151-160,-5,26,33,33,300,78.78787878787878,78.78787878787878,12,43,43,300,27.906976744186046,27.906976744186046,14,0.06088992974238876,0.07741935483870968
HWC-like,161-170,-5,37,33,33,300,112.12121212121212,112.12121212121212,11,43,43,300,25.58139534883721,25.58139534883721,26,0.08665105386416862,0.07096774193548387
HWC-like,171-180,-5,37,33,33,300,112.12121212121212,112.12121212121212,9,43,43,300,20.930232558139537,20.930232558139537,28,0.08665105386416862,0.05806451612903226
HWC-like,181-190,-5,28,33,33,300,84.84848484848484,84.84848484848484,13,43,43,300,30.232558139534884,30.232558139534884,15,0.06557377049180328,0.08387096774193549
HWC-like,191-200,-5,27,33,33,300,81.81818181818181,81.81818181818181,14,43,43,300,32.55813953488372,32.55813953488372,13,0.06323185011709602,0.09032258064516129
ALL,ALL,-4,384,35,35,300,1097.142857142857,1097.142857142857,403,47,47,300,857.4468085106383,857.4468085106383,-19,1.0,1.0
ALL,100-110,-4,52,35,35,300,148.57142857142858,148.57142857142858,65,47,47,300,138.29787234042553,138.29787234042553,-13,0.13541666666666666,0.16129032258064516
ALL,111-120,-4,56,35,35,300,160.0,160.0,42,47,47,300,89.36170212765957,89.36170212765957,14,0.14583333333333334,0.10421836228287841
