dataset_source,treatment_period,token_range,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,share_of_period_unique_bodies
control,control,100-110,639,92,547,1.4035445486337583,1.3550920517142593,0.14397496087636932,0.8560250391236307,0.1462577248798352
control,control,111-120,546,69,477,1.399019534942477,1.3579108634747565,0.12637362637362637,0.8736263736263736,0.1249713893339437
control,control,121-130,516,69,447,1.406650937785131,1.3616150674247602,0.13372093023255813,0.8662790697674418,0.1181048294804303
control,control,131-140,480,71,409,1.3898014026313321,1.3407910150645441,0.14791666666666667,0.8520833333333333,0.10986495765621423
control,control,141-150,440,56,384,1.3923233668357997,1.3579055730320801,0.12727272727272726,0.8727272727272727,0.10070954451819639
control,control,151-160,415,55,360,1.3882301725611177,1.3486584615262731,0.13253012048192772,0.8674698795180723,0.09498741130693522
control,control,161-170,386,49,337,1.394300607335591,1.3510214494122659,0.12694300518134716,0.8730569948186528,0.08834973678187229
control,control,171-180,346,42,304,1.376560275706177,1.3511641584516632,0.12138728323699421,0.8786127167630058,0.07919432364385443
control,control,181-190,300,47,253,1.4036201663128132,1.3570289179845887,0.15666666666666668,0.8433333333333334,0.0686655985351339
control,control,191-200,301,31,270,1.3712760374835216,1.3413280858186027,0.10299003322259136,0.8970099667774086,0.06889448386358435
control,event,100-110,0,0,0,,,,,
control,event,111-120,0,0,0,,,,,
control,event,121-130,0,0,0,,,,,
control,event,131-140,0,0,0,,,,,
control,event,141-150,0,0,0,,,,,
control,event,151-160,0,0,0,,,,,
control,event,161-170,0,0,0,,,,,
control,event,171-180,0,0,0,,,,,
control,event,181-190,0,0,0,,,,,
control,event,191-200,0,0,0,,,,,
control,post,100-110,0,0,0,,,,,
control,post,111-120,0,0,0,,,,,
control,post,121-130,0,0,0,,,,,
control,post,131-140,0,0,0,,,,,
control,post,141-150,0,0,0,,,,,
control,post,151-160,0,0,0,,,,,
control,post,161-170,0,0,0,,,,,
control,post,171-180,0,0,0,,,,,
control,post,181-190,0,0,0,,,,,
control,post,191-200,0,0,0,,,,,
control,pre,100-110,0,0,0,,,,,
control,pre,111-120,0,0,0,,,,,
control,pre,121-130,0,0,0,,,,,
control,pre,131-140,0,0,0,,,,,
control,pre,141-150,0,0,0,,,,,
control,pre,151-160,0,0,0,,,,,
control,pre,161-170,0,0,0,,,,,
control,pre,171-180,0,0,0,,,,,
control,pre,181-190,0,0,0,,,,,
control,pre,191-200,0,0,0,,,,,
treatment,control,100-110,0,0,0,,,,,
treatment,control,111-120,0,0,0,,,,,
treatment,control,121-130,0,0,0,,,,,
treatment,control,131-140,0,0,0,,,,,
treatment,control,141-150,0,0,0,,,,,
treatment,control,151-160,0,0,0,,,,,
treatment,control,161-170,0,0,0,,,,,
treatment,control,171-180,0,0,0,,,,,
treatment,control,181-190,0,0,0,,,,,
treatment,control,191-200,0,0,0,,,,,
treatment,event,100-110,260,58,202,1.465585584939195,1.4190401591852417,0.2230769230769231,0.7769230769230769,0.14908256880733944
treatment,event,111-120,243,53,190,1.4580995257627067,1.4115411571953722,0.21810699588477367,0.7818930041152263,0.1393348623853211
treatment,event,121-130,191,57,134,1.4927373344576669,1.4559299174062843,0.29842931937172773,0.7015706806282722,0.1095183486238532
treatment,event,131-140,166,47,119,1.489750308220054,1.4565468834307262,0.28313253012048195,0.7168674698795181,0.09518348623853211
treatment,event,141-150,189,52,137,1.4788264534104514,1.4534531928419403,0.2751322751322751,0.7248677248677249,0.10837155963302753
treatment,event,151-160,138,35,103,1.4867174864870485,1.4598874732874436,0.2536231884057971,0.7463768115942029,0.07912844036697247
