token_range,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range,share_of_all_regular_unique_bodies
100-110,2718,337,2381,1.3973907737441342,1.3619566602802449,0.12398822663723326,0.8760117733627667,0.145557757189525
111-120,2323,309,2014,1.401396557061587,1.3695414877235688,0.13301764959104606,0.8669823504089539,0.1244042199967868
121-130,2140,325,1815,1.4134598016262887,1.370988329015549,0.15186915887850466,0.8481308411214953,0.11460397365179671
131-140,2020,299,1721,1.4086330806733214,1.368928297006685,0.148019801980198,0.851980198019802,0.10817758260590157
141-150,1833,229,1604,1.3941501003025154,1.3603793974191365,0.12493180578286961,0.8750681942171303,0.09816312322604831
151-160,1727,231,1496,1.3977133513118234,1.3645063234584112,0.1337579617834395,0.8662420382165605,0.09248647780217427
161-170,1655,225,1430,1.403623199947806,1.3726354947180437,0.13595166163141995,0.8640483383685801,0.08863064317463717
171-180,1491,177,1314,1.3882732744611948,1.3564393064689322,0.11871227364185111,0.8812877263581489,0.07984790874524715
181-190,1393,181,1212,1.397462643747769,1.3616139329520238,0.1299353912419239,0.8700646087580761,0.07459968939109946
191-200,1373,150,1223,1.385980080108754,1.3590059712678584,0.10924981791697014,0.8907501820830298,0.07352862421678359
