classification,token_range,month_after_adoption,treatment_unique_body_count,control_unique_body_count,treatment_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repo_months,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month,treatment_panel_repo_months,control_panel_repo_months
AGC-like,ALL,1,167,37,235.2112676056338,84.0909090909091,130,1.0,1.0,71,44
AGC-like,100-110,1,21,6,29.577464788732396,13.636363636363637,15,0.12574850299401197,0.16216216216216217,71,44
AGC-like,111-120,1,20,4,28.169014084507044,9.090909090909092,16,0.11976047904191617,0.10810810810810811,71,44
AGC-like,121-130,1,28,4,39.436619718309856,9.090909090909092,24,0.16766467065868262,0.10810810810810811,71,44
AGC-like,131-140,1,14,9,19.718309859154928,20.454545454545453,5,0.08383233532934131,0.24324324324324326,71,44
AGC-like,141-150,1,15,4,21.12676056338028,9.090909090909092,11,0.08982035928143713,0.10810810810810811,71,44
AGC-like,151-160,1,13,2,18.309859154929576,4.545454545454546,11,0.07784431137724551,0.05405405405405406,71,44
AGC-like,161-170,1,11,1,15.492957746478874,2.272727272727273,10,0.0658682634730539,0.02702702702702703,71,44
AGC-like,171-180,1,16,2,22.535211267605632,4.545454545454546,14,0.09580838323353294,0.05405405405405406,71,44
AGC-like,181-190,1,16,3,22.535211267605632,6.818181818181818,13,0.09580838323353294,0.08108108108108109,71,44
AGC-like,191-200,1,13,2,18.309859154929576,4.545454545454546,11,0.07784431137724551,0.05405405405405406,71,44
HWC-like,ALL,1,860,207,1211.2676056338028,470.45454545454544,653,1.0,1.0,71,44
HWC-like,100-110,1,107,18,150.70422535211267,40.90909090909091,89,0.12441860465116279,0.08695652173913043,71,44
HWC-like,111-120,1,98,26,138.0281690140845,59.09090909090909,72,0.11395348837209303,0.12560386473429952,71,44
HWC-like,121-130,1,86,28,121.12676056338029,63.63636363636363,58,0.1,0.13526570048309178,71,44
HWC-like,131-140,1,96,32,135.2112676056338,72.72727272727273,64,0.11162790697674418,0.15458937198067632,71,44
HWC-like,141-150,1,104,20,146.4788732394366,45.45454545454545,84,0.12093023255813953,0.0966183574879227,71,44
HWC-like,151-160,1,81,14,114.08450704225352,31.818181818181817,67,0.0941860465116279,0.06763285024154589,71,44
HWC-like,161-170,1,82,18,115.49295774647888,40.90909090909091,64,0.09534883720930233,0.08695652173913043,71,44
HWC-like,171-180,1,61,23,85.91549295774648,52.27272727272727,38,0.07093023255813953,0.1111111111111111,71,44
HWC-like,181-190,1,87,13,122.53521126760563,29.545454545454547,74,0.10116279069767442,0.06280193236714976,71,44
HWC-like,191-200,1,58,15,81.69014084507042,34.09090909090909,43,0.06744186046511629,0.07246376811594203,71,44
AGC-like,ALL,2,130,38,216.66666666666666,82.6086956521739,92,1.0,1.0,60,46
AGC-like,100-110,2,15,11,25.0,23.91304347826087,4,0.11538461538461539,0.2894736842105263,60,46
AGC-like,111-120,2,18,6,30.0,13.043478260869565,12,0.13846153846153847,0.15789473684210525,60,46
AGC-like,121-130,2,10,4,16.666666666666668,8.695652173913043,6,0.07692307692307693,0.10526315789473684,60,46
AGC-like,131-140,2,18,3,30.0,6.521739130434782,15,0.13846153846153847,0.07894736842105263,60,46
AGC-like,141-150,2,11,3,18.333333333333332,6.521739130434782,8,0.08461538461538462,0.07894736842105263,60,46
AGC-like,151-160,2,18,1,30.0,2.1739130434782608,17,0.13846153846153847,0.02631578947368421,60,46
AGC-like,161-170,2,11,3,18.333333333333332,6.521739130434782,8,0.08461538461538462,0.07894736842105263,60,46
AGC-like,171-180,2,11,2,18.333333333333332,4.3478260869565215,9,0.08461538461538462,0.05263157894736842,60,46
AGC-like,181-190,2,8,3,13.333333333333334,6.521739130434782,5,0.06153846153846154,0.07894736842105263,60,46
AGC-like,191-200,2,10,2,16.666666666666668,4.3478260869565215,8,0.07692307692307693,0.05263157894736842,60,46
HWC-like,ALL,2,820,138,1366.6666666666667,300.0,682,1.0,1.0,60,46
HWC-like,100-110,2,115,18,191.66666666666666,39.130434782608695,97,0.1402439024390244,0.13043478260869565,60,46
HWC-like,111-120,2,106,13,176.66666666666666,28.26086956521739,93,0.12926829268292683,0.09420289855072464,60,46
HWC-like,121-130,2,85,31,141.66666666666666,67.3913043478261,54,0.10365853658536585,0.2246376811594203,60,46
HWC-like,131-140,2,79,15,131.66666666666666,32.608695652173914,64,0.09634146341463415,0.10869565217391304,60,46
HWC-like,141-150,2,75,12,125.0,26.08695652173913,63,0.09146341463414634,0.08695652173913043,60,46
HWC-like,151-160,2,94,8,156.66666666666666,17.391304347826086,86,0.11463414634146342,0.057971014492753624,60,46
HWC-like,161-170,2,83,13,138.33333333333334,28.26086956521739,70,0.10121951219512196,0.09420289855072464,60,46
HWC-like,171-180,2,57,10,95.0,21.73913043478261,47,0.06951219512195123,0.07246376811594203,60,46
HWC-like,181-190,2,68,7,113.33333333333333,15.217391304347826,61,0.08292682926829269,0.050724637681159424,60,46
HWC-like,191-200,2,58,11,96.66666666666667,23.91304347826087,47,0.07073170731707316,0.07971014492753623,60,46
AGC-like,ALL,3,122,30,206.77966101694915,83.33333333333333,92,1.0,1.0,59,36
AGC-like,100-110,3,15,4,25.423728813559322,11.11111111111111,11,0.12295081967213115,0.13333333333333333,59,36
AGC-like,111-120,3,16,2,27.11864406779661,5.555555555555555,14,0.13114754098360656,0.06666666666666667,59,36
AGC-like,121-130,3,15,1,25.423728813559322,2.7777777777777777,14,0.12295081967213115,0.03333333333333333,59,36
AGC-like,131-140,3,17,7,28.8135593220339,19.444444444444443,10,0.13934426229508196,0.23333333333333334,59,36
AGC-like,141-150,3,7,2,11.864406779661017,5.555555555555555,5,0.05737704918032787,0.06666666666666667,59,36
AGC-like,151-160,3,9,5,15.254237288135593,13.88888888888889,4,0.07377049180327869,0.16666666666666666,59,36
AGC-like,161-170,3,15,3,25.423728813559322,8.333333333333334,12,0.12295081967213115,0.1,59,36
AGC-like,171-180,3,12,4,20.338983050847457,11.11111111111111,8,0.09836065573770492,0.13333333333333333,59,36
AGC-like,181-190,3,6,2,10.169491525423728,5.555555555555555,4,0.04918032786885246,0.06666666666666667,59,36
AGC-like,191-200,3,10,0,16.949152542372882,0.0,10,0.08196721311475409,0.0,59,36
HWC-like,ALL,3,679,166,1150.8474576271187,461.1111111111111,513,1.0,1.0,59,36
HWC-like,100-110,3,95,20,161.01694915254237,55.55555555555556,75,0.13991163475699558,0.12048192771084337,59,36
HWC-like,111-120,3,88,19,149.15254237288136,52.77777777777778,69,0.12960235640648013,0.1144578313253012,59,36
HWC-like,121-130,3,59,25,100.0,69.44444444444444,34,0.08689248895434462,0.15060240963855423,59,36
HWC-like,131-140,3,58,21,98.30508474576271,58.333333333333336,37,0.08541973490427099,0.12650602409638553,59,36
HWC-like,141-150,3,67,14,113.55932203389831,38.888888888888886,53,0.09867452135493372,0.08433734939759036,59,36
HWC-like,151-160,3,65,13,110.16949152542372,36.111111111111114,52,0.09572901325478646,0.0783132530120482,59,36
HWC-like,161-170,3,63,17,106.77966101694915,47.22222222222222,46,0.09278350515463918,0.10240963855421686,59,36
HWC-like,171-180,3,60,13,101.69491525423729,36.111111111111114,47,0.08836524300441827,0.0783132530120482,59,36
HWC-like,181-190,3,53,11,89.83050847457628,30.555555555555557,42,0.0780559646539028,0.06626506024096386,59,36
HWC-like,191-200,3,71,13,120.33898305084746,36.111111111111114,58,0.10456553755522828,0.0783132530120482,59,36
AGC-like,ALL,4,143,5,260.0,14.705882352941176,138,1.0,1.0,55,34
AGC-like,100-110,4,19,0,34.54545454545455,0.0,19,0.13286713286713286,0.0,55,34
AGC-like,111-120,4,12,2,21.818181818181817,5.882352941176471,10,0.08391608391608392,0.4,55,34
AGC-like,121-130,4,13,0,23.636363636363637,0.0,13,0.09090909090909091,0.0,55,34
AGC-like,131-140,4,23,0,41.81818181818182,0.0,23,0.16083916083916083,0.0,55,34
AGC-like,141-150,4,15,0,27.272727272727273,0.0,15,0.1048951048951049,0.0,55,34
AGC-like,151-160,4,18,0,32.72727272727273,0.0,18,0.1258741258741259,0.0,55,34
