dataset_source,repo_name,time,event,time_to_event,post_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,log1p_age,log1p_contributors,log1p_stars,log1p_issues,has_parse_exclusion,parse_exclusion_records,npr_detection_complete,npr_specification,npr_agc_threshold,npr_algorithm_version,npr_decision_rule,npr_window_policy,npr_function_aggregation,npr_partial_body_policy,npr_scoring_model,npr_window_size_literal_space_tokens,npr_perturbations_per_window,npr_random_seed,treatment_group,npr_agc_regular_module_function_unique_bodies,log1p_npr_agc_regular_module_function_unique_bodies,has_npr_agc_regular_module_function_unique_body,zero_npr_agc_regular_module_function_unique_body_month,regular_function_scope,agc_count_unit,agc_outcome_scale,analysis_ready_regular_module_function_agc_unique_body_paper_ncloc,analysis_ready_regular_module_function_agc_unique_body_python_snapshot_ncloc
treatment,1mrat/cursor-taskrunner,2024-08,2024-08,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,209.0,121,1,9.0,0.0,0.0,0.6931471805599453,2.302585092994045,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,1,0.6931471805599453,1,0,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Anemll/Anemll,2025-02,2025-02,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3990.0,4482,2,212.0,3.0,0.0,1.0986122886681096,5.361292165709425,1.3862943611198906,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,2,1.0986122886681096,1,0,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Anemll/Anemll,2025-04,2025-02,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,51.0,4093.0,4609,2,23.0,5.0,3.951243718581427,1.0986122886681096,3.1780538303479453,1.791759469228055,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Anemll/Anemll,2025-05,2025-02,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,81.0,4093.0,4609,1,551.0,2.0,4.406719247264253,0.6931471805599453,6.313548046277095,1.0986122886681096,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Anemll/Anemll,2025-06,2025-02,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,112.0,18458.0,19392,3,74.0,3.0,4.727387818712341,1.3862943611198906,4.31748811353631,1.3862943611198906,1,4,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,4,1.6094379124341003,1,0,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Anemll/Anemll,2025-07,2025-02,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,142.0,21444.0,22574,1,35.0,2.0,4.962844630259907,0.6931471805599453,3.58351893845611,1.0986122886681096,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-01,2025-02,-13.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2070.0,48.0,59,1,3.0,0.0,7.635786861395584,0.6931471805599453,1.3862943611198906,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-02,2025-02,-12.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2101.0,48.0,59,1,4.0,0.0,7.650644551436896,0.6931471805599453,1.6094379124341005,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-03,2025-02,-11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2130.0,48.0,59,1,2.0,0.0,7.664346632098617,0.6931471805599453,1.0986122886681096,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
treatment,Apocrathia/home-assistant-config,2024-04,2025-02,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2161.0,48.0,59,1,6.0,0.0,7.6787889981991535,0.6931471805599453,1.9459101490553128,0.0,0,0,True,range100_200,1.571637,overlap_final_full_window_valid_frontier_weighting-v1,function_npr > agc_threshold,full_size_final_window_shifted_backward_with_overlap,valid_frontier_weighted_mean,any_valid_window_partial_success_full_windows-v2,bigcode/starcoder2-7b,128,50,20260723,treatment,0,0.0,0,1,module_function,distinct_function_body_sha256_per_repository_month,raw_count,1,1
