dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
control,AkariAsai/ScholarQABench,2024-11,5
control,Benzauber/convert-commander,2024-11,2
control,Benzauber/convert-commander,2025-08,1
control,Drchip61/Dual_SAM,2024-03,2
control,EURAC-EEBgroup/brick-llm,2024-09,3
control,EURAC-EEBgroup/brick-llm,2024-10,5
control,EURAC-EEBgroup/brick-llm,2025-03,1
control,Event-AHU/OpenEvDET,2025-02,9
control,Event-AHU/OpenEvDET,2025-05,10
control,FaceAdapter/Face-Adapter,2024-05,3
control,FolhaSP/mosaico,2024-11,7
control,FolhaSP/mosaico,2025-03,7
control,FolhaSP/mosaico,2025-07,1
control,GispoCoding/qgis-venv-creator,2024-02,1
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,2024-10,2
control,HelpingAI/Webscout,2024-05,2
control,HelpingAI/Webscout,2024-06,2
control,HelpingAI/Webscout,2024-07,5
control,HelpingAI/Webscout,2024-08,1
control,HelpingAI/Webscout,2024-10,2
control,HelpingAI/Webscout,2024-11,1
control,HelpingAI/Webscout,2024-12,11
control,HelpingAI/Webscout,2025-01,1
control,HelpingAI/Webscout,2025-03,4
control,HelpingAI/Webscout,2025-04,3
control,HelpingAI/Webscout,2025-05,10
control,HelpingAI/Webscout,2025-06,11
control,HelpingAI/Webscout,2025-07,3
control,LuneMods/KCD2-Blender-Toolkit,2025-02,7
control,MIT-Emerging-Talent/ET6-edXtras,2025-02,9
control,MIT-Emerging-Talent/ET6-edXtras,2025-03,12
control,MalevichAI/malevich,2024-02,2
control,MalevichAI/malevich,2024-03,1
control,MalevichAI/malevich,2024-07,2
control,MalevichAI/malevich,2024-08,2
control,MrTimonM/Arichain-Bot,2025-01,1
control,NVIDIA/cuEquivariance,2024-11,4
control,NVIDIA/cuEquivariance,2024-12,2
control,NVIDIA/cuEquivariance,2025-03,1
control,NVIDIA/cuEquivariance,2025-04,2
control,NVIDIA/cuEquivariance,2025-07,7
control,NVIDIA/cuEquivariance,2025-08,1
control,NiceRingNode/LGGPT,2025-02,5
control,OSU-NLP-Group/HippoRAG,2024-05,8
control,OSU-NLP-Group/HippoRAG,2025-02,3
control,PennyLaneAI/catalyst,2024-02,6
control,PennyLaneAI/catalyst,2024-03,3
control,PennyLaneAI/catalyst,2024-04,2
control,PennyLaneAI/catalyst,2024-06,6
control,PennyLaneAI/catalyst,2024-07,1
control,PennyLaneAI/catalyst,2024-08,5
control,PennyLaneAI/catalyst,2024-10,1
control,PennyLaneAI/catalyst,2024-12,1
control,PennyLaneAI/catalyst,2025-04,1
control,PennyLaneAI/catalyst,2025-07,2
control,PennyLaneAI/catalyst,2025-08,2
control,PromtEngineer/localGPT,2025-07,2
control,RobinWu218/ToST,2025-02,2
control,The-WhiteRabbit/dnfm_server,2024-08,2
control,adelatour11/androidtvbackground,2024-04,1
control,adelatour11/androidtvbackground,2024-06,1
control,adelatour11/androidtvbackground,2025-02,1
control,adelatour11/androidtvbackground,2025-07,1
control,aio-libs/aiohttp,2024-04,1
control,aio-libs/aiohttp,2024-08,7
control,aio-libs/aiohttp,2024-09,1
