check,value
panel_label,strict_range100_200_regular_module_function_agc_unique_body_python_snapshot_ncloc_calendar_month_parse_clean
specification_name,range100_200
ncloc_specification,python_snapshot
readiness_column,analysis_ready_regular_module_function_agc_unique_body_python_snapshot_ncloc
time_mode,calendar_month
parse_exclusion_mode,parse_clean
input_rows,1536
input_repositories,220
forbidden_hwc_or_ratio_columns,0
specification_mismatch_rows,0
regular_function_scope_mismatch_rows,0
count_unit_mismatch_rows,0
outcome_scale_mismatch_rows,0
treatment_group_mismatch_rows,0
event_membership_mismatch_rows,0
detection_incomplete_rows,0
outcome_missing_rows,0
outcome_negative_rows,0
outcome_noninteger_rows,0
occurrence_arithmetic_mismatch_rows,0
zero_flag_arithmetic_mismatch_rows,0
rows_after_readiness_filter,1521
rows_after_parse_filter,1521
rows_after_cohort_filter,1521
rows_used_by_models,1521
repositories_used_by_models,218
treated_repositories,100
control_repositories,118
zero_outcome_rows_in_model_sample,1035
positive_outcome_rows_in_model_sample,486
total_outcome_count_in_model_sample,2249
parse_exclusion_rows_in_model_sample,0
outcome_missing_sum,0
covariate_missing_sum,0
npr_agc_threshold,1.571637
npr_algorithm_version,overlap_final_full_window_valid_frontier_weighting-v1
npr_decision_rule,function_npr > agc_threshold
npr_window_policy,full_size_final_window_shifted_backward_with_overlap
npr_function_aggregation,valid_frontier_weighted_mean
npr_partial_body_policy,any_valid_window_partial_success_full_windows-v2
npr_scoring_model,bigcode/starcoder2-7b
npr_window_size_literal_space_tokens,128
npr_perturbations_per_window,50
npr_random_seed,20260723
