repo_name,source_group,exact_commit_rows,sum_abs_diff_ncloc,median_abs_diff_ncloc,max_abs_diff_ncloc,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_abs_diff_duplicated_lines_density,median_abs_diff_duplicated_lines_density,max_abs_diff_duplicated_lines_density,sum_abs_diff_comment_lines_density,median_abs_diff_comment_lines_density,max_abs_diff_comment_lines_density,sum_abs_diff_cognitive_complexity,median_abs_diff_cognitive_complexity,max_abs_diff_cognitive_complexity,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings
zauberzeug/nicegui,treatment,19,135508.0,194.0,133392.0,33543.0,2086.0,3864.0,57.0,4.0,4.0,84047.0,4107.0,8448.0,341.20000000000005,25.1,35.2,2.8999999999999995,0.09999999999999964,2.0999999999999996,29442.0,0.0,29442.0,389506.0,17978.5,56847.0,171449.0,2026.0,37725.0
getsentry/sentry,treatment,20,14262.0,788.0,1400.0,7547.0,424.0,675.0,514.0,30.0,33.0,25945.0,1495.0,2246.0,0.1999999999999993,0.0,0.09999999999999964,0.5999999999999988,0.0,0.10000000000000053,287.0,19.0,59.0,70876.0,4193.0,6098.0,73147.0,1111.0,18244.0
DataDog/integrations-core,treatment,20,13187.0,632.5,1633.0,3805.0,186.5,207.0,457.0,23.0,26.0,18378.0,958.0,993.0,0.3000000000000007,0.0,0.10000000000000142,0.3999999999999986,0.0,0.09999999999999964,2410.0,113.0,323.0,313711.0,16368.0,17044.0,22640.0,1186.0,1204.0
ethyca/fides,treatment,20,10736.0,38.0,10015.0,1801.0,88.0,119.0,268.0,13.0,15.0,19838.0,1046.5,1315.0,0.09999999999999964,0.0,0.09999999999999964,0.0,0.0,0.0,436.0,2.0,382.0,44429.0,1849.0,5001.0,18305.0,973.0,1236.0
PostHog/posthog,treatment,19,553691.0,25828.0,88438.0,473.0,15.0,103.0,1244.0,68.0,87.0,15943.0,486.0,2214.0,3.700000000000008,0.20000000000000107,0.40000000000000036,1.3999999999999995,0.09999999999999964,0.20000000000000018,29562.0,1295.0,6271.0,61745.0,3543.0,7417.0,16722.0,537.0,2278.0
keephq/keep,treatment,20,180.0,10.5,13.0,53.0,2.0,9.0,143.0,7.0,12.0,10619.0,521.0,851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56790.0,2916.5,3925.0,10709.0,523.0,861.0
TextGeneratorio/text-generator.io,treatment,15,38909.0,2595.0,2595.0,174.0,12.0,12.0,176.0,8.0,17.0,9263.0,597.0,811.0,19.5,1.2000000000000002,1.5999999999999996,4.300000000000003,0.3000000000000007,0.3000000000000007,0.0,0.0,0.0,41221.0,2693.0,3452.0,9265.0,603.0,817.0
terryyin/lizard,treatment,12,7908.0,662.0,662.0,3444.0,287.0,287.0,0.0,0.0,0.0,4142.0,345.0,348.0,9.2,0.7999999999999999,0.8,4.700000000000005,0.40000000000000036,0.40000000000000036,5.0,0.0,5.0,60889.0,5073.5,5084.0,7586.0,632.0,635.0
jacebrowning/datafiles,control,12,0.0,0.0,0.0,4049.0,338.0,338.0,0.0,0.0,0.0,2611.0,218.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13115.0,1095.0,1100.0,6660.0,556.0,557.0
microsoft/AzureTRE,control,19,1082.0,69.0,82.0,674.0,35.0,41.0,127.0,7.0,7.0,5203.0,270.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,3174.0,149.0,240.0,6004.0,312.0,337.0
PennyLaneAI/catalyst,control,19,444.0,38.0,38.0,568.0,31.0,41.0,0.0,0.0,0.0,4921.0,311.0,374.0,0.09999999999999964,0.0,0.09999999999999964,0.0,0.0,0.0,4.0,0.0,4.0,25311.0,1471.0,1848.0,5489.0,342.0,415.0
lancedb/lancedb,control,17,272356.0,16374.0,22159.0,94.0,4.0,11.0,80.0,2.0,15.0,4662.0,287.0,322.0,9.299999999999999,0.5,0.7999999999999998,97.1,6.0,7.0,12991.0,774.0,1072.0,22201.0,1339.0,1483.0,4648.0,288.0,321.0
aio-libs/aiohttp,control,20,4346.0,321.0,761.0,309.0,15.0,32.0,55.0,3.0,4.0,3737.0,182.5,246.0,12.400000000000002,0.6999999999999997,1.3000000000000003,0.2999999999999998,0.0,0.20000000000000018,1863.0,143.5,301.0,26395.0,1398.0,1510.0,3991.0,195.0,249.0
HelpingAI/Webscout,control,18,152.0,1.5,28.0,76.0,3.0,10.0,69.0,2.5,12.0,3810.0,182.5,488.0,2.599999999999998,0.0,0.6000000000000014,0.10000000000000142,0.0,0.10000000000000142,0.0,0.0,0.0,18602.0,868.0,2407.0,3955.0,192.5,507.0
zhipeixu/FakeShield,control,6,0.0,0.0,0.0,0.0,0.0,0.0,95.0,19.0,19.0,3395.0,679.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16945.0,3389.0,3389.0,3490.0,698.0,698.0
FMInference/FlexiGen,control,3,111.0,37.0,37.0,180.0,60.0,60.0,411.0,137.0,137.0,3052.0,1017.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8966.0,2988.0,2990.0,3283.0,1094.0,1095.0
