metric,cause_category,time_to_event,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,-14.0,1,1,1,0,1,0,1,-22.0,-22.0,22.0,22.0,22.0,22.0,22.0,27.0,5.0,1.0,0.0,1.0,0.0003426310953293152
bugs,commit_selection_difference,-13.0,2,2,2,1,1,0,1,-866.0,-866.0,866.0,1558.8,1645.3999999999999,1732.0,1732.0,1102.0,236.0,0.5,0.0,0.5,0.02697441168683518
bugs,commit_selection_difference,-10.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-9.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-8.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-7.0,2,2,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-6.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-5.0,1,1,1,0,1,0,1,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,12.0,11.0,1.0,0.0,1.0,1.5574140696787056e-05
bugs,commit_selection_difference,-4.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
bugs,commit_selection_difference,-3.0,1,1,1,0,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,13.0,1.0,1.0,0.0,1.5574140696787056e-05
bugs,commit_selection_difference,-2.0,1,1,1,0,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,13.0,1.0,1.0,0.0,1.5574140696787056e-05
bugs,commit_selection_difference,-1.0,3,3,3,1,2,1,1,-1.0,0.0,1.0,3.4000000000000004,3.6999999999999997,4.0,5.0,7.0,6.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,7.787070348393527e-05
bugs,commit_selection_difference,0.0,8,8,8,1,7,2,5,-2.75,-1.5,3.0,12.399999999999999,15.199999999999996,18.0,44.0,10.375,7.625,0.875,0.25,0.625,0.0006852621906586304
bugs,commit_selection_difference,1.0,3,3,3,0,3,1,2,-8.0,-4.0,4.0,17.6,19.299999999999997,21.0,26.0,21.666666666666668,13.666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.0004049276581164634
bugs,commit_selection_difference,2.0,6,6,6,0,6,3,3,7.666666666666667,-0.5,7.5,31.0,38.5,46.0,80.0,20.0,27.666666666666668,1.0,0.5,0.5,0.0012459312557429644
bugs,commit_selection_difference,3.0,4,4,4,0,4,2,2,2.5,-1.0,3.5,12.400000000000002,14.199999999999996,16.0,24.0,18.5,21.0,1.0,0.5,0.5,0.0003737793767228893
bugs,commit_selection_difference,4.0,7,7,7,1,6,3,3,-8.714285714285714,0.0,4.0,34.800000000000004,36.89999999999999,39.0,89.0,21.428571428571427,12.714285714285714,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.001386098522014048
bugs,commit_selection_difference,5.0,7,7,7,0,7,3,4,-24.714285714285715,-30.0,48.0,77.0,78.5,80.0,313.0,98.71428571428571,74.0,1.0,0.42857142857142855,0.5714285714285714,0.004874706038094348
bugs,commit_selection_difference,6.0,4,4,4,0,4,1,3,-77.0,-39.5,39.5,184.8,207.89999999999995,231.0,312.0,88.5,11.5,1.0,0.25,0.75,0.004859131897397561
bugs,commit_selection_difference,7.0,3,3,3,0,3,0,3,-85.33333333333333,-23.0,23.0,188.60000000000002,209.29999999999998,230.0,256.0,93.0,7.666666666666667,1.0,0.0,1.0,0.003986980018377486
bugs,commit_selection_difference,8.0,1,1,1,0,1,0,1,-63.0,-63.0,63.0,63.0,63.0,63.0,63.0,74.0,11.0,1.0,0.0,1.0,0.0009811708638975845
bugs,commit_selection_difference,,41,41,13,33,8,2,6,-2.5121951219512195,0.0,0.0,4.0,25.0,38.0,111.0,7.487804878048781,4.975609756097561,0.1951219512195122,0.04878048780487805,0.14634146341463414,0.001728729617343363
bugs,paper_commit_missing,3.0,1,1,1,0,1,0,1,-18.0,-18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,1.0,0.0,1.0,0.00028033453254216697
bugs,rule_config_analyzer_profile_signal,-14.0,6,6,6,4,2,1,1,-2.5,0.0,0.0,9.5,13.25,17.0,19.0,9.166666666666666,6.666666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.00029590867323895406
bugs,rule_config_analyzer_profile_signal,-13.0,8,8,8,6,2,1,1,-2.0,0.0,0.0,5.799999999999997,11.399999999999991,17.0,18.0,6.875,4.875,0.25,0.125,0.125,0.00028033453254216697
