metric,cause_category,is_treatment,post_event,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
bugs,commit_selection_difference,0,0,57,57,22,42,15,5,10,-32.6140350877193,0.0,0.0,6.79999999999999,25.0,1732.0,1873.0,45.96491228070175,13.350877192982455,0.2631578947368421,0.08771929824561403,0.17543859649122806,0.029170365525082155
bugs,commit_selection_difference,1,1,43,43,19,2,41,15,26,-19.790697674418606,-3.0,8.0,72.60000000000005,79.69999999999999,231.0,1207.0,43.95348837209303,24.162790697674417,0.9534883720930233,0.3488372093023256,0.6046511627906976,0.018797987821021975
bugs,paper_commit_missing,1,1,1,1,1,0,1,0,1,-18.0,-18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,1.0,0.0,1.0,0.00028033453254216697
bugs,rule_config_analyzer_profile_signal,0,0,694,694,142,450,244,88,156,-7.185878962536023,0.0,0.0,8.0,17.0,338.0,5641.0,12.962536023054755,5.776657060518732,0.3515850144092219,0.12680115273775217,0.22478386167146974,0.08785372767057578
bugs,rule_config_analyzer_profile_signal,1,1,216,216,69,111,105,58,47,-0.24074074074074073,0.0,0.0,11.0,17.0,75.0,956.0,6.912037037037037,6.671296296296297,0.4861111111111111,0.26851851851851855,0.2175925925925926,0.014888878506128425
bugs,source_scope_difference_or_mixed,0,0,414,414,48,72,342,91,251,-67.44444444444444,-3.0,6.0,103.0,336.64999999999935,2190.0,32486.0,159.67149758454107,92.22705314009661,0.8260869565217391,0.21980676328502416,0.606280193236715,0.5059415346758243
bugs,source_scope_difference_or_mixed,1,1,163,163,36,27,136,51,85,-102.38036809815951,-1.0,5.0,287.0,609.400000000001,3864.0,22028.0,219.40490797546013,117.02453987730061,0.8343558282208589,0.3128834355828221,0.5214723926380368,0.34306717126882524
code_smells,commit_selection_difference,0,0,57,57,22,1,56,51,5,71.54385964912281,2.0,3.0,68.79999999999998,201.99999999999915,3320.0,4898.0,478.0701754385965,549.6140350877193,0.9824561403508771,0.8947368421052632,0.08771929824561403,0.017652676914205395
code_smells,commit_selection_difference,1,1,43,43,19,1,42,39,3,110.46511627906976,34.0,34.0,166.80000000000004,348.89999999999975,1567.0,4800.0,610.5348837209302,721.0,0.9767441860465116,0.9069767441860465,0.06976744186046512,0.017299479213594506
code_smells,paper_commit_missing,1,1,1,1,1,0,1,0,1,-208.0,-208.0,208.0,208.0,208.0,208.0,208.0,209.0,1.0,1.0,0.0,1.0,0.000749644099255762
code_smells,rule_config_analyzer_profile_signal,0,0,694,694,142,86,608,407,201,5.8414985590778095,2.0,8.0,57.80000000000018,218.0,719.0,25018.0,142.86887608069165,148.71037463976944,0.8760806916426513,0.5864553314121037,0.2896253602305475,0.09016632728452237
code_smells,rule_config_analyzer_profile_signal,1,1,216,216,69,41,175,131,44,9.217592592592593,3.0,7.5,48.0,153.0,837.0,6895.0,89.63425925925925,98.85185185185185,0.8101851851851852,0.6064814814814815,0.2037037037037037,0.02484998107869461
code_smells,source_scope_difference_or_mixed,0,0,414,414,48,2,412,297,115,248.79227053140096,30.0,109.0,917.8999999999999,1456.05,7833.0,147962.0,1993.3961352657004,2242.1884057971015,0.9951690821256038,0.717391304347826,0.2777777777777778,0.5332636548753897
code_smells,source_scope_difference_or_mixed,1,1,163,163,36,1,162,130,32,338.23312883435585,111.0,138.0,1297.400000000001,1831.6000000000008,8448.0,87684.0,2596.9754601226996,2935.2085889570553,0.9938650306748467,0.7975460122699386,0.19631901840490798,0.31601823653433764
cognitive_complexity,commit_selection_difference,0,0,57,57,22,44,13,13,0,21.94736842105263,0.0,0.0,32.99999999999999,49.79999999999994,617.0,1251.0,2497.40350877193,2519.3508771929824,0.22807017543859648,0.22807017543859648,0.0,0.008299278208258147
cognitive_complexity,commit_selection_difference,1,1,43,43,19,27,16,13,3,145.3953488372093,0.0,0.0,425.40000000000003,489.7,3603.0,6344.0,5206.7441860465115,5352.139534883721,0.37209302325581395,0.3023255813953488,0.06976744186046512,0.04208682730071118
cognitive_complexity,paper_commit_missing,1,1,1,1,1,0,1,0,1,-1446.0,-1446.0,1446.0,1446.0,1446.0,1446.0,1446.0,1573.0,127.0,1.0,0.0,1.0,0.009592930686763613
cognitive_complexity,rule_config_analyzer_profile_signal,0,0,694,694,142,693,1,0,1,-0.001440922190201729,0.0,0.0,0.0,0.0,1.0,1.0,912.9438040345822,912.942363112392,0.001440922190201729,0.0,0.001440922190201729,6.6341152743870075e-06
cognitive_complexity,rule_config_analyzer_profile_signal,1,1,216,216,69,216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0324074074074,1044.0324074074074,0.0,0.0,0.0,0.0
cognitive_complexity,source_scope_difference_or_mixed,0,0,414,414,48,281,133,97,36,-8.729468599033817,0.0,0.0,141.19999999999993,533.5499999999995,25067.0,55202.0,11511.963768115942,11503.234299516907,0.321256038647343,0.23429951690821257,0.08695652173913043,0.3662164313767116
cognitive_complexity,source_scope_difference_or_mixed,1,1,163,163,36,111,52,38,14,-167.16564417177915,0.0,0.0,407.0,1327.0,29442.0,86492.0,13761.478527607362,13594.312883435583,0.31901840490797545,0.2331288343558282,0.08588957055214724,0.5737978983122811
comment_lines_density,commit_selection_difference,0,0,57,57,22,44,13,5,8,0.23859649122807033,0.0,0.0,0.3999999999999989,0.7399999999999983,14.5,20.2,7.2631578947368425,7.5017543859649125,0.22807017543859648,0.08771929824561403,0.14035087719298245,0.0812877263581489
comment_lines_density,commit_selection_difference,1,1,43,43,19,29,14,9,5,-0.07441860465116287,0.0,0.0,0.3800000000000001,2.8399999999999963,4.0,12.399999999999995,18.37906976744186,18.304651162790698,0.32558139534883723,0.20930232558139536,0.11627906976744186,0.0498993963782696
comment_lines_density,paper_commit_missing,1,1,1,1,1,0,1,0,1,-9.1,-9.1,9.1,9.1,9.1,9.1,9.1,16.1,7.0,1.0,0.0,1.0,0.036619718309859155
