cause_category,source_group,repo_name,metric,rows,comparable_non_null,unique_repos,identical_rows,different_rows,positive_diff_rows,negative_diff_rows,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,max_abs_diff,total_abs_diff,paper_mean,our_mean,different_share,positive_diff_share,negative_diff_share,share_total_abs_diff_within_metric
source_scope_difference_or_mixed,treatment,PostHog/posthog,ncloc,19,19,1,0,19,19,0,29141.63157894737,25828.0,25828.0,67445.99999999999,81929.19999999998,88438.0,553691.0,788305.6842105263,817447.3157894737,1.0,1.0,0.0,0.39951180408090226
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,technical_debt,16,16,1,0,16,15,1,17238.25,17953.0,17978.5,35799.5,41064.75,56847.0,389506.0,149064.625,166302.875,1.0,0.9375,0.0625,0.2686142682666957
source_scope_difference_or_mixed,treatment,DataDog/integrations-core,technical_debt,20,20,1,0,20,0,20,-15685.55,-16368.0,16368.0,16989.9,17034.5,17044.0,313711.0,34396.4,18710.85,1.0,0.0,1.0,0.2163439092394299
source_scope_difference_or_mixed,control,lancedb/lancedb,ncloc,17,17,1,0,17,17,0,16020.941176470587,16374.0,16374.0,21855.2,22080.6,22159.0,272356.0,24249.823529411766,40270.76470588235,1.0,1.0,0.0,0.19651653523762933
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,ncloc,16,16,1,0,16,0,16,-8469.25,-194.0,194.0,197.5,33496.5,133392.0,135508.0,174966.5625,166497.3125,1.0,0.0,1.0,0.09777483388278824
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,code_smells,16,16,1,0,16,15,1,4196.9375,4106.5,4107.0,7831.5,7986.75,8448.0,84047.0,24905.3125,29102.25,1.0,0.9375,0.0625,0.30291027697187034
source_scope_difference_or_mixed,treatment,yeagerai/genlayer-studio,ncloc,14,14,1,0,14,14,0,5368.785714285715,6143.5,6143.5,8776.7,9241.05,9685.0,75163.0,17016.428571428572,22385.214285714286,1.0,1.0,0.0,0.054233328210378816
source_scope_difference_or_mixed,treatment,getsentry/sentry,technical_debt,17,17,1,0,17,17,0,4169.176470588235,4193.0,4193.0,5198.0,5817.2,6098.0,70876.0,119511.82352941176,123681.0,1.0,1.0,0.0,0.048878078585876276
commit_selection_difference,treatment,PostHog/posthog,ncloc,1,1,1,0,1,1,0,68575.0,68575.0,68575.0,68575.0,68575.0,68575.0,68575.0,1155675.0,1224250.0,1.0,1.0,0.0,0.049479803653748884
source_scope_difference_or_mixed,treatment,PostHog/posthog,technical_debt,19,19,1,0,19,7,12,-665.7368421052631,-1811.0,3543.0,4403.8,4794.399999999994,7417.0,61745.0,58133.31578947369,57467.57894736842,1.0,0.3684210526315789,0.631578947368421,0.042581084743565256
source_scope_difference_or_mixed,treatment,terryyin/lizard,technical_debt,12,12,1,0,12,12,0,5074.083333333333,5073.5,5073.5,5083.5,5084.0,5084.0,60889.0,8604.583333333334,13678.666666666666,1.0,1.0,0.0,0.04199076312172556
source_scope_difference_or_mixed,treatment,zauberzeug/nicegui,static_analysis_warnings,16,16,1,0,16,15,1,2104.0625,2023.0,2023.5,5647.5,7313.75,12308.0,58281.0,28078.875,30182.9375,1.0,0.9375,0.0625,0.2249337136196802
source_scope_difference_or_mixed,treatment,keephq/keep,technical_debt,17,17,1,0,17,17,0,2991.6470588235293,3141.0,3141.0,3886.2,3895.4,3925.0,50858.0,12886.235294117647,15877.882352941177,1.0,1.0,0.0,0.03507310402280738
