scan_group,metric,compared_rows,rows_with_paper_match,comparable_non_null,identical_rows,mean_paper,mean_our,mean_diff,median_abs_diff,max_abs_diff,identical_share_among_non_null
control,bugs,1779,1167,1074,616,18.748603351955307,9.096121416526138,-7.877094972067039,0.0,338.0,0.5735567970204841
control,code_smells,1779,1167,1074,145,266.6564245810056,282.49522203485105,15.919925512104284,10.0,1018.0,0.13500931098696461
control,cognitive_complexity,1779,1167,1046,934,1912.8508604206502,2037.0,-22.87189292543021,0.0,2180.0,0.892925430210325
control,comment_lines_density,1779,1167,1052,920,14.751330798479087,14.54509692132269,-0.008650190114068444,0.0,7.0,0.8745247148288974
control,duplicated_lines_density,1779,1167,1052,929,8.736692015209126,9.43181299885975,-0.07005703422053232,0.0,6.499999999999999,0.8830798479087453
control,ncloc,1779,1167,1052,776,16425.6891634981,15767.558152793614,219.64923954372622,0.0,22159.0,0.7376425855513308
control,static_analysis_warnings,1779,1167,1074,143,285.8417132216015,295.12703766160763,10.810055865921788,13.0,1095.0,0.13314711359404097
control,technical_debt,1779,1167,1074,184,1875.2653631284916,1947.9572793704328,0.7085661080074488,43.0,3580.0,0.1713221601489758
control,vulnerabilities,1779,1167,1074,625,0.4366852886405959,3.5356942102304667,2.7672253258845436,0.0,137.0,0.5819366852886406
treatment,bugs,1264,1002,959,375,126.53933747412009,50.18217979315831,-47.56621480709072,2.0,3864.0,0.3910323253388947
treatment,code_smells,1264,1002,959,84,1456.075569358178,1149.2458233890216,162.78832116788323,25.0,8448.0,0.08759124087591241
treatment,cognitive_complexity,1264,1002,955,824,8074.663201663202,5734.187549880287,-199.42931937172776,0.0,29442.0,0.86282722513089
treatment,comment_lines_density,1264,1002,955,771,16.425051975051975,17.02075019952115,0.04429319371727747,0.0,15.7,0.8073298429319372
treatment,duplicated_lines_density,1264,1002,955,746,5.473492723492724,4.564804469273743,-0.2832460732984294,0.0,46.599999999999994,0.7811518324607329
treatment,ncloc,1264,1002,955,515,88801.33887733887,65285.7893056664,486.92460732984296,0.0,133392.0,0.5392670157068062
treatment,static_analysis_warnings,1264,1002,959,61,1588.2587991718426,1208.12092283214,120.44525547445255,28.0,12308.0,0.06360792492179354
treatment,technical_debt,1264,1002,959,61,9829.942028985508,7190.643595863166,272.3628779979145,111.0,56847.0,0.06360792492179354
treatment,vulnerabilities,1264,1002,959,421,5.6438923395445135,8.692919649960222,5.223149113660063,1.0,87.0,0.43899895724713245
