repo_name,driver_rows,source_group,driver_metrics,cause_categories,driver_abs_diff_sum,driver_abs_diff_max,cause_row_counts,tree_rows,max_tracked_files,max_python_files,max_notebook_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,months_observed,commits_observed,tree_cause_categories,python_file_share,js_ts_file_share,test_like_file_share,doc_example_file_share,generated_vendor_file_share,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,python_lint_config_present,generic_repo_config_present,main_root_cause,root_cause_evidence,recommended_reconfiguration_step
PostHog/posthog,12,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_difference_or_mixed; commit_selection_difference,755335.0,553691.0,source_scope_difference_or_mixed:7; commit_selection_difference:5,45.0,12087,3609,0,3904,2058,119,1080,13.0,14.0,commit_selection_difference; source_scope_difference_or_mixed,0.2986,0.323,0.1703,0.0098,0.0894,frontend:5886; posthog:3054; plugin-server:710; products:669; rust:575; ee:535; common:245; hogvm:167,frontend; plugin-server; rust; cypress; dags_test,.gitignore; pyproject.toml,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
zauberzeug/nicegui,11,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings; bugs; cognitive_complexity; duplicated_lines_density,source_scope_difference_or_mixed; commit_selection_difference,750800.2,389506.0,source_scope_difference_or_mixed:7; commit_selection_difference:4,68.0,1334,716,0,352,138,307,0,17.0,18.0,commit_selection_difference; source_scope_difference_or_mixed,0.5367,0.2639,0.1034,0.2301,0.0,nicegui:836; website:190; examples:161; tests:107; (root):37; .github:11; scripts:5; .cursor:2,website; examples; tests,.gitignore; .pre-commit-config.yaml; pyproject.toml,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
DataDog/integrations-core,7,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs; cognitive_complexity; vulnerabilities,source_scope_difference_or_mixed,374588.0,313711.0,source_scope_difference_or_mixed:7,15.0,12368,4645,0,7,4387,859,125,15.0,15.0,source_scope_difference_or_mixed,0.3756,0.0006,0.3547,0.0695,0.0101,snmp:653; openstack_controller:448; datadog_checks_base:400; datadog_checks_dev:371; ddev:252; mongo:218; sqlserver:140; postgres:96,,.gitignore; .pre-commit-config.yaml; pyproject.toml,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
lancedb/lancedb,5,control,ncloc; technical_debt; cognitive_complexity; code_smells; static_analysis_warnings,source_scope_difference_or_mixed,316858.0,272356.0,source_scope_difference_or_mixed:5,18.0,697,102,12,68,89,375,16,12.0,12.0,source_scope_difference_or_mixed,0.1463,0.0976,0.1277,0.538,0.023,docs:302; python:115; nodejs:86; rust:63; java:39; node:35; .github:31; ci:19,docs; rust; dockerfiles,.gitignore; .pre-commit-config.yaml,False,False,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
getsentry/sentry,7,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; bugs; vulnerabilities; cognitive_complexity,source_scope_difference_or_mixed,138343.0,70876.0,source_scope_difference_or_mixed:7,15.0,17273,6813,0,7580,4872,511,1010,10.0,10.0,source_scope_difference_or_mixed,0.3944,0.4388,0.2821,0.0296,0.0585,static:7570; src:4725; tests:4706; fixtures:494; api-docs:75; .github:63; (root):42; bin:24,tests; api-docs,.gitignore; .pre-commit-config.yaml; pyproject.toml; setup.cfg,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
yeagerai/genlayer-studio,6,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,100033.0,75163.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:1,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
TextGeneratorio/text-generator.io,6,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_difference_or_mixed,99008.0,41221.0,source_scope_difference_or_mixed:6,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
ethyca/fides,7,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; bugs; cognitive_complexity; vulnerabilities,source_scope_difference_or_mixed,95813.0,44429.0,source_scope_difference_or_mixed:7,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
terryyin/lizard,5,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; bugs,source_scope_difference_or_mixed,83969.0,60889.0,source_scope_difference_or_mixed:5,0.0,0,0,0,0,0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
wdm0006/elote,7,treatment,cognitive_complexity; ncloc; technical_debt; static_analysis_warnings; code_smells,source_scope_difference_or_mixed; rule_config_analyzer_profile_signal,83188.0,50134.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:2,2.0,146,40,0,11,19,101,63,2.0,2.0,source_scope_difference_or_mixed,0.274,0.0753,0.1301,0.6918,0.4315,docs:85; tests:15; (root):12; examples:12; elote:11; .github:6; .cursor:5; scripts:1,docs; tests; examples,.gitignore; pyproject.toml; setup.cfg; tox.ini,False,True,True,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.
