target_id,variant,project_key,project_version,source_group,repo_name,time,scan_commit,issue_key,component,line,rule,type_api,severity_api,message,creation_date,effort_api,status,resolution,clean_code_attribute,clean_code_attribute_category,software_quality,impact_severity,component_path,path_bucket,type,severity,effort,example_message,category,source_dataset,fetched_issues,fetch_note
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,2deeff3c-e9b7-4ec2-97b9-d14e1454a369,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:.devcontainer/Dockerfile,31,docker:S7031,CODE_SMELL,MINOR,Merge this RUN instruction with the consecutive ones.,2026-07-08T19:32:48+0000,5min,OPEN,,CONVENTIONAL,CONSISTENT,MAINTAINABILITY,LOW,devcontainer/Dockerfile,devcontainer,CODE_SMELL,MINOR,5min,Merge this RUN instruction with the consecutive ones.,Infrastructure,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,59ecd5e2-5901-49ca-8cb6-dcf4f49b80e8,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:development.dockerfile,3,docker:S7031,CODE_SMELL,MINOR,Merge this RUN instruction with the consecutive ones.,2026-07-08T19:32:48+0000,5min,OPEN,,CONVENTIONAL,CONSISTENT,MAINTAINABILITY,LOW,development.dockerfile,development.dockerfile,CODE_SMELL,MINOR,5min,Merge this RUN instruction with the consecutive ones.,Infrastructure,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,b1a237b1-9087-43ee-a7d6-17617d5a8ea9,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:development.dockerfile,14,docker:S7031,CODE_SMELL,MINOR,Merge this RUN instruction with the consecutive ones.,2026-07-08T19:32:48+0000,5min,OPEN,,CONVENTIONAL,CONSISTENT,MAINTAINABILITY,LOW,development.dockerfile,development.dockerfile,CODE_SMELL,MINOR,5min,Merge this RUN instruction with the consecutive ones.,Infrastructure,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,739ee98f-575b-4b13-8780-7456d11cee8f,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:development.dockerfile,18,docker:S7019,CODE_SMELL,MAJOR,Replace this shell form with exec form.,2026-07-08T19:32:48+0000,5min,OPEN,,CONVENTIONAL,CONSISTENT,RELIABILITY,MEDIUM,development.dockerfile,development.dockerfile,CODE_SMELL,MAJOR,5min,Consider wrapping this instruction in a script file and call it with exec form.,Infrastructure,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,84ca9582-2964-4b1a-9309-599f21b08d36,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/audio_recorder/audio_recorder.vue,61,javascript:S125,CODE_SMELL,MAJOR,Remove this commented out code.,2026-07-08T19:32:48+0000,5min,OPEN,,CLEAR,INTENTIONAL,MAINTAINABILITY,MEDIUM,examples/audio_recorder/audio_recorder.vue,examples,CODE_SMELL,MAJOR,5min,Remove this commented out code.,Code Hygiene,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,a075c25e-c88b-4de2-90bf-f12c441a13c2,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/audio_recorder/audio_recorder.vue,67,javascript:S7764,CODE_SMELL,MINOR,Prefer `globalThis` over `window`.,2026-07-08T19:32:48+0000,2min,OPEN,,CONVENTIONAL,CONSISTENT,MAINTAINABILITY,LOW,examples/audio_recorder/audio_recorder.vue,examples,CODE_SMELL,MINOR,,,Unmapped,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,669104f1-5ac6-427d-a551-b962c9e3a879,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/audio_recorder/audio_recorder.vue,92,css:S7924,CODE_SMELL,MAJOR,Text does not meet the minimal contrast requirement with its background.,2026-07-08T19:32:48+0000,5min,OPEN,,CONVENTIONAL,CONSISTENT,MAINTAINABILITY,MEDIUM,examples/audio_recorder/audio_recorder.vue,examples,CODE_SMELL,MAJOR,,,Unmapped,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,db562d72-8f2a-4532-b3b5-4434cff7dd57,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/chat_with_ai/main.py,7,python:S1135,CODE_SMELL,INFO,"Complete the task associated to this ""TODO"" comment.",2026-07-08T19:32:48+0000,0min,OPEN,,COMPLETE,INTENTIONAL,MAINTAINABILITY,INFO,examples/chat_with_ai/main.py,examples,CODE_SMELL,INFO,0min,"Complete the task associated to this ""TODO"" comment.",Code Hygiene,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,57427f55-c6d6-4a98-8c18-f663a7ef43cc,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/custom_binding/main.py,41,python:S3358,CODE_SMELL,MAJOR,Extract this nested conditional expression into an independent statement.,2026-07-08T19:32:48+0000,5min,OPEN,,CLEAR,INTENTIONAL,MAINTAINABILITY,MEDIUM,examples/custom_binding/main.py,examples,CODE_SMELL,MAJOR,5min,Extract this nested conditional expression into an independent statement.,Code Complexity,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
1,paper_like,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c,2025-04_paper_like_2b8b1a6969,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,255500e3-b3c7-4393-a2a8-369e05b6e53b,py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c:examples/ffmpeg_extract_images/main.py,21,python:S7493,BUG,MAJOR,Use an asynchronous file API instead of synchronous open() in this async function.,2026-07-08T19:32:48+0000,5min,OPEN,,EFFICIENT,INTENTIONAL,RELIABILITY,HIGH,examples/ffmpeg_extract_images/main.py,examples,BUG,MAJOR,,,Unmapped,sensitivity_scan,10000,api_error:400 Client Error:  for url: http://localhost:9000/api/issues/search?componentKeys=py2b12_zauberzeug_nicegui_paper_like_202504_3bf4ed581c&p=21&ps=500&additionalFields=_all
