target_id,variant,source_group,repo_name,time,rule,type,severity,category,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S878,CODE_SMELL,MAJOR,Code Style,0,2995,2995,-2995,2995
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S3504,CODE_SMELL,CRITICAL,Code Style,0,2056,2056,-2056,2056
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S2681,CODE_SMELL,MAJOR,Logic Error,0,1122,1122,-1122,1122
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6759,CODE_SMELL,MINOR,Type Safety,0,995,995,-995,995
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S3358,CODE_SMELL,MAJOR,Code Complexity,0,801,801,-801,801
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7735,CODE_SMELL,MINOR,Unmapped,0,712,712,-712,712
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S1121,CODE_SMELL,MAJOR,Code Style,0,661,661,-661,661
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S4325,CODE_SMELL,MINOR,Type Safety,0,551,551,-551,551
2,paper_like,treatment,PostHog/posthog,2025-04,javascript:S7780,CODE_SMELL,MINOR,Unmapped,0,503,503,-503,503
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S3776,CODE_SMELL,CRITICAL,Code Complexity,0,453,453,-453,453
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S3358,CODE_SMELL,MAJOR,Code Complexity,0,428,428,-428,428
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7748,CODE_SMELL,MINOR,Unmapped,0,426,426,-426,426
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7764,CODE_SMELL,MINOR,Unmapped,0,359,359,-359,359
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S1135,CODE_SMELL,INFO,Code Hygiene,0,333,333,-333,333
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7773,CODE_SMELL,MINOR,Unmapped,0,311,311,-311,311
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S1192,CODE_SMELL,CRITICAL,Code Complexity,0,303,303,-303,303
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S6861,CODE_SMELL,CRITICAL,Code Style,0,266,266,-266,266
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S3776,CODE_SMELL,CRITICAL,Code Complexity,0,260,260,-260,260
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S1763,BUG,MAJOR,Logic Error,0,245,245,-245,245
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6582,CODE_SMELL,MAJOR,Code Style,0,214,214,-214,214
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6749,CODE_SMELL,MINOR,React Patterns,0,196,196,-196,196
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S1874,CODE_SMELL,MINOR,API Usage,0,171,171,-171,171
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S3863,CODE_SMELL,MINOR,Code Style,0,170,170,-170,170
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6479,CODE_SMELL,MAJOR,React Patterns,0,166,166,-166,166
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7773,CODE_SMELL,MINOR,Unmapped,0,165,165,-165,165
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S2933,CODE_SMELL,MAJOR,Code Style,0,155,155,-155,155
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6767,CODE_SMELL,MINOR,React Patterns,0,138,138,-138,138
2,paper_like,treatment,PostHog/posthog,2025-04,css:S125,CODE_SMELL,MAJOR,Code Hygiene,0,133,133,-133,133
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S3776,CODE_SMELL,CRITICAL,Code Complexity,0,123,123,-123,123
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S2392,CODE_SMELL,MAJOR,Naming Conventions,0,122,122,-122,122
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S1313,CODE_SMELL,MINOR,Unmapped,0,114,114,-114,114
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6848,CODE_SMELL,MAJOR,Accessibility,0,108,108,-108,108
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S112,CODE_SMELL,MAJOR,Error Handling,0,105,105,-105,105
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S1082,BUG,MINOR,Accessibility,0,103,103,-103,103
2,paper_like,treatment,PostHog/posthog,2025-04,javascript:S6582,CODE_SMELL,MAJOR,Code Style,0,101,101,-101,101
2,paper_like,treatment,PostHog/posthog,2025-04,javascript:S4624,CODE_SMELL,MAJOR,Code Complexity,0,100,100,-100,100
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S6582,CODE_SMELL,MAJOR,Code Style,0,98,98,-98,98
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S1264,CODE_SMELL,MINOR,Code Style,0,96,96,-96,96
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S6397,CODE_SMELL,MAJOR,Regex Issues,0,95,95,-95,95
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7772,CODE_SMELL,MINOR,Unmapped,0,95,95,-95,95
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S2486,CODE_SMELL,MINOR,Error Handling,0,93,93,-93,93
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S1135,CODE_SMELL,INFO,Code Hygiene,0,93,93,-93,93
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7744,CODE_SMELL,MINOR,Unmapped,0,91,91,-91,91
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S6535,CODE_SMELL,MAJOR,Code Style,0,84,84,-84,84
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S117,CODE_SMELL,MINOR,Naming Conventions,0,83,83,-83,83
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7781,CODE_SMELL,MINOR,Unmapped,0,81,81,-81,81
3,paper_like,treatment,DataDog/integrations-core,2025-01,python:S1172,CODE_SMELL,MAJOR,Code Hygiene,0,78,78,-78,78
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S2430,CODE_SMELL,CRITICAL,Naming Conventions,0,76,76,-76,76
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7755,CODE_SMELL,MINOR,Unmapped,0,74,74,-74,74
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6478,CODE_SMELL,MAJOR,React Patterns,0,73,73,-73,73
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7758,CODE_SMELL,MINOR,Unmapped,0,72,72,-72,72
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7780,CODE_SMELL,MINOR,Unmapped,0,72,72,-72,72
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7723,CODE_SMELL,MINOR,Unmapped,0,69,69,-69,69
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7780,CODE_SMELL,MINOR,Unmapped,0,64,64,-64,64
2,paper_like,treatment,PostHog/posthog,2025-04,python:S5806,CODE_SMELL,MAJOR,Naming Conventions,1,64,63,-63,63
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7764,CODE_SMELL,MINOR,Unmapped,0,63,63,-63,63
2,paper_like,treatment,PostHog/posthog,2025-04,python:S1542,CODE_SMELL,MAJOR,Naming Conventions,0,62,62,-62,62
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6606,CODE_SMELL,MINOR,Code Style,0,59,59,-59,59
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6594,CODE_SMELL,MINOR,API Usage,0,57,57,-57,57
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S6353,CODE_SMELL,MINOR,Regex Issues,0,55,55,-55,55
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7754,CODE_SMELL,MINOR,Unmapped,0,55,55,-55,55
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S7735,CODE_SMELL,MINOR,Unmapped,0,54,54,-54,54
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S2004,CODE_SMELL,CRITICAL,Code Complexity,0,54,54,-54,54
1,paper_like,treatment,zauberzeug/nicegui,2025-04,javascript:S905,BUG,MAJOR,Logic Error,0,53,53,-53,53
2,paper_like,treatment,PostHog/posthog,2025-04,python:S1135,CODE_SMELL,INFO,Code Hygiene,0,53,53,-53,53
2,paper_like,treatment,PostHog/posthog,2025-04,javascript:S3776,CODE_SMELL,CRITICAL,Code Complexity,0,52,52,-52,52
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7723,CODE_SMELL,MINOR,Unmapped,0,51,51,-51,51
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7741,CODE_SMELL,MINOR,Unmapped,0,50,50,-50,50
3,paper_like,treatment,DataDog/integrations-core,2025-01,kubernetes:S6867,VULNERABILITY,MAJOR,Security,0,49,49,-49,49
2,paper_like,treatment,PostHog/posthog,2025-04,python:S3776,CODE_SMELL,CRITICAL,Code Complexity,0,46,46,-46,46
2,paper_like,treatment,PostHog/posthog,2025-04,typescript:S7765,CODE_SMELL,MINOR,Unmapped,0,46,46,-46,46
