variant,metric,target_metric_rows,comparable_rows,improved_rows,improved_share,sum_abs_diff_our_to_paper,sum_abs_diff_sensitivity_to_paper,sum_improvement_abs_diff,median_abs_diff_sensitivity_to_paper
paper_like,bugs,3,3,0,0.0,4069.0,4069.0,0.0,190.0
scope_exclude_common,bugs,3,3,0,0.0,4069.0,4342.0,-273.0,253.0
paper_like,code_smells,3,3,1,0.3333333333333333,11651.0,11728.0,-77.0,1806.0
scope_exclude_common,code_smells,3,3,0,0.0,11651.0,17888.0,-6237.0,6597.0
paper_like,cognitive_complexity,3,3,1,0.3333333333333333,35826.0,35713.0,113.0,6271.0
scope_exclude_common,cognitive_complexity,3,3,0,0.0,35826.0,97039.0,-61213.0,31431.0
paper_like,comment_lines_density,3,3,0,0.0,2.3,2.3,0.0,0.20000000000000018
scope_exclude_common,comment_lines_density,3,3,0,0.0,2.3,17.9,-15.6,6.9
paper_like,duplicated_lines_density,3,3,0,0.0,35.6,35.6,0.0,0.40000000000000036
scope_exclude_common,duplicated_lines_density,3,3,1,0.3333333333333333,35.6,48.3,-12.699999999999994,7.799999999999999
paper_like,ncloc,3,3,0,0.0,222303.0,222561.0,-258.0,88438.0
scope_exclude_common,ncloc,3,3,0,0.0,222303.0,1203654.0,-981351.0,389149.0
paper_like,static_analysis_warnings,3,3,1,0.3333333333333333,15790.0,15860.0,-70.0,1871.0
scope_exclude_common,static_analysis_warnings,3,3,0,0.0,15790.0,22309.0,-6519.0,6792.0
paper_like,technical_debt,3,3,1,0.3333333333333333,81308.0,81694.0,-386.0,18640.0
scope_exclude_common,technical_debt,3,3,0,0.0,81308.0,123348.0,-42040.0,36308.0
paper_like,vulnerabilities,3,3,1,0.3333333333333333,108.0,101.0,7.0,17.0
scope_exclude_common,vulnerabilities,3,3,1,0.3333333333333333,108.0,203.0,-95.0,58.0
