target_id,variant,source_group,repo_name,time,scan_commit,commit_match_status,main_root_cause,metric,paper_value,our_pyv2_value,sensitivity_value,abs_diff_our_to_paper,abs_diff_sensitivity_to_paper,improvement_abs_diff,improved_vs_pyv2,scan_success,metrics_found,scan_note
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,bugs,4466.0,602.0,602.0,3864.0,3864.0,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,bugs,324.0,309.0,309.0,15.0,15.0,0.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,bugs,262.0,72.0,72.0,190.0,190.0,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,code_smells,11012.0,13226.0,12818.0,2214.0,1806.0,408.0,True,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,code_smells,33270.0,24822.0,24656.0,8448.0,8614.0,-166.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,code_smells,3137.0,2148.0,1829.0,989.0,1308.0,-319.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,37975.0,37862.0,37975.0,113.0,0.0,113.0,True,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,94814.0,65372.0,65372.0,29442.0,29442.0,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,cognitive_complexity,69756.0,76027.0,76027.0,6271.0,6271.0,0.0,False,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,6.0,8.1,8.1,2.0999999999999996,2.0999999999999996,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,4.7,4.9,4.9,0.20000000000000018,0.20000000000000018,0.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,comment_lines_density,8.6,8.6,8.6,0.0,0.0,0.0,False,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,36.6,1.4,1.4,35.2,35.2,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,9.5,9.1,9.1,0.40000000000000036,0.40000000000000036,0.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,duplicated_lines_density,8.6,8.6,8.6,0.0,0.0,0.0,False,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,ncloc,211510.0,78118.0,78118.0,133392.0,133392.0,0.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,ncloc,937017.0,1025455.0,1025455.0,88438.0,88438.0,0.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,ncloc,550705.0,550232.0,551436.0,473.0,731.0,-258.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,11374.0,13652.0,13245.0,2278.0,1871.0,407.0,True,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,37736.0,25428.0,25262.0,12308.0,12474.0,-166.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,static_analysis_warnings,3573.0,2369.0,2058.0,1204.0,1515.0,-311.0,False,True,True,ok
2,paper_like,treatment,PostHog/posthog,2025-04,08f147eb9879e899fb7939f4b9413c86164ba7f9,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,70394.0,77811.0,75771.0,7417.0,5377.0,2040.0,True,True,True,ok
1,paper_like,treatment,zauberzeug/nicegui,2025-04,2b8b1a696992e64578f2e4c5fc285e90b60b87a6,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,193776.0,136929.0,136099.0,56847.0,57677.0,-830.0,False,True,True,ok
3,paper_like,treatment,DataDog/integrations-core,2025-01,82c4055486147402d96748c0abd63de6850e83d1,exact_match,source_scope_inclusion_exclusion_difference,technical_debt,35928.0,18884.0,17288.0,17044.0,18640.0,-1596.0,False,True,True,ok
