source_group,metric,analysis_rows,comparable_non_null,identical_rows,different_rows,identical_share_among_non_null,different_share_among_non_null,positive_diff_rows,negative_diff_rows,positive_diff_share,negative_diff_share,mean_diff,median_diff,median_abs_diff,p90_abs_diff,p95_abs_diff,p99_abs_diff,max_abs_diff,paper_mean,our_mean
control,bugs,491,491,318,173,0.6476578411405295,0.35234215885947046,77,96,0.15682281059063136,0.1955193482688391,-9.382892057026476,0.0,0.0,8.0,23.0,338.0,338.0,15.39714867617108,6.014256619144603
treatment,bugs,420,420,244,176,0.580952380952381,0.41904761904761906,69,107,0.16428571428571428,0.25476190476190474,-1.0285714285714285,0.0,0.0,10.0,17.0,44.81,75.0,6.973809523809524,5.945238095238095
control,vulnerabilities,491,491,317,174,0.6456211812627292,0.3543788187372709,155,19,0.31568228105906315,0.038696537678207736,1.4989816700610998,0.0,0.0,4.0,7.5,17.200000000000045,19.0,0.15478615071283094,1.6537678207739308
treatment,vulnerabilities,420,420,288,132,0.6857142857142857,0.3142857142857143,108,24,0.2571428571428571,0.05714285714285714,0.6714285714285714,0.0,0.0,2.1000000000000227,4.0,9.810000000000002,14.0,0.3761904761904762,1.0476190476190477
control,code_smells,491,491,61,430,0.12423625254582485,0.8757637474541752,277,153,0.5641547861507128,0.31160896130346233,5.238289205702648,2.0,8.0,127.0,219.0,679.0,719.0,150.77800407331975,156.0162932790224
treatment,code_smells,420,420,67,353,0.1595238095238095,0.8404761904761905,261,92,0.6214285714285714,0.21904761904761905,8.269047619047619,3.0,7.0,44.10000000000002,129.5499999999995,277.96000000000004,837.0,105.9047619047619,114.17380952380952
control,technical_debt,491,491,68,423,0.1384928716904277,0.8615071283095723,279,144,0.5682281059063137,0.29327902240325865,18.69857433808554,5.0,42.0,586.0,1243.5,3389.0,3580.0,945.1547861507129,963.8533604887983
treatment,technical_debt,420,420,47,373,0.11190476190476191,0.888095238095238,242,131,0.5761904761904761,0.3119047619047619,41.37619047619047,8.0,35.0,222.0,627.249999999998,1690.1900000000019,2702.0,698.5166666666667,739.8928571428571
control,static_analysis_warnings,491,491,60,431,0.12219959266802444,0.8778004073319755,283,148,0.5763747454175153,0.3014256619144603,-2.645621181262729,3.0,9.0,123.0,358.0,698.0,729.0,166.32993890020367,163.68431771894095
treatment,static_analysis_warnings,420,420,48,372,0.11428571428571428,0.8857142857142857,257,115,0.611904761904762,0.27380952380952384,7.911904761904762,3.0,9.0,46.200000000000045,137.69999999999936,285.24,841.0,113.2547619047619,121.16666666666667
