source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
treatment,Anemll/Anemll,2025-07,exact_match,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,ncloc_identical,static_analysis_warnings,1084.0,243.0,-841.0,841.0
treatment,Anemll/Anemll,2025-06,exact_match,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,ncloc_identical,static_analysis_warnings,1000.0,184.0,-816.0,816.0
control,ysj9909/SHViT,2024-04,exact_match,fee7ce4258e81baf9e929e90f26168d632d186a7,fee7ce4258e81baf9e929e90f26168d632d186a7,ncloc_identical,static_analysis_warnings,47.0,776.0,729.0,729.0
control,ysj9909/SHViT,2024-06,exact_match,6a729ccf18e0b941714b529638bd3d9bacebcef0,6a729ccf18e0b941714b529638bd3d9bacebcef0,ncloc_identical,static_analysis_warnings,47.0,776.0,729.0,729.0
control,ysj9909/SHViT,2024-05,exact_match,20819cb8f624e183b1fa2ce941ed18ab8037b07d,20819cb8f624e183b1fa2ce941ed18ab8037b07d,ncloc_identical,static_analysis_warnings,47.0,776.0,729.0,729.0
control,zhipeixu/FakeShield,2025-02,exact_match,b807b92ac958678bb278e741864ba4b821fb73c1,b807b92ac958678bb278e741864ba4b821fb73c1,ncloc_identical,static_analysis_warnings,820.0,1518.0,698.0,698.0
control,zhipeixu/FakeShield,2025-03,exact_match,7bd43c8badef7341807e85e55a8b216dac6c2424,7bd43c8badef7341807e85e55a8b216dac6c2424,ncloc_identical,static_analysis_warnings,820.0,1518.0,698.0,698.0
control,zhipeixu/FakeShield,2025-04,exact_match,2910fb826ea20e11c2c2553c36984630216c0bab,2910fb826ea20e11c2c2553c36984630216c0bab,ncloc_identical,static_analysis_warnings,820.0,1518.0,698.0,698.0
control,zhipeixu/FakeShield,2025-05,exact_match,c34dab9b8df3dc77d2632344eb0d0af387d0658f,c34dab9b8df3dc77d2632344eb0d0af387d0658f,ncloc_identical,static_analysis_warnings,820.0,1518.0,698.0,698.0
control,zhipeixu/FakeShield,2025-06,exact_match,346cb6c74c9a426c1c00d98b13e5f417161a94c1,346cb6c74c9a426c1c00d98b13e5f417161a94c1,ncloc_identical,static_analysis_warnings,820.0,1518.0,698.0,698.0
control,jacebrowning/datafiles,2024-10,exact_match,46280de29975a61a5d4cd09f36c806a2fb7db769,46280de29975a61a5d4cd09f36c806a2fb7db769,ncloc_identical,static_analysis_warnings,600.0,43.0,-557.0,557.0
