panel,check,value
strict,panel_label,strict
strict,input_schema,paper_same_column
strict,covariate_mode_requested,auto
strict,rows,1589
strict,repos,217
strict,treatment_rows,838
strict,control_rows,751
strict,treated_repos,100
strict,control_repos,117
strict,control_post_event_sum,0
strict,treated_post_rows,424
strict,post_event_mismatch_rows,0
strict,analysis_ready_quality_did_rows,1589
strict,static_analysis_warnings_nonmissing,1589
strict,duplicate_line_density_nonmissing,1589
strict,code_complexity_nonmissing,1589
strict,age_nonmissing,1589
strict,ncloc_nonmissing,1589
strict,contributors_nonmissing,1589
strict,stars_nonmissing,1589
strict,issues_nonmissing,1589
strict,sonarqube_latest_commit_missing,
strict,sonarqube_any_raw_metric_missing_sum,
strict,sonarqube_all_raw_metrics_missing_sum,
strict,sonarqube_ncloc_zero_sum,
strict,sonarqube_quality_outcomes_complete_sum,
