repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note
1mrat/cursor-taskrunner,Python,13,4.0,1.0,27458.0,Python: 4996,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
Altinity/clickhouse-grafana,Python,739,1809.0,33.0,1989751.0,Python: 456153; TypeScript: 376675; Go: 208210; Shell: 4461; JavaScript: 4262; Dockerfile: 1840; CSS: 89,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Altinity_clickhouse-grafana,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
Anemll/Anemll,Python,307,8.0,1.0,2542.0,Python: 252255; Shell: 19620,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
Apocrathia/home-assistant-config,Python,182,1000.0,9.0,3652.0,Python: 2728; C++: 2037; Shell: 983,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
Aronnaxx/Behold-Urwar-Droid-Concepts,Python,14,64.0,1.0,18131.0,Python: 168252; HTML: 133404; JavaScript: 24660; CSS: 11080,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Aronnaxx_Behold-Urwar-Droid-Concepts,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
AttackIQ/DetectIQ,Python,101,36.0,1.0,16575.0,Python: 386470; TypeScript: 155128; JavaScript: 2064; Makefile: 1322; Shell: 613; CSS: 374,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/AttackIQ_DetectIQ,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
ChatFAQ/ChatFAQ,Python,128,1391.0,8.0,14270.0,Python: 1066102; Vue: 363332; SCSS: 43290; JavaScript: 37927; Dockerfile: 5938; TypeScript: 2181; Makefile: 1927; Shell: 989,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ChatFAQ_ChatFAQ,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
Chocksy/qc-options-framework,Python,14,100.0,3.0,497.0,Python: 706400; Jupyter Notebook: 2105; Shell: 1163,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Chocksy_qc-options-framework,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
DannyMac180/mirror,Python,10,15.0,1.0,802.0,Python: 166452; Jupyter Notebook: 47445; HCL: 25460; Makefile: 855; Dockerfile: 342,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DannyMac180_mirror,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
DataDog/integrations-core,Python,995,17955.0,381.0,276062.0,Python: 18642616; Shell: 117219; TSQL: 64105; Dockerfile: 57585; Erlang: 15518; COBOL: 12312; Java: 9035; HCL: 8876; Scala: 7000; Go: 6988; PowerShell: 6400; Lua: 3489; Starlark: 2446; JavaScript: 1818; HTML: 1318; TypeScript: 1019; Batchfile: 652; Kotlin: 430; Roff: 359; Jinja: 310; Ruby: 292; Swift: 203; Logos: 143; PHP: 20,skipped_existing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataDog_integrations-core,reused_status=skipped_existing;verified_existing_git_repo;git_clone_not_executed
