column,source,non_missing_count,missing_count
repo_name,python_quality_input,1591,0
time,python_quality_input,1591,0
is_treatment,python_quality_input,1591,0
event,python_quality_input,842,749
post_event,python_quality_input,1591,0
time_to_event,python_quality_input,842,749
lead_6,python_quality_input,1591,0
lead_5,python_quality_input,1591,0
lead_4,python_quality_input,1591,0
lead_3,python_quality_input,1591,0
lead_2,python_quality_input,1591,0
lead_1,python_quality_input,1591,0
lag_0,python_quality_input,1591,0
lag_1,python_quality_input,1591,0
lag_2,python_quality_input,1591,0
lag_3,python_quality_input,1591,0
lag_4,python_quality_input,1591,0
lag_5,python_quality_input,1591,0
lag_6,python_quality_input,1591,0
cursor,python_quality_input,1591,0
commits,python_quality_input,1591,0
lines_added,python_quality_input,1591,0
lines_removed,python_quality_input,1591,0
contributors,python_quality_input,1591,0
stars,paper_panel_exact_repo_month_fill,1591,0
issues,paper_panel_exact_repo_month_fill,1591,0
issue_comments,paper_panel_exact_repo_month_fill,1591,0
age,paper_panel_exact_repo_month_fill,1591,0
ncloc,python_quality_input,1591,0
bugs,python_quality_input,1591,0
vulnerabilities,python_quality_input,1591,0
code_smells,python_quality_input,1591,0
duplicated_lines_density,python_quality_input,1591,0
comment_lines_density,python_quality_input,1591,0
cognitive_complexity,python_quality_input,1591,0
technical_debt,python_quality_input,1591,0
num_dependencies_total,paper_panel_exact_repo_month_fill,149,1442
num_vulnerable_dependencies,paper_panel_exact_repo_month_fill,149,1442
average_technical_lag,paper_panel_exact_repo_month_fill,149,1442
dataset_source,python_quality_input,1591,0
other_agents,paper_panel_exact_repo_month_fill,425,1166
high_confidence,paper_panel_exact_repo_month_fill,425,1166
