repo_name,time,metric,our_value,paper_value,diff_our_minus_paper,abs_diff
getsentry/sentry,2025-08,ncloc,995274.0,2038867.0,-1043593.0,1043593.0
getsentry/sentry,2025-07,ncloc,972083.0,2015026.0,-1042943.0,1042943.0
getsentry/sentry,2025-06,ncloc,952260.0,1962140.0,-1009880.0,1009880.0
getsentry/sentry,2025-05,ncloc,924005.0,1909669.0,-985664.0,985664.0
getsentry/sentry,2025-04,ncloc,931540.0,1907308.0,-975768.0,975768.0
getsentry/sentry,2025-03,ncloc,898868.0,1853961.0,-955093.0,955093.0
getsentry/sentry,2025-02,ncloc,870983.0,1771865.0,-900882.0,900882.0
getsentry/sentry,2025-01,ncloc,857681.0,1670416.0,-812735.0,812735.0
getsentry/sentry,2024-12,ncloc,844550.0,1644542.0,-799992.0,799992.0
getsentry/sentry,2024-11,ncloc,838698.0,1626387.0,-787689.0,787689.0
getsentry/sentry,2024-10,ncloc,826479.0,1607265.0,-780786.0,780786.0
getsentry/sentry,2024-09,ncloc,812590.0,1578069.0,-765479.0,765479.0
getsentry/sentry,2024-08,ncloc,805047.0,1550545.0,-745498.0,745498.0
getsentry/sentry,2024-07,ncloc,795404.0,1523120.0,-727716.0,727716.0
getsentry/sentry,2024-06,ncloc,780596.0,1483303.0,-702707.0,702707.0
getsentry/sentry,2024-05,ncloc,764337.0,1455256.0,-690919.0,690919.0
getsentry/sentry,2024-04,ncloc,748988.0,1428367.0,-679379.0,679379.0
getsentry/sentry,2024-03,ncloc,731865.0,1388532.0,-656667.0,656667.0
getsentry/sentry,2024-02,ncloc,745495.0,1382944.0,-637449.0,637449.0
getsentry/sentry,2024-01,ncloc,727562.0,1349397.0,-621835.0,621835.0
PostHog/posthog,2025-08,ncloc,642256.0,1232071.0,-589815.0,589815.0
PostHog/posthog,2025-07,ncloc,603546.0,1155675.0,-552129.0,552129.0
PostHog/posthog,2025-06,ncloc,556029.0,1079135.0,-523106.0,523106.0
PostHog/posthog,2025-05,ncloc,526926.0,1021926.0,-495000.0,495000.0
PostHog/posthog,2025-03,ncloc,484759.0,936364.0,-451605.0,451605.0
PostHog/posthog,2025-02,ncloc,463665.0,896790.0,-433125.0,433125.0
PostHog/posthog,2025-04,ncloc,506681.0,937017.0,-430336.0,430336.0
PostHog/posthog,2025-01,ncloc,440581.0,837418.0,-396837.0,396837.0
PostHog/posthog,2024-12,ncloc,433731.0,802199.0,-368468.0,368468.0
PostHog/posthog,2024-11,ncloc,416458.0,776480.0,-360022.0,360022.0
PostHog/posthog,2024-10,ncloc,402400.0,748190.0,-345790.0,345790.0
PostHog/posthog,2024-09,ncloc,389499.0,725600.0,-336101.0,336101.0
PostHog/posthog,2024-08,ncloc,371135.0,695941.0,-324806.0,324806.0
PostHog/posthog,2024-07,ncloc,360819.0,677634.0,-316815.0,316815.0
PostHog/posthog,2024-06,ncloc,347904.0,661185.0,-313281.0,313281.0
PostHog/posthog,2024-05,ncloc,334772.0,630918.0,-296146.0,296146.0
PostHog/posthog,2024-04,ncloc,319364.0,607701.0,-288337.0,288337.0
PostHog/posthog,2024-03,ncloc,306916.0,589460.0,-282544.0,282544.0
PostHog/posthog,2024-02,ncloc,296186.0,573567.0,-277381.0,277381.0
PostHog/posthog,2024-01,ncloc,275604.0,548212.0,-272608.0,272608.0
getsentry/sentry,2025-07,technical_debt,44266.0,240292.0,-196026.0,196026.0
zauberzeug/nicegui,2024-08,technical_debt,1596.0,193606.0,-192010.0,192010.0
zauberzeug/nicegui,2024-11,technical_debt,1696.0,193701.0,-192005.0,192005.0
zauberzeug/nicegui,2024-10,technical_debt,1656.0,193654.0,-191998.0,191998.0
zauberzeug/nicegui,2024-09,technical_debt,1651.0,193644.0,-191993.0,191993.0
zauberzeug/nicegui,2024-12,technical_debt,1732.0,193717.0,-191985.0,191985.0
zauberzeug/nicegui,2025-03,technical_debt,1795.0,193770.0,-191975.0,191975.0
zauberzeug/nicegui,2025-01,technical_debt,1767.0,193727.0,-191960.0,191960.0
zauberzeug/nicegui,2025-02,technical_debt,1772.0,193727.0,-191955.0,191955.0
zauberzeug/nicegui,2025-04,technical_debt,1864.0,193776.0,-191912.0,191912.0
getsentry/sentry,2025-08,technical_debt,44838.0,233110.0,-188272.0,188272.0
zauberzeug/nicegui,2025-03,ncloc,37794.0,211460.0,-173666.0,173666.0
zauberzeug/nicegui,2025-02,ncloc,37348.0,211009.0,-173661.0,173661.0
zauberzeug/nicegui,2025-01,ncloc,36856.0,210516.0,-173660.0,173660.0
zauberzeug/nicegui,2024-12,ncloc,36042.0,209627.0,-173585.0,173585.0
zauberzeug/nicegui,2024-11,ncloc,35806.0,209370.0,-173564.0,173564.0
zauberzeug/nicegui,2024-10,ncloc,35403.0,208942.0,-173539.0,173539.0
zauberzeug/nicegui,2024-09,ncloc,35056.0,208569.0,-173513.0,173513.0
zauberzeug/nicegui,2024-08,ncloc,34734.0,208212.0,-173478.0,173478.0
zauberzeug/nicegui,2025-04,ncloc,38176.0,211510.0,-173334.0,173334.0
zauberzeug/nicegui,2024-07,ncloc,32140.0,204727.0,-172587.0,172587.0
zauberzeug/nicegui,2024-06,ncloc,31900.0,204437.0,-172537.0,172537.0
zauberzeug/nicegui,2024-05,ncloc,31457.0,203957.0,-172500.0,172500.0
zauberzeug/nicegui,2024-04,ncloc,30704.0,202836.0,-172132.0,172132.0
zauberzeug/nicegui,2024-03,ncloc,29902.0,201874.0,-171972.0,171972.0
zauberzeug/nicegui,2024-02,ncloc,29376.0,201209.0,-171833.0,171833.0
zauberzeug/nicegui,2024-01,ncloc,28891.0,197511.0,-168620.0,168620.0
DataDog/integrations-core,2025-08,ncloc,409600.0,577198.0,-167598.0,167598.0
DataDog/integrations-core,2025-07,ncloc,406253.0,573689.0,-167436.0,167436.0
DataDog/integrations-core,2025-05,ncloc,396544.0,563812.0,-167268.0,167268.0
DataDog/integrations-core,2025-06,ncloc,400351.0,567619.0,-167268.0,167268.0
DataDog/integrations-core,2025-03,ncloc,388224.0,554804.0,-166580.0,166580.0
DataDog/integrations-core,2024-12,ncloc,379027.0,545404.0,-166377.0,166377.0
DataDog/integrations-core,2025-01,ncloc,384328.0,550705.0,-166377.0,166377.0
DataDog/integrations-core,2025-02,ncloc,384805.0,551182.0,-166377.0,166377.0
odoo/industry,2025-08,ncloc,7329.0,173263.0,-165934.0,165934.0
DataDog/integrations-core,2025-04,ncloc,389944.0,554848.0,-164904.0,164904.0
ethyca/fides,2025-08,ncloc,223866.0,388512.0,-164646.0,164646.0
ethyca/fides,2025-07,ncloc,208230.0,366153.0,-157923.0,157923.0
DataDog/integrations-core,2024-09,ncloc,390689.0,545858.0,-155169.0,155169.0
DataDog/integrations-core,2024-10,ncloc,371198.0,526367.0,-155169.0,155169.0
DataDog/integrations-core,2024-11,ncloc,374936.0,530105.0,-155169.0,155169.0
ethyca/fides,2025-05,ncloc,183342.0,334106.0,-150764.0,150764.0
ethyca/fides,2025-06,ncloc,196298.0,344290.0,-147992.0,147992.0
odoo/industry,2025-07,ncloc,6364.0,148388.0,-142024.0,142024.0
ethyca/fides,2025-03,ncloc,178001.0,318465.0,-140464.0,140464.0
ethyca/fides,2025-04,ncloc,182229.0,318483.0,-136254.0,136254.0
ethyca/fides,2025-02,ncloc,172893.0,306387.0,-133494.0,133494.0
DataDog/integrations-core,2024-07,ncloc,374279.0,506444.0,-132165.0,132165.0
DataDog/integrations-core,2024-08,ncloc,378961.0,511113.0,-132152.0,132152.0
zauberzeug/nicegui,2024-05,technical_debt,1252.0,124570.0,-123318.0,123318.0
zauberzeug/nicegui,2024-06,technical_debt,1280.0,124588.0,-123308.0,123308.0
zauberzeug/nicegui,2024-03,technical_debt,1195.0,124488.0,-123293.0,123293.0
zauberzeug/nicegui,2024-07,technical_debt,1295.0,124588.0,-123293.0,123293.0
zauberzeug/nicegui,2024-04,technical_debt,1231.0,124519.0,-123288.0,123288.0
zauberzeug/nicegui,2024-02,technical_debt,1130.0,124407.0,-123277.0,123277.0
zauberzeug/nicegui,2024-01,technical_debt,1075.0,123658.0,-122583.0,122583.0
ethyca/fides,2025-01,ncloc,168958.0,290017.0,-121059.0,121059.0
zauberzeug/nicegui,2025-07,technical_debt,2039.0,119151.0,-117112.0,117112.0
zauberzeug/nicegui,2025-08,technical_debt,2048.0,119160.0,-117112.0,117112.0
zauberzeug/nicegui,2025-06,technical_debt,1915.0,118972.0,-117057.0,117057.0
zauberzeug/nicegui,2025-05,technical_debt,1895.0,118922.0,-117027.0,117027.0
ethyca/fides,2024-12,ncloc,167022.0,283554.0,-116532.0,116532.0
ethyca/fides,2024-11,ncloc,183193.0,297819.0,-114626.0,114626.0
ethyca/fides,2024-10,ncloc,182014.0,296539.0,-114525.0,114525.0
ethyca/fides,2024-09,ncloc,179402.0,293320.0,-113918.0,113918.0
odoo/industry,2025-06,ncloc,5172.0,117899.0,-112727.0,112727.0
ethyca/fides,2024-08,ncloc,172773.0,281197.0,-108424.0,108424.0
ethyca/fides,2024-07,ncloc,168851.0,276359.0,-107508.0,107508.0
ethyca/fides,2024-06,ncloc,164562.0,270471.0,-105909.0,105909.0
ethyca/fides,2024-05,ncloc,158737.0,263161.0,-104424.0,104424.0
odoo/industry,2025-05,ncloc,4531.0,107255.0,-102724.0,102724.0
odoo/industry,2025-04,ncloc,4375.0,103403.0,-99028.0,99028.0
ethyca/fides,2024-04,ncloc,155345.0,252866.0,-97521.0,97521.0
ethyca/fides,2024-03,ncloc,147423.0,243639.0,-96216.0,96216.0
zauberzeug/nicegui,2025-03,cognitive_complexity,2513.0,94810.0,-92297.0,92297.0
zauberzeug/nicegui,2025-02,cognitive_complexity,2456.0,94749.0,-92293.0,92293.0
zauberzeug/nicegui,2025-01,cognitive_complexity,2391.0,94683.0,-92292.0,92292.0
zauberzeug/nicegui,2024-12,cognitive_complexity,2332.0,94621.0,-92289.0,92289.0
zauberzeug/nicegui,2024-11,cognitive_complexity,2288.0,94568.0,-92280.0,92280.0
zauberzeug/nicegui,2024-10,cognitive_complexity,2227.0,94504.0,-92277.0,92277.0
zauberzeug/nicegui,2024-09,cognitive_complexity,2200.0,94473.0,-92273.0,92273.0
zauberzeug/nicegui,2024-08,cognitive_complexity,2183.0,94442.0,-92259.0,92259.0
zauberzeug/nicegui,2025-04,cognitive_complexity,2581.0,94814.0,-92233.0,92233.0
odoo/industry,2025-03,ncloc,4245.0,95138.0,-90893.0,90893.0
zauberzeug/nicegui,2024-07,cognitive_complexity,1966.0,91291.0,-89325.0,89325.0
zauberzeug/nicegui,2024-06,cognitive_complexity,1952.0,91271.0,-89319.0,89319.0
zauberzeug/nicegui,2024-05,cognitive_complexity,1923.0,91241.0,-89318.0,89318.0
zauberzeug/nicegui,2024-04,cognitive_complexity,1857.0,91138.0,-89281.0,89281.0
zauberzeug/nicegui,2024-03,cognitive_complexity,1807.0,91071.0,-89264.0,89264.0
zauberzeug/nicegui,2024-02,cognitive_complexity,1729.0,90862.0,-89133.0,89133.0
ethyca/fides,2024-02,ncloc,148332.0,236530.0,-88198.0,88198.0
zauberzeug/nicegui,2024-01,cognitive_complexity,1695.0,89866.0,-88171.0,88171.0
ethyca/fides,2024-01,ncloc,147336.0,234138.0,-86802.0,86802.0
odoo/industry,2025-02,ncloc,4042.0,87947.0,-83905.0,83905.0
odoo/industry,2025-01,ncloc,3919.0,86509.0,-82590.0,82590.0
odoo/industry,2024-12,ncloc,3940.0,86489.0,-82549.0,82549.0
DataDog/integrations-core,2024-05,ncloc,365585.0,447709.0,-82124.0,82124.0
DataDog/integrations-core,2024-06,ncloc,367561.0,449685.0,-82124.0,82124.0
keephq/keep,2025-08,ncloc,103547.0,185339.0,-81792.0,81792.0
keephq/keep,2025-07,ncloc,101395.0,183078.0,-81683.0,81683.0
DataDog/integrations-core,2024-03,ncloc,352701.0,434278.0,-81577.0,81577.0
DataDog/integrations-core,2024-04,ncloc,359940.0,441517.0,-81577.0,81577.0
odoo/industry,2024-11,ncloc,4104.0,85458.0,-81354.0,81354.0
keephq/keep,2025-06,ncloc,100313.0,180416.0,-80103.0,80103.0
odoo/industry,2024-10,ncloc,3985.0,83567.0,-79582.0,79582.0
keephq/keep,2025-05,ncloc,97362.0,174625.0,-77263.0,77263.0
getsentry/sentry,2025-06,technical_debt,44403.0,120791.0,-76388.0,76388.0
odoo/industry,2024-09,ncloc,3200.0,79415.0,-76215.0,76215.0
getsentry/sentry,2025-04,technical_debt,44925.0,119760.0,-74835.0,74835.0
getsentry/sentry,2025-03,technical_debt,43217.0,117797.0,-74580.0,74580.0
getsentry/sentry,2025-05,technical_debt,43250.0,117456.0,-74206.0,74206.0
keephq/keep,2025-04,ncloc,89733.0,161891.0,-72158.0,72158.0
getsentry/sentry,2024-09,technical_debt,42289.0,110298.0,-68009.0,68009.0
keephq/keep,2025-03,ncloc,86852.0,154517.0,-67665.0,67665.0
getsentry/sentry,2024-08,technical_debt,42602.0,109444.0,-66842.0,66842.0
getsentry/sentry,2024-10,technical_debt,42541.0,109276.0,-66735.0,66735.0
getsentry/sentry,2024-11,technical_debt,42293.0,108877.0,-66584.0,66584.0
getsentry/sentry,2024-07,technical_debt,42228.0,107637.0,-65409.0,65409.0
getsentry/sentry,2025-02,technical_debt,42769.0,107481.0,-64712.0,64712.0
getsentry/sentry,2024-12,technical_debt,42070.0,106610.0,-64540.0,64540.0
getsentry/sentry,2024-05,technical_debt,41665.0,105715.0,-64050.0,64050.0
DataDog/integrations-core,2024-01,ncloc,345443.0,409310.0,-63867.0,63867.0
getsentry/sentry,2024-06,technical_debt,41415.0,105176.0,-63761.0,63761.0
DataDog/integrations-core,2024-02,ncloc,346162.0,409208.0,-63046.0,63046.0
zauberzeug/nicegui,2025-07,cognitive_complexity,2872.0,65685.0,-62813.0,62813.0
zauberzeug/nicegui,2025-08,cognitive_complexity,2913.0,65718.0,-62805.0,62805.0
zauberzeug/nicegui,2025-06,cognitive_complexity,2679.0,65476.0,-62797.0,62797.0
zauberzeug/nicegui,2025-05,cognitive_complexity,2627.0,65421.0,-62794.0,62794.0
OpenSPP/openspp-modules,2025-07,ncloc,40106.0,101627.0,-61521.0,61521.0
OpenSPP/openspp-modules,2025-05,ncloc,40100.0,101615.0,-61515.0,61515.0
OpenSPP/openspp-modules,2025-06,ncloc,40101.0,101616.0,-61515.0,61515.0
OpenSPP/openspp-modules,2025-04,ncloc,39952.0,101437.0,-61485.0,61485.0
OpenSPP/openspp-modules,2025-03,ncloc,39944.0,101422.0,-61478.0,61478.0
getsentry/sentry,2025-01,technical_debt,42221.0,103379.0,-61158.0,61158.0
OpenSPP/openspp-modules,2025-02,ncloc,38712.0,99223.0,-60511.0,60511.0
odoo/industry,2024-08,ncloc,2718.0,62740.0,-60022.0,60022.0
keephq/keep,2025-02,ncloc,77445.0,137193.0,-59748.0,59748.0
PostHog/posthog,2025-08,technical_debt,34772.0,90684.0,-55912.0,55912.0
OpenSPP/openspp-modules,2025-01,ncloc,35580.0,87756.0,-52176.0,52176.0
OpenSPP/openspp-modules,2024-12,ncloc,35460.0,87622.0,-52162.0,52162.0
PostHog/posthog,2025-07,technical_debt,32749.0,84796.0,-52047.0,52047.0
getsentry/sentry,2024-04,technical_debt,41113.0,92558.0,-51445.0,51445.0
OpenSPP/openspp-modules,2024-11,ncloc,33668.0,84970.0,-51302.0,51302.0
OpenSPP/openspp-modules,2024-10,ncloc,33418.0,84386.0,-50968.0,50968.0
PostHog/posthog,2025-06,technical_debt,31281.0,82206.0,-50925.0,50925.0
golemfoundation/octant,2025-08,ncloc,44840.0,95246.0,-50406.0,50406.0
golemfoundation/octant,2025-07,ncloc,44840.0,95220.0,-50380.0,50380.0
golemfoundation/octant,2025-05,ncloc,44600.0,94964.0,-50364.0,50364.0
golemfoundation/octant,2025-06,ncloc,45725.0,96067.0,-50342.0,50342.0
golemfoundation/octant,2025-04,ncloc,41713.0,92052.0,-50339.0,50339.0
golemfoundation/octant,2025-02,ncloc,36543.0,86361.0,-49818.0,49818.0
golemfoundation/octant,2025-01,ncloc,33226.0,82911.0,-49685.0,49685.0
getsentry/sentry,2024-03,technical_debt,40462.0,90060.0,-49598.0,49598.0
TextGeneratorio/text-generator.io,2025-08,ncloc,23096.0,72672.0,-49576.0,49576.0
keephq/keep,2025-01,ncloc,70463.0,120036.0,-49573.0,49573.0
TextGeneratorio/text-generator.io,2025-07,ncloc,21909.0,71455.0,-49546.0,49546.0
PostHog/posthog,2025-05,technical_debt,28788.0,77447.0,-48659.0,48659.0
getsentry/sentry,2025-07,cognitive_complexity,64753.0,113249.0,-48496.0,48496.0
getsentry/sentry,2024-02,technical_debt,41774.0,90115.0,-48341.0,48341.0
getsentry/sentry,2025-08,cognitive_complexity,66001.0,113904.0,-47903.0,47903.0
golemfoundation/octant,2025-03,ncloc,38965.0,86850.0,-47885.0,47885.0
TextGeneratorio/text-generator.io,2025-05,ncloc,17251.0,65058.0,-47807.0,47807.0
TextGeneratorio/text-generator.io,2025-04,ncloc,18442.0,66233.0,-47791.0,47791.0
TextGeneratorio/text-generator.io,2025-06,ncloc,16707.0,64476.0,-47769.0,47769.0
getsentry/sentry,2024-01,technical_debt,43125.0,90882.0,-47757.0,47757.0
golemfoundation/octant,2024-12,ncloc,32186.0,79845.0,-47659.0,47659.0
getsentry/sentry,2025-06,cognitive_complexity,63755.0,110896.0,-47141.0,47141.0
PostHog/posthog,2025-08,cognitive_complexity,46394.0,93378.0,-46984.0,46984.0
keephq/keep,2024-12,ncloc,61711.0,108126.0,-46415.0,46415.0
getsentry/sentry,2025-05,cognitive_complexity,62340.0,108223.0,-45883.0,45883.0
golemfoundation/octant,2024-11,ncloc,30925.0,76404.0,-45479.0,45479.0
golemfoundation/octant,2024-08,ncloc,25103.0,70379.0,-45276.0,45276.0
keephq/keep,2024-11,ncloc,57323.0,102416.0,-45093.0,45093.0
getsentry/sentry,2025-04,cognitive_complexity,62135.0,107184.0,-45049.0,45049.0
TextGeneratorio/text-generator.io,2025-03,ncloc,17842.0,62499.0,-44657.0,44657.0
TextGeneratorio/text-generator.io,2025-01,ncloc,17836.0,62492.0,-44656.0,44656.0
TextGeneratorio/text-generator.io,2025-02,ncloc,17842.0,62498.0,-44656.0,44656.0
TextGeneratorio/text-generator.io,2024-08,ncloc,33811.0,78457.0,-44646.0,44646.0
TextGeneratorio/text-generator.io,2024-11,ncloc,17021.0,61667.0,-44646.0,44646.0
TextGeneratorio/text-generator.io,2024-12,ncloc,17016.0,61662.0,-44646.0,44646.0
getsentry/sentry,2025-03,cognitive_complexity,60416.0,105046.0,-44630.0,44630.0
TextGeneratorio/text-generator.io,2024-01,ncloc,33569.0,78124.0,-44555.0,44555.0
TextGeneratorio/text-generator.io,2024-02,ncloc,33569.0,78124.0,-44555.0,44555.0
TextGeneratorio/text-generator.io,2024-05,ncloc,33593.0,78148.0,-44555.0,44555.0
TextGeneratorio/text-generator.io,2024-07,ncloc,33593.0,78148.0,-44555.0,44555.0
PostHog/posthog,2025-03,technical_debt,25980.0,70314.0,-44334.0,44334.0
PostHog/posthog,2025-07,cognitive_complexity,42597.0,86434.0,-43837.0,43837.0
