check,value
panel_label,strict
input_rows,1633
output_rows,1633
row_count_preserved_in_full_output,1
repos,220
min_time,2024-01
max_time,2025-08
treatment_rows,853
control_rows,780
treatment_repos,100
control_repos,120
duplicate_repo_time_source_rows,0
analysis_ready_did_base_rows,1633
analysis_ready_core_quality_rows,1604
analysis_ready_quality_did_rows,1604
missing_core_quality_rows,29
treatment_time_to_event_nonmissing,853
control_time_to_event_nonmissing,0
post_event_sum,432
control_post_event_sum,0
treatment_post_event_sum,432
sonarqube_latest_commit_missing,0
sonarqube_any_raw_metric_missing_sum,29
sonarqube_all_raw_metrics_missing_sum,0
sonarqube_ncloc_zero_sum,0
sonarqube_static_warnings_missing_sum,0
sonarqube_duplicate_density_missing_sum,29
sonarqube_cognitive_complexity_missing_sum,29
sonarqube_quality_outcomes_complete_sum,1604
static_analysis_warnings_nonmissing,1633
static_analysis_warnings_missing,0
static_analysis_warnings_zero_count,91
static_analysis_warnings_mean,357.2149418248622
static_analysis_warnings_median,96.0
duplicate_line_density_nonmissing,1604
duplicate_line_density_missing,29
duplicate_line_density_zero_count,482
duplicate_line_density_mean,5.899438902743142
duplicate_line_density_median,2.4
code_complexity_nonmissing,1604
code_complexity_missing,29
code_complexity_zero_count,2
code_complexity_mean,3210.6184538653365
code_complexity_median,831.5
warnings_per_kloc_nonmissing,1604
warnings_per_kloc_missing,29
warnings_per_kloc_zero_count,62
warnings_per_kloc_mean,23.226660542107144
warnings_per_kloc_median,16.404474486461115
complexity_per_kloc_nonmissing,1604
complexity_per_kloc_missing,29
complexity_per_kloc_zero_count,2
complexity_per_kloc_mean,143.9162342178282
complexity_per_kloc_median,122.51779844442405
code_smells_per_kloc_nonmissing,1604
code_smells_per_kloc_missing,29
code_smells_per_kloc_zero_count,68
code_smells_per_kloc_mean,21.49078357009296
code_smells_per_kloc_median,15.175238473154273
technical_debt_nonmissing,1633
technical_debt_missing,0
technical_debt_zero_count,97
technical_debt_mean,2503.7127985303123
technical_debt_median,602.0
ncloc_nonmissing,1604
ncloc_missing,29
ncloc_zero_count,0
ncloc_mean,35442.93578553616
ncloc_median,6391.5
duplicated_lines_density_nonmissing,1604
duplicated_lines_density_missing,29
duplicated_lines_density_zero_count,482
duplicated_lines_density_mean,5.899438902743142
duplicated_lines_density_median,2.4
comment_lines_density_nonmissing,1604
comment_lines_density_missing,29
comment_lines_density_zero_count,9
comment_lines_density_mean,17.012344139650875
comment_lines_density_median,14.3
cognitive_complexity_nonmissing,1604
cognitive_complexity_missing,29
cognitive_complexity_zero_count,2
cognitive_complexity_mean,3210.6184538653365
cognitive_complexity_median,831.5
bugs_nonmissing,1633
bugs_missing,0
bugs_zero_count,528
bugs_mean,7.993263931414575
bugs_median,2.0
vulnerabilities_nonmissing,1633
vulnerabilities_missing,0
vulnerabilities_zero_count,747
vulnerabilities_mean,5.77097366809553
vulnerabilities_median,1.0
code_smells_nonmissing,1633
code_smells_missing,0
code_smells_zero_count,97
code_smells_mean,343.4507042253521
code_smells_median,87.0
log_static_analysis_warnings_nonmissing,1633
log_static_analysis_warnings_finite,1633
log_code_complexity_nonmissing,1604
log_code_complexity_finite,1604
log_technical_debt_nonmissing,1633
log_technical_debt_finite,1633
log_ncloc_nonmissing,1604
log_ncloc_finite,1604
log_bugs_nonmissing,1633
log_bugs_finite,1633
log_vulnerabilities_nonmissing,1633
log_vulnerabilities_finite,1633
log_code_smells_nonmissing,1633
log_code_smells_finite,1633
log_warnings_per_kloc_nonmissing,1604
log_warnings_per_kloc_finite,1604
log_complexity_per_kloc_nonmissing,1604
log_complexity_per_kloc_finite,1604
log_code_smells_per_kloc_nonmissing,1604
log_code_smells_per_kloc_finite,1604
complete_output_path,repo_python/tmp/run-py-2e/strict_python_only/panel_event_matched_strict_with_sonarqube_python_only_quality_did_input_complete.csv
complete_output_rows,1604
complete_output_repos,218
convert_paper_same_column,1
keep_overlap_paper_same_column,1
paper_same_column_output_path,repo_python/run-py-2e/strict/panel_event_monthly_quality_py_python_only.csv
paper_same_column_output_rows,1591
paper_same_column_matched_rows,1591
paper_same_column_unmatched_rows,13
paper_same_column_unmatched_output_path,repo_python/tmp/run-py-2e/strict_python_only/paper_audit/panel_event_monthly_quality_py_python_only_unmatched_repo_months.csv
