check,value
panel_label,strict
input_schema,paper_same_column
covariate_mode_requested,auto
rows,1591
repos,217
treatment_rows,842
control_rows,749
treated_repos,100
control_repos,117
control_post_event_sum,0
treated_post_rows,425
post_event_mismatch_rows,0
analysis_ready_quality_did_rows,1591
static_analysis_warnings_nonmissing,1591
duplicate_line_density_nonmissing,1591
code_complexity_nonmissing,1591
age_nonmissing,1591
ncloc_nonmissing,1591
contributors_nonmissing,1591
stars_nonmissing,1591
issues_nonmissing,1591
sonarqube_latest_commit_missing,
sonarqube_any_raw_metric_missing_sum,
sonarqube_all_raw_metrics_missing_sum,
sonarqube_ncloc_zero_sum,
sonarqube_quality_outcomes_complete_sum,
