dataset_source,repo_name,latest_commit,fallback_file_occurrences,fallback_unique_logical_paths,fallback_physical_lines,fallback_blank_lines,fallback_comment_only_lines,fallback_ncloc,regular_python_files_counted,ncloc_python_snapshot,fallback_files,ncloc_python_snapshot_excluding_fallback,fallback_ncloc_share
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,1,1,60,12,0,48,28,3793,1,3745,0.012654890587925125
control,Drchip61/Dual_SAM,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,1,1,60,12,0,48,28,3793,1,3745,0.012654890587925125
control,Drchip61/Dual_SAM,cf57ce7726f1d40206e0793cb096c1fc48f73425,1,1,60,12,0,48,28,3793,1,3745,0.012654890587925125
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,3,3,4617,673,403,3541,2327,749997,3,746456,0.004721352218742208
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,3,3,4617,673,403,3541,2327,749980,3,746439,0.004721459238913038
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,3,3,4617,673,403,3541,2327,749980,3,746439,0.004721459238913038
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,3,3,4617,673,403,3541,2326,749823,3,746282,0.004722447831021454
treatment,ericyuegu/hal,05d9e477f28ce8fc61c193ac996eefb2ffc6cc30,1,1,89,16,17,56,93,10707,1,10651,0.005230223218455217
treatment,ericyuegu/hal,34c80ded5abcc8b885bc2cf72df72525f65ebd5e,1,1,60,10,10,40,72,5985,1,5945,0.006683375104427736
treatment,ericyuegu/hal,472900b29dd21457804ed83eea31a4e9007f30fa,1,1,73,14,13,46,75,6135,1,6089,0.007497962510187449
treatment,ericyuegu/hal,c90449941213af91277b88bef9aad2b0f29bbb56,1,1,89,16,17,56,101,11987,1,11931,0.004671727705013765
treatment,ericyuegu/hal,e57df07e946a03f62138dba1116469e87b71dad0,1,1,53,9,8,36,67,5175,1,5139,0.006956521739130435
treatment,getsentry/sentry,2d92281805254325dbedb3cafcfdd53d09b1d9df,1,1,2061,324,136,1601,6693,931978,1,930377,0.0017178517089459194
treatment,getsentry/sentry,32cb664b86c13cc020c06f7e208cd9a62e6891a0,1,1,2061,324,136,1601,6865,965562,1,963961,0.0016581017065708883
treatment,getsentry/sentry,4f2be477198bf2814c6d6cd4b80ba19cbe386908,1,1,2061,324,136,1601,6538,987563,1,985962,0.0016211623967281074
treatment,getsentry/sentry,71c2f5f3925610f3aa1871ace1c20f48eeff3db8,1,1,2184,338,141,1705,6655,1008548,1,1006843,0.0016905491855618176
treatment,getsentry/sentry,975f8d773e5a6c5ed6595176a42ff31e887ec95d,1,1,2061,324,136,1601,6364,958364,1,956763,0.0016705552378845617
treatment,getsentry/sentry,b9dc9712a91c4dbf3cb1550254113c1599388e57,1,1,2193,339,144,1710,6807,1032843,1,1031133,0.0016556243301256823
treatment,getsentry/sentry,c4502d06cff34abeb8f58810743fb907ee914348,1,1,2040,323,134,1583,6514,903576,1,901993,0.001751927895384561
treatment,yagami1997/TradeMind,780f475050fbfda4467f51886b984bef6546321e,1,1,2095,276,211,1608,40,9365,1,7757,0.17170315002669514
