repo_name,time,dataset_source,latest_commit,ncloc_python_snapshot,fallback_file_occurrences,fallback_physical_lines,fallback_ncloc,ncloc_python_snapshot_excluding_fallback,fallback_ncloc_share
Drchip61/Dual_SAM,2024-03,control,3efdae9483742dd2e2d63331ebdf67972492c9c7,3793,1,60,48,3745,0.012654890587925125
Drchip61/Dual_SAM,2024-04,control,cf57ce7726f1d40206e0793cb096c1fc48f73425,3793,1,60,48,3745,0.012654890587925125
Drchip61/Dual_SAM,2024-12,control,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,3793,1,60,48,3745,0.012654890587925125
FMInference/FlexiGen,2024-04,control,19753bc062d47cc34e73efb27824e97ff5216a68,749980,3,4617,3541,746439,0.004721459238913038
FMInference/FlexiGen,2024-09,control,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,749980,3,4617,3541,746439,0.004721459238913038
FMInference/FlexiGen,2024-10,control,004ffef82b46e8dc8685c55d0cdda650bdaf1269,749997,3,4617,3541,746456,0.004721352218742208
ericyuegu/hal,2024-10,treatment,e57df07e946a03f62138dba1116469e87b71dad0,5175,1,53,36,5139,0.006956521739130435
ericyuegu/hal,2024-11,treatment,34c80ded5abcc8b885bc2cf72df72525f65ebd5e,5985,1,60,40,5945,0.006683375104427736
ericyuegu/hal,2024-12,treatment,472900b29dd21457804ed83eea31a4e9007f30fa,6135,1,73,46,6089,0.007497962510187449
ericyuegu/hal,2025-02,treatment,05d9e477f28ce8fc61c193ac996eefb2ffc6cc30,10707,1,89,56,10651,0.005230223218455217
ericyuegu/hal,2025-03,treatment,c90449941213af91277b88bef9aad2b0f29bbb56,11987,1,89,56,11931,0.004671727705013765
getsentry/sentry,2025-02,treatment,c4502d06cff34abeb8f58810743fb907ee914348,903576,1,2040,1583,901993,0.001751927895384561
getsentry/sentry,2025-03,treatment,2d92281805254325dbedb3cafcfdd53d09b1d9df,931978,1,2061,1601,930377,0.0017178517089459194
getsentry/sentry,2025-04,treatment,32cb664b86c13cc020c06f7e208cd9a62e6891a0,965562,1,2061,1601,963961,0.0016581017065708883
getsentry/sentry,2025-05,treatment,975f8d773e5a6c5ed6595176a42ff31e887ec95d,958364,1,2061,1601,956763,0.0016705552378845617
getsentry/sentry,2025-06,treatment,4f2be477198bf2814c6d6cd4b80ba19cbe386908,987563,1,2061,1601,985962,0.0016211623967281074
getsentry/sentry,2025-07,treatment,71c2f5f3925610f3aa1871ace1c20f48eeff3db8,1008548,1,2184,1705,1006843,0.0016905491855618176
getsentry/sentry,2025-08,treatment,b9dc9712a91c4dbf3cb1550254113c1599388e57,1032843,1,2193,1710,1031133,0.0016556243301256823
yagami1997/TradeMind,2025-03,treatment,780f475050fbfda4467f51886b984bef6546321e,9365,1,2095,1608,7757,0.17170315002669514
