dataset_source,repo_name,latest_commit,relative_path,snapshot_path,manifest_line,content_sha256,size_bytes_manifest,size_bytes_observed,error_type,fallback_reason,physical_lines,blank_lines,comment_only_lines,fallback_ncloc,logical_file_key,logical_file_occurrences,logical_file_unique_contents
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/3efdae9483742dd2e2d63331ebdf67972492c9c7/test_score.py,24,47284e41c28a8e1a49326b1ed5c6699184a3d5b17fb6aa5bbe018d8685452ef2,1803,1803,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)",60,12,0,48,Drchip61/Dual_SAM::test_score.py,3,1
control,Drchip61/Dual_SAM,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/5f38d57c5ccaa4e16693d0b77f09c984901ac5b9/test_score.py,24,47284e41c28a8e1a49326b1ed5c6699184a3d5b17fb6aa5bbe018d8685452ef2,1803,1803,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)",60,12,0,48,Drchip61/Dual_SAM::test_score.py,3,1
control,Drchip61/Dual_SAM,cf57ce7726f1d40206e0793cb096c1fc48f73425,test_score.py,repo_python/run-py-3a/strict/python_snapshots/control/Drchip61_Dual_SAM/cf57ce7726f1d40206e0793cb096c1fc48f73425/test_score.py,24,47284e41c28a8e1a49326b1ed5c6699184a3d5b17fb6aa5bbe018d8685452ef2,1803,1803,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 60)",60,12,0,48,Drchip61/Dual_SAM::test_score.py,3,1
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,86a7892044094aece5633cc1015ccb718e4a40c0d301955930bfb7455aa37402,37660,37660,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)",905,97,106,702,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,4,1
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,a205d1f4be006ea9251a6b5025ac1078148d319907b50e14b924854c6ae8a30d,139358,139358,TokenError,"TokenError: ('EOF in multi-line statement', (3241, 0))",3240,524,136,2580,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,4,1
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/004ffef82b46e8dc8685c55d0cdda650bdaf1269/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,58eb7c688c7157eb59ef946f2e49ede204a2b8c58b7db714196637954bd02ce6,19719,19719,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)",472,52,161,259,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,4,1
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,86a7892044094aece5633cc1015ccb718e4a40c0d301955930bfb7455aa37402,37660,37660,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)",905,97,106,702,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,4,1
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,1651,a205d1f4be006ea9251a6b5025ac1078148d319907b50e14b924854c6ae8a30d,139358,139358,TokenError,"TokenError: ('EOF in multi-line statement', (3241, 0))",3240,524,136,2580,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py,4,1
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/19753bc062d47cc34e73efb27824e97ff5216a68/benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,1657,58eb7c688c7157eb59ef946f2e49ede204a2b8c58b7db714196637954bd02ce6,19719,19719,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 214)",472,52,161,259,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py,4,1
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,repo_python/run-py-3a/strict/python_snapshots/control/FMInference_FlexiGen/ab55510b0e19b0dcdb274e7ef5421827d0c237d0/benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,1648,86a7892044094aece5633cc1015ccb718e4a40c0d301955930bfb7455aa37402,37660,37660,IndentationError,"IndentationError: unindent does not match any outer indentation level (<tokenize>, line 466)",905,97,106,702,FMInference/FlexiGen::benchmark/third_party/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py,4,1
