dataset_source,repo_name,latest_commit,repo_dir,repo_dir_exists,commit_exists,error
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,1,1,
control,AkariAsai/ScholarQABench,8f63e5b270ac2eac04ba06bfe42913388087f87f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,1,1,
control,AkariAsai/ScholarQABench,c439fbce548b5fab5ff5304e748763e6c8b2b014,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,1,1,
control,AkariAsai/ScholarQABench,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,1,1,
control,AkariAsai/ScholarQABench,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,1,1,
control,AkariAsai/ScholarQABench,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,1,1,
control,ArpiarSaundersLab/annsql,743f9eb70bd0a38892c47d6d7edb2598464bbd56,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,95458872d923921d3231becd2429b327a626bb6d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,ab9496863121dadc5cd7502e0c355536b24e6f36,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,8349da0d1d0ce5692448c5c19e8bb83f2bdc36b1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,69f3d00daaa7ac6f185d7e8b4d5b4bed618c3cab,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,144ef3bf441c1dc2ffc43ff3c967601f668bb4a9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,ArpiarSaundersLab/annsql,4d48c602f9a55fef75cd57e3db238503bf180736,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,1,1,
control,BalancerMaxis/multisig-ops,6ab6c1a7bd43de48366f370db059ffac768caf4a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,
control,BalancerMaxis/multisig-ops,df970e8b772a5bcd3d75893a4ad23c0f9cba345c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,1,1,
