dataset_source,repo_name,previous_month,month,previous_commit,current_commit,repo_dir,git_diff_exit_code,python_diff_rows,stderr
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,2024-02,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,2024-03,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,2024-04,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,2024-05,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,2024-06,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,2024-07,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,2024-08,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,2024-09,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,2024-10,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,2024-11,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,0,0,
