event_time_group,rows,positive_denominator_rows,zero_denominator_rows,unavailable_rows,ratio_available_rows,ratio_availability_rate
-1,53,35,7,11,35,0.660377358490566
-2,42,34,3,5,34,0.8095238095238095
-3,40,33,4,3,33,0.825
-4,35,31,4,0,31,0.8857142857142857
-5,33,27,4,2,27,0.8181818181818182
-6,31,21,7,3,21,0.6774193548387096
0,100,56,6,38,56,0.56
1,71,59,12,0,59,0.8309859154929577
2,60,47,13,0,47,0.7833333333333333
3,59,45,14,0,45,0.7627118644067796
4,55,43,12,0,43,0.7818181818181819
5,48,38,10,0,38,0.7916666666666666
6,18,15,3,0,15,0.8333333333333334
after_6,21,21,0,0,21,1.0
before_-6,187,133,26,28,133,0.7112299465240641
