analysis_group,scope,unit,rows,positive_denominator_rows,zero_denominator_rows,unavailable_rows,ratio_available_rows,ratio_availability_rate,total_blocks,mean_ratio,median_ratio
control,changed,top_level,780,489,191,100,489,0.6269230769230769,41372,0.1372003917252437,0.1111111111111111
control,added,top_level,780,370,310,100,370,0.47435897435897434,15720,0.2475460156940817,0.18857758620689655
control,modified,top_level,780,452,228,100,452,0.5794871794871795,25652,0.08368549395769334,0.0425724637681159
control,changed,function,780,429,251,100,429,0.55,28727,0.1781025151361063,0.1292134831460674
control,changed,class,780,422,258,100,422,0.541025641025641,12645,0.10905856619765296,0.0233729119178035
treatment_post,changed,top_level,432,324,70,38,324,0.75,61542,0.16781864820258205,0.1428571428571428
treatment_post,added,top_level,432,286,108,38,286,0.6620370370370371,27921,0.24315634399036054,0.20156556728618719
treatment_post,modified,top_level,432,309,85,38,309,0.7152777777777778,33621,0.11618372579126793,0.0708661417322834
treatment_post,changed,function,432,307,87,38,307,0.7106481481481481,32583,0.18928134163750265,0.1618989653073645
treatment_post,changed,class,432,293,101,38,293,0.6782407407407407,28959,0.14423347152981716,0.1014492753623188
treatment_pre,changed,top_level,421,314,55,52,314,0.7458432304038005,60626,0.1762126559035238,0.1428571428571428
treatment_pre,added,top_level,421,249,120,52,249,0.5914489311163895,20714,0.29079329953998095,0.2611940298507462
treatment_pre,modified,top_level,421,307,62,52,307,0.7292161520190024,39912,0.1068623186752196,0.0704845814977973
treatment_pre,changed,function,421,284,85,52,284,0.6745843230403801,29590,0.21983001004979258,0.1818181818181818
treatment_pre,changed,class,421,279,90,52,279,0.66270783847981,31036,0.1291354901871026,0.09375
