time,dataset_source,rows,positive_denominator_rows,zero_denominator_rows,unavailable_rows,ratio_available_rows,ratio_availability_rate
2024-01,control,23,0,0,23,0,0.0
2024-01,treatment,21,0,0,21,0,0.0
2024-02,control,27,20,2,5,20,0.7407407407407407
2024-02,treatment,24,22,2,0,22,0.9166666666666666
2024-03,control,30,17,9,4,17,0.5666666666666667
2024-03,treatment,27,22,1,4,22,0.8148148148148148
2024-04,control,29,20,7,2,20,0.6896551724137931
2024-04,treatment,28,22,4,2,22,0.7857142857142857
2024-05,control,32,20,7,5,20,0.625
2024-05,treatment,30,22,6,2,22,0.7333333333333333
2024-06,control,36,23,7,6,23,0.6388888888888888
2024-06,treatment,31,24,7,0,24,0.7741935483870968
2024-07,control,39,20,14,5,20,0.5128205128205128
2024-07,treatment,35,26,8,1,26,0.7428571428571429
2024-08,control,46,26,13,7,26,0.5652173913043478
2024-08,treatment,36,30,3,3,30,0.8333333333333334
2024-09,control,40,23,12,5,23,0.575
2024-09,treatment,33,24,6,3,24,0.7272727272727273
2024-10,control,48,32,9,7,32,0.6666666666666666
2024-10,treatment,39,28,5,6,28,0.717948717948718
2024-11,control,49,31,10,8,31,0.6326530612244898
2024-11,treatment,41,34,4,3,34,0.8292682926829268
2024-12,control,51,31,13,7,31,0.6078431372549019
2024-12,treatment,49,37,6,6,37,0.7551020408163265
2025-01,control,49,32,14,3,32,0.6530612244897959
2025-01,treatment,54,43,3,8,43,0.7962962962962963
2025-02,control,51,34,9,8,34,0.6666666666666666
2025-02,treatment,69,43,9,17,43,0.6231884057971014
2025-03,control,53,35,14,4,35,0.660377358490566
2025-03,treatment,76,54,8,14,54,0.7105263157894737
2025-04,control,40,27,13,0,27,0.675
2025-04,treatment,61,48,13,0,48,0.7868852459016393
2025-05,control,38,25,13,0,25,0.6578947368421053
2025-05,treatment,52,43,9,0,43,0.8269230769230769
2025-06,control,35,24,10,1,24,0.6857142857142857
2025-06,treatment,55,43,12,0,43,0.7818181818181819
2025-07,control,31,25,6,0,25,0.8064516129032258
2025-07,treatment,48,37,11,0,37,0.7708333333333334
2025-08,control,33,24,9,0,24,0.7272727272727273
2025-08,treatment,44,36,8,0,36,0.8181818181818182
