dataset_source,repo_name,time,commit,parent_commit,relative_path,stage,error,qualified_function_name,function_name,function_kind,start_line,end_line
control,BalancerMaxis/multisig-ops,2024-01,32e8c67c1351327c4847271d98e864319d2484d9,b2572dd1c5e0f7ff28eca9faaae61bcc593f5593,action-scripts/merge_pr_jsons.py,current_file_parse,"SyntaxError: closing parenthesis ')' does not match opening parenthesis '[' (merge_pr_jsons.py, line 226)",,,,,
control,BalancerMaxis/multisig-ops,2024-01,b6389243d3353c8a2f7347261bc9aba7497f3c52,32e8c67c1351327c4847271d98e864319d2484d9,action-scripts/merge_pr_jsons.py,parent_file_parse,"SyntaxError: closing parenthesis ')' does not match opening parenthesis '[' (merge_pr_jsons.py, line 226)",,,,,
control,BalancerMaxis/multisig-ops,2024-03,583ec77fd93298d8eec744df64bd900275055805,57ce06410a04098d88fe3932a90508bcc358562e,action-scripts/brownie/scripts/report_gauges.py,current_file_parse,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)",,,,,
control,BalancerMaxis/multisig-ops,2024-03,a4a7fb366c1db3795a2d0329a3e70c4da4fd9e2c,ecd8e12b07ca3efdf04b8a0f61b9c71dc0c3ca52,action-scripts/brownie/scripts/report_gauges.py,parent_file_parse,"IndentationError: expected an indented block after 'else' statement on line 638 (report_gauges.py, line 639)",,,,,
control,BalancerMaxis/multisig-ops,2024-06,0a05c635103abbd572f810e9af31452577123ff4,7b81b15a6bfd2f264dfe8c603fdac3cc865af247,action-scripts/brownie/scripts/report_gauges.py,current_file_parse,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)",,,,,
control,BalancerMaxis/multisig-ops,2024-06,b55aeac804d532a0459cfe7498def83476343c12,6efc1dc993b259097f576dc560574d302d1e2a47,action-scripts/brownie/scripts/report_gauges.py,parent_file_parse,"IndentationError: unindent does not match any outer indentation level (report_gauges.py, line 578)",,,,,
control,Drchip61/Dual_SAM,2024-03,3efdae9483742dd2e2d63331ebdf67972492c9c7,07b4a90381128de79ec4fadaa325b91b53afaa0c,test_score.py,current_file_parse,"IndentationError: unindent does not match any outer indentation level (3efdae9483742dd2e2d63331ebdf67972492c9c7:test_score.py, line 60)",,,,,
control,HelpingAI/Webscout,2024-08,21db125b879af34de5ec9270cddaf460f56db62e,2cb07e4a95162e8843a2c6527ff64166e8b6f4ce,t.py,current_file_parse,"SyntaxError: invalid syntax (21db125b879af34de5ec9270cddaf460f56db62e:t.py, line 1)",,,,,
control,HelpingAI/Webscout,2024-08,847071a2b9864400cd5c53da9c708790054a8543,21db125b879af34de5ec9270cddaf460f56db62e,t.py,parent_file_parse,"SyntaxError: invalid syntax (21db125b879af34de5ec9270cddaf460f56db62e:t.py, line 1)",,,,,
control,HelpingAI/Webscout,2024-08,6e5ccec863de2c2deab4bcb0e55ba1566080f3a0,923192f73fcbcfd17c2ee9ae990d95539e2f84ad,webscout/Provider/felo_search.py,current_file_parse,"SyntaxError: unmatched ')' (felo_search.py, line 231)",,,,,
control,HelpingAI/Webscout,2024-08,5a87832d7e4f295d8ad62fa9c76d9c0fb9b8158c,6e5ccec863de2c2deab4bcb0e55ba1566080f3a0,webscout/Provider/felo_search.py,parent_file_parse,"SyntaxError: unmatched ')' (felo_search.py, line 231)",,,,,
control,HelpingAI/Webscout,2024-09,be481a3a4c846f64f294987be06ab8f71a417833,f6efc420b37bbced201a458d2c2dd63f43783a0b,webscout/Provider/UNFINISHED/chatgptextension.py,current_file_parse,"SyntaxError: invalid syntax (chatgptextension.py, line 70)",,,,,
