dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,HEAD,1,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,head,1,1,4,1,1,1,1,1,perfect_panel_match
control,AkariAsai/ScholarQABench,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,HEAD,1,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,head,1,1,17,5,5,5,5,1,perfect_panel_match
control,ArpiarSaundersLab/annsql,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,HEAD,1,4d48c602f9a55fef75cd57e3db238503bf180736,head,1,1,102,9,9,9,9,1,perfect_panel_match
control,BalancerMaxis/multisig-ops,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BalancerMaxis_multisig-ops,HEAD,1,e8ff584ee52dea501489b2f8d29fd16fde263092,head,1,1,10356,20,20,20,20,1,perfect_panel_match
control,Benzauber/convert-commander,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Benzauber_convert-commander,HEAD,1,02178ba4df91e697f9392fbf0dd31fe2b84810eb,head,1,1,46,8,8,8,8,1,perfect_panel_match
control,BiancoChiu/iOSRealRun-cli-18,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/BiancoChiu_iOSRealRun-cli-18,HEAD,1,697931172a1c35e9342e3c0f42667b729a252667,head,1,1,34,6,6,6,6,1,perfect_panel_match
control,C4NU/Paddie,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/C4NU_Paddie,HEAD,1,018f400833724349964d3d0b7566ca35db57dbe2,head,1,1,321,5,5,5,5,1,perfect_panel_match
control,DakeQQ/YOLO-Depth-Estimation-for-Android,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,HEAD,1,615a79d14895d807fab38e6b2f48067d8300fbfc,head,1,1,625,14,14,14,14,1,perfect_panel_match
control,Drchip61/Dual_SAM,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,HEAD,1,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,head,1,1,34,3,3,3,3,1,perfect_panel_match
control,EURAC-EEBgroup/brick-llm,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,HEAD,1,ac89ecd41929d3133379fda4bcf5e85927d1c4ac,head,1,1,120,7,7,7,7,1,perfect_panel_match
control,Envious-Data/Env-KB,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,HEAD,1,1e0873a8409cca1332537cb4934c04b54ce33a7a,head,1,1,260,1,1,1,1,1,perfect_panel_match
control,Event-AHU/OpenEvDET,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,HEAD,1,b2cf1565e4209b7ab0f9258f0ce7e23d7fe21595,head,1,1,171,13,13,13,13,1,perfect_panel_match
control,FFY0/AdaKV,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,HEAD,1,04497abac4c1a58426f3daf1014578990e225cc5,head,1,1,25,7,7,7,7,1,perfect_panel_match
control,FMInference/FlexiGen,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,HEAD,1,004ffef82b46e8dc8685c55d0cdda650bdaf1269,head,1,1,107,3,3,3,3,1,perfect_panel_match
control,FaceAdapter/Face-Adapter,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FaceAdapter_Face-Adapter,HEAD,1,6e313885188e05740a7c40e12c1b9015c748bf08,head,1,1,24,1,1,1,1,1,perfect_panel_match
control,FlipperPA/peregrine,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,HEAD,1,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,head,1,1,188,1,1,1,1,1,perfect_panel_match
control,FolhaSP/mosaico,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,HEAD,1,b3c2a5e6ed21ebdabf955c519d66a458c2bd08e4,head,1,1,101,7,7,7,7,1,perfect_panel_match
control,GispoCoding/qgis-venv-creator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,HEAD,1,da97781d79749fa683611204606b94966dfbc799,head,1,1,22,2,2,2,2,1,perfect_panel_match
