section,check,passed,value
input,panel_rows_preserved,1,1633
manifest,all_panel_rows_in_manifest,1,0
manifest,panel_current_commits_match_manifest,1,0
processing,errors_zero,1,0
history,one_selected_history_ref_per_repository,1,220
history,selected_history_refs_reproduce_all_panel_months,1,0
month_end,one_parent_record_per_panel_row,1,1633
month_end,all_month_end_commits_in_selected_history,1,0
selection,all_positive_commit_months_ready,1,0
selection,selected_commit_counts_match_panel,1,0
selection,committer_month_latest_commits_match_panel,1,0
selection,all_selected_commits_match_panel_committer_month,1,0
pairs,repo_month_commit_keys_unique,1,0
pairs,scan_commits_do_not_overlap_repo_months,1,0
pairs,scan_parent_present,1,0
pairs,primary_eligibility_matches_merge_rule,1,0
pairs,boundary_selected_count_matches_pair_table,1,197853:197853
first_month,first_observed_positive_months_recovered,1,0
