dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
control,BalancerMaxis/multisig-ops,HEAD,america_chicago,10356,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,HEAD,original_local,10356,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,america_chicago,9500,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,original_local,9500,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,america_chicago,9270,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,original_local,9270,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-xxx-recover-unclaimed-legacy-merkleredeem-funds,america_chicago,10340,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-xxx-recover-unclaimed-legacy-merkleredeem-funds,original_local,10340,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/cowamm-withdraw-bip,america_chicago,9824,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/cowamm-withdraw-bip,original_local,9824,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,america_chicago,10356,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,original_local,10356,20,20,20,20,0,1
control,BalancerMaxis/multisig-ops,HEAD,commit_embedded_offset,10356,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,commit_embedded_offset,9500,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,commit_embedded_offset,9270,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-xxx-recover-unclaimed-legacy-merkleredeem-funds,commit_embedded_offset,10340,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/cowamm-withdraw-bip,commit_embedded_offset,9824,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,commit_embedded_offset,10356,20,13,16,13,10,0
control,BalancerMaxis/multisig-ops,HEAD,utc,10356,20,13,16,13,18,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/aura-locker-harvest-2026-01-07,utc,9500,20,13,16,13,18,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-891-increase-cap-GOLD-styETH,utc,9270,20,13,16,13,18,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/bip-xxx-recover-unclaimed-legacy-merkleredeem-funds,utc,10340,20,13,16,13,18,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/cowamm-withdraw-bip,utc,9824,20,13,16,13,18,0
control,BalancerMaxis/multisig-ops,refs/remotes/origin/main,utc,10356,20,13,16,13,18,0
control,aio-libs/aiohttp,HEAD,america_chicago,13719,20,20,20,20,0,1
control,aio-libs/aiohttp,HEAD,original_local,13719,20,20,20,20,0,1
control,aio-libs/aiohttp,refs/remotes/origin/Dreamsorcerer-patch-1,america_chicago,13712,20,20,20,20,0,1
