dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
control,thefatedefeater/V2ray-Config,HEAD,america_chicago,4200,8,8,8,8,0,1
control,thefatedefeater/V2ray-Config,HEAD,original_local,4200,8,8,8,8,0,1
control,thefatedefeater/V2ray-Config,refs/remotes/origin/main,america_chicago,4200,8,8,8,8,0,1
control,thefatedefeater/V2ray-Config,refs/remotes/origin/main,original_local,4200,8,8,8,8,0,1
control,thefatedefeater/V2ray-Config,HEAD,utc,4200,8,3,2,0,18,0
control,thefatedefeater/V2ray-Config,refs/remotes/origin/main,utc,4200,8,3,2,0,18,0
control,thefatedefeater/V2ray-Config,HEAD,commit_embedded_offset,4200,8,2,2,0,46,0
control,thefatedefeater/V2ray-Config,refs/remotes/origin/main,commit_embedded_offset,4200,8,2,2,0,46,0
treatment,Kiln-AI/Kiln,HEAD,america_chicago,6928,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,HEAD,original_local,6928,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-178/archive-tool,america_chicago,6737,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-178/archive-tool,original_local,6737,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-435/improved-errors,america_chicago,6617,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-435/improved-errors,original_local,6617,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-540/custom-model-bug,america_chicago,5898,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-540/custom-model-bug,original_local,5898,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-612/out-of-date-string,america_chicago,6360,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-612/out-of-date-string,original_local,6360,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/main,america_chicago,6928,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,refs/remotes/origin/main,original_local,6928,13,13,13,13,0,1
treatment,Kiln-AI/Kiln,HEAD,commit_embedded_offset,6928,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-178/archive-tool,commit_embedded_offset,6737,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-435/improved-errors,commit_embedded_offset,6617,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-540/custom-model-bug,commit_embedded_offset,5898,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-612/out-of-date-string,commit_embedded_offset,6360,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/main,commit_embedded_offset,6928,13,8,12,8,8,0
treatment,Kiln-AI/Kiln,HEAD,utc,6928,13,4,8,4,32,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-178/archive-tool,utc,6737,13,4,8,4,32,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-435/improved-errors,utc,6617,13,4,8,4,32,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-540/custom-model-bug,utc,5898,13,4,8,4,32,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/KIL-612/out-of-date-string,utc,6360,13,4,8,4,32,0
treatment,Kiln-AI/Kiln,refs/remotes/origin/main,utc,6928,13,4,8,4,32,0
treatment,KroMiose/nekro-agent,HEAD,america_chicago,883,14,14,14,14,0,1
treatment,KroMiose/nekro-agent,HEAD,original_local,883,14,14,14,14,0,1
treatment,KroMiose/nekro-agent,refs/remotes/origin/main,america_chicago,883,14,14,14,14,0,1
treatment,KroMiose/nekro-agent,refs/remotes/origin/main,original_local,883,14,14,14,14,0,1
treatment,KroMiose/nekro-agent,HEAD,utc,883,14,12,13,12,4,0
treatment,KroMiose/nekro-agent,refs/remotes/origin/main,utc,883,14,12,13,12,4,0
treatment,KroMiose/nekro-agent,HEAD,commit_embedded_offset,883,14,8,11,8,8,0
treatment,KroMiose/nekro-agent,refs/remotes/origin/main,commit_embedded_offset,883,14,8,11,8,8,0
treatment,OpenMOSS/Language-Model-SAEs,HEAD,america_chicago,1422,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,HEAD,original_local,1422,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/asi,america_chicago,1134,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/asi,original_local,1134,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/aux_k,america_chicago,1114,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/aux_k,original_local,1114,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/circuit-enhancement,america_chicago,1019,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/circuit-enhancement,original_local,1019,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/dev,america_chicago,1422,18,18,18,18,0,1
treatment,OpenMOSS/Language-Model-SAEs,refs/remotes/origin/dev,original_local,1422,18,18,18,18,0,1
