section,check,passed,value
environment,python_version_at_least_3_12,1,3.12.13
input,unexpected_error_stages_zero,1,0
input,panel_keys_unique,1,0
input,treatment_panel_matches_complete,1,0
input,panel_merge_row_count_preserved,1,1197:1197;all_missing=258;control_missing=258
resolution,blob_path_resolution_errors_zero,1,0
resolution,all_error_records_have_blob_keys,1,records=1197 errors=1197
processing,blob_processing_errors_zero,1,0
processing,unique_blob_keys_unique,1,0
processing,all_unique_blobs_rechecked,1,1138:1138
coverage,all_error_records_mapped_to_recheck,1,0
arithmetic,record_recovery_partition_matches_input,1,875+322:1197
arithmetic,unique_recovery_partition_matches_targets,1,864+274:1138
arithmetic,dataset_source_partition_matches_input,1,1197:1197
