treatment_repo,num_unique_controls
cbardyn/ai-swiss-workflows,2
grapeot/devin.cursorrules,2
ttmouse/Wispr-Flow-CN,2
1mrat/cursor-taskrunner,3
Anemll/Anemll,3
Apocrathia/home-assistant-config,3
Aronnaxx/Behold-Urwar-Droid-Concepts,3
AttackIQ/DetectIQ,3
Chocksy/qc-options-framework,3
DannyMac180/mirror,3
DataDog/integrations-core,3
DataScienceUIBK/Rankify,3
Elevate-Code/better-voice-typing,3
Hankanman/Area-Occupancy-Detection,3
Kiln-AI/Kiln,3
KroMiose/nekro-agent,3
LearningCircuit/local-deep-research,3
MDGrey33/pyvisionai,3
Meeting-Baas/speaking-meeting-bot,3
Mineru98/mysql-mcp-server,3
Multi-V-VM/MVVM,3
Ody-Z/Trading_Game_Simulator,3
OpenMOSS/Language-Model-SAEs,3
OpenSPP/openspp-modules,3
PiotrCzapla/smart_dictation,3
PostHog/posthog,3
ResearchHub/researchhub-backend,3
Scrapybara/codecapy,3
SlyyCooper/cursorrules-architect,3
TextGeneratorio/text-generator.io,3
The-Pocket/PocketFlow,3
The-Pocket/PocketFlow-Template-Python,3
The-Pocket/Tutorial-AI-Paul-Graham,3
The-Pocket/Tutorial-Cold-Email-Personalization,3
The-Pocket/Tutorial-Cursor,3
TheSethRose/Agent-Chat,3
ToolUse/infinite-ai-seo,3
ToolUse/tool-use-ai,3
VRSEN/agency-swarm,3
VRSEN/agency-swarm-memory-demo,3
VRSEN/agency-voice-interface,3
W1ndys/Blog,3
WangQrkkk/ThinkingCursor,3
airweave-ai/airweave,3
allthingslinux/tux,3
appl-team/appl,3
arjitvermaco/DbDost,3
askjohngeorge/pipecat-lead-qualifier,3
assafelovic/gpt-researcher,3
atopile/atopile,3
c4fun/tell-stories-webui,3
cgevans/qslib,3
codingforentrepreneurs/Cursor-Django,3
cohnen/mcp-google-ads,3
daojiAnime/vmq-fastapi,3
discus0434/nook,3
ericmjl/llamabot,3
ericmjl/pyds-cli,3
ericyuegu/hal,3
ericzakariasson/uber-eats-mcp-server,3
ethyca/fides,3
ezyang/codemcp,3
gerred/mcp-server-replicate,3
getsentry/sentry,3
grapeot/web_agentic_ai,3
hyperb1iss/droidmind,3
ilanbenb/wa_llm,3
instructor-ai/instructor,3
jmurth1234/ClaudePlayer,3
keephq/keep,3
leettools-dev/leettools,3
loftwah/auto-jira,3
lss233/kirara-ai,3
martinnormark/neural-mesh-simplification,3
matebenyovszky/healing-agent,3
namuan/trading-utils,3
neal-zhu/sentinel,3
nextml-code/pytorch-datastream,3
osomai/servicenow-mcp,3
panther-labs/panther-analysis,3
raphaelmansuy/code2prompt,3
raphaelmansuy/iteration_of_tought,3
samuelgursky/davinci-resolve-mcp,3
sbomify/sbomify,3
sirkirby/unifi-network-rules,3
smartian1/tgtrader,3
smorin/py-launch-blueprint,3
sshtunnelvision/MCP-LOGO-GEN,3
synaptiai/prompt-decorators,3
terryyin/lizard,3
tmux-python/tmuxp,3
tony/django-docutils,3
tony/django-slugify-processor,3
trycua/cua,3
tsukumijima/KonomiTV,3
tw-haiven/haiven,3
utensils/mcp-nixos,3
vcs-python/vcspull,3
vietanhdev/anylabeling,3
wdm0006/elote,3
wdm0006/git-pandas,3
wdm0006/pygeohash,3
whiteducksoftware/flock,3
xzq-xu/jvm-mcp-server,3
yagami1997/CursorMind,3
yagami1997/TradeMind,3
yeagerai/genlayer-studio,3
zauberzeug/nicegui,3
zenbase-ai/py-priompt,3
zilliztech/mcp-server-milvus,3
