repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages
1mrat/cursor-taskrunner,Python,13,4.0,1.0,27458.0,Python: 4996
Altinity/clickhouse-grafana,Python,739,1809.0,33.0,1989751.0,Python: 456153; TypeScript: 376675; Go: 208210; Shell: 4461; JavaScript: 4262; Dockerfile: 1840; CSS: 89
Anemll/Anemll,Python,307,8.0,1.0,2542.0,Python: 252255; Shell: 19620
Apocrathia/home-assistant-config,Python,182,1000.0,9.0,3652.0,Python: 2728; C++: 2037; Shell: 983
Aronnaxx/Behold-Urwar-Droid-Concepts,Python,14,64.0,1.0,18131.0,Python: 168252; HTML: 133404; JavaScript: 24660; CSS: 11080
AttackIQ/DetectIQ,Python,101,36.0,1.0,16575.0,Python: 386470; TypeScript: 155128; JavaScript: 2064; Makefile: 1322; Shell: 613; CSS: 374
ChatFAQ/ChatFAQ,Python,128,1391.0,8.0,14270.0,Python: 1066102; Vue: 363332; SCSS: 43290; JavaScript: 37927; Dockerfile: 5938; TypeScript: 2181; Makefile: 1927; Shell: 989
Chocksy/qc-options-framework,Python,14,100.0,3.0,497.0,Python: 706400; Jupyter Notebook: 2105; Shell: 1163
DannyMac180/mirror,Python,10,15.0,1.0,802.0,Python: 166452; Jupyter Notebook: 47445; HCL: 25460; Makefile: 855; Dockerfile: 342
DataDog/integrations-core,Python,995,17955.0,381.0,276062.0,Python: 18642616; Shell: 117219; TSQL: 64105; Dockerfile: 57585; Erlang: 15518; COBOL: 12312; Java: 9035; HCL: 8876; Scala: 7000; Go: 6988; PowerShell: 6400; Lua: 3489; Starlark: 2446; JavaScript: 1818; HTML: 1318; TypeScript: 1019; Batchfile: 652; Kotlin: 430; Roff: 359; Jinja: 310; Ruby: 292; Swift: 203; Logos: 143; PHP: 20
DataScienceUIBK/Rankify,Python,318,125.0,3.0,5359.0,Python: 1459522; C++: 20283; Cuda: 4540
DutchCryptoDad/bamboo-ta,Python,12,129.0,1.0,30773.0,Python: 1952044
Elevate-Code/better-voice-typing,Python,31,22.0,1.0,2385.0,Python: 72341; Batchfile: 4645; PowerShell: 4427
