treatment_repo,treatment_clone_dir_name,treatment_clone_path,treatment_is_git_repository,matched_period,propensity_score,original_matched_control_count,control_rank,control_repo,control_clone_found,control_clone_dir_name,control_clone_path,control_is_git_repository,pair_status
1mrat/cursor-taskrunner,1mrat_cursor-taskrunner,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,True,202407,0.0066917276040948,3,1,PhilNad/robot-arm-kinematic-calibration,True,PhilNad_robot-arm-kinematic-calibration,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/PhilNad_robot-arm-kinematic-calibration,True,aligned
1mrat/cursor-taskrunner,1mrat_cursor-taskrunner,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,True,202407,0.0066917276040948,3,2,The-WhiteRabbit/dnfm_server,True,The-WhiteRabbit_dnfm_server,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/The-WhiteRabbit_dnfm_server,True,aligned
1mrat/cursor-taskrunner,1mrat_cursor-taskrunner,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,True,202407,0.0066917276040948,3,3,TheFocusedCoder/api-agent,True,TheFocusedCoder_api-agent,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/TheFocusedCoder_api-agent,True,aligned
airweave-ai/airweave,airweave-ai_airweave,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,True,202502,0.1527615955813173,3,1,bropines/chrome-lens-py,True,bropines_chrome-lens-py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,True,aligned
airweave-ai/airweave,airweave-ai_airweave,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,True,202502,0.1527615955813173,3,2,dromara/domain-admin,True,dromara_domain-admin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dromara_domain-admin,True,aligned
airweave-ai/airweave,airweave-ai_airweave,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/airweave-ai_airweave,True,202502,0.1527615955813173,3,3,dymmond/edgy,True,dymmond_edgy,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dymmond_edgy,True,aligned
allthingslinux/tux,allthingslinux_tux,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,True,202501,0.1415551021966538,3,1,FolhaSP/mosaico,True,FolhaSP_mosaico,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,True,aligned
allthingslinux/tux,allthingslinux_tux,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,True,202501,0.1415551021966538,3,2,peter279k/cdc-data-mirror,True,peter279k_cdc-data-mirror,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/peter279k_cdc-data-mirror,True,aligned
allthingslinux/tux,allthingslinux_tux,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/allthingslinux_tux,True,202501,0.1415551021966538,3,3,Simatwa/free-proxies,True,Simatwa_free-proxies,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Simatwa_free-proxies,True,aligned
Anemll/Anemll,Anemll_Anemll,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,True,202501,0.0752835910159034,3,1,MIT-Emerging-Talent/ET6-edXtras,True,MIT-Emerging-Talent_ET6-edXtras,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MIT-Emerging-Talent_ET6-edXtras,True,aligned
Anemll/Anemll,Anemll_Anemll,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,True,202501,0.0752835910159034,3,2,LuneMods/KCD2-Blender-Toolkit,True,LuneMods_KCD2-Blender-Toolkit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,True,aligned
Anemll/Anemll,Anemll_Anemll,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,True,202501,0.0752835910159034,3,3,ninareyes1/Simple-Digital-Clock,True,ninareyes1_Simple-Digital-Clock,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,True,aligned
Apocrathia/home-assistant-config,Apocrathia_home-assistant-config,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,True,202501,0.0010122098134752,3,1,jacebrowning/datafiles,True,jacebrowning_datafiles,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jacebrowning_datafiles,True,aligned
Apocrathia/home-assistant-config,Apocrathia_home-assistant-config,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,True,202501,0.0010122098134752,3,2,linuxacademy/content-gitops,True,linuxacademy_content-gitops,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/linuxacademy_content-gitops,True,aligned
