repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence,latest_commit_original,latest_commit_effective,latest_commit,commit_resolution,months_since_observed_commit,clone_path,clone_exists,is_git_repository,commit_exists,tracked_file_count,python_file_count_all,python_file_count_source,python_file_count_excluded,has_python,has_python_source,python_eligible,python_path_samples,excluded_python_path_samples,scan_status,error_message,eligibility_join_status
1mrat/cursor-taskrunner,2024-08,1,2024-08,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,4.0,264.0,8.0,1.0,9,0,0,0,209.0,1.0,0.0,1.0,0.0,5.9,28.0,5.0,,,,treatment,False,True,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,53d6ca106d0525b5eec3d03eba2406488da0ddcd,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/1mrat_cursor-taskrunner,1,1,1,31,1,1,0,1,1,1,task_runner.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-02,1,2025-02,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,8.0,2742.0,701.0,2.0,212,3,3,0,3990.0,6.0,0.0,109.0,22.3,24.8,1013.0,692.0,,,,treatment,True,True,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,54,22,22,0,1,1,1,anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/deepseek_converter.py | anemll/ane_converter/llama_converter.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-03,1,2025-02,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,0.0,0.0,0.0,0.0,74,6,13,20,3990.0,6.0,0.0,109.0,22.3,24.8,1013.0,692.0,,,,treatment,True,False,,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,d3b2e3660c0657ab643b68a0513b4b5ab443c04c,carried_forward,1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,54,22,22,0,1,1,1,anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/deepseek_converter.py | anemll/ane_converter/llama_converter.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-04,1,2025-02,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,5.0,23138.0,423.0,2.0,23,5,10,51,4093.0,6.0,0.0,109.0,20.1,25.2,1064.0,730.0,,,,treatment,True,False,d175746c2ffbabd0a0e4491212c0ef0a501d9848,d175746c2ffbabd0a0e4491212c0ef0a501d9848,d175746c2ffbabd0a0e4491212c0ef0a501d9848,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,166,23,23,0,1,1,1,anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/create_config_json.py | anemll/ane_converter/deepseek_converter.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-05,1,2025-02,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,1.0,2.0,2.0,1.0,551,2,4,81,4093.0,6.0,0.0,109.0,20.1,25.2,1064.0,730.0,,,,treatment,True,False,4bfa0b08183a437e759798f2245bbcba2313521f,4bfa0b08183a437e759798f2245bbcba2313521f,4bfa0b08183a437e759798f2245bbcba2313521f,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,166,23,23,0,1,1,1,anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/create_config_json.py | anemll/ane_converter/deepseek_converter.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-06,1,2025-02,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,65.0,91287.0,9154.0,3.0,74,3,3,112,18458.0,10.0,0.0,990.0,16.9,19.1,4188.0,3921.0,,,,treatment,True,False,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,276,113,113,0,1,1,1,__init__.py | anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/create_config_json.py,,success_python,,matched_repo_month
Anemll/Anemll,2025-07,1,2025-02,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,1.0,5389.0,567.0,1.0,35,2,9,142,21444.0,14.0,0.0,1070.0,23.4,19.4,5144.0,4799.0,,,,treatment,True,False,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Anemll_Anemll,1,1,1,283,119,119,0,1,1,1,__init__.py | anemll/__init__.py | anemll/ane_converter/__init__.py | anemll/ane_converter/base_converter.py | anemll/ane_converter/create_config_json.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-01,0,2025-02,0,-13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,5.0,32.0,22.0,1.0,3,0,0,2070,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,bbe44a43577ec4c93304b6303bf7604710f10533,bbe44a43577ec4c93304b6303bf7604710f10533,bbe44a43577ec4c93304b6303bf7604710f10533,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,120,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-02,0,2025-02,0,-12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,1.0,1.0,1.0,4,0,0,2101,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,26904b6524e3139a36005bd9d482feb396099c25,26904b6524e3139a36005bd9d482feb396099c25,26904b6524e3139a36005bd9d482feb396099c25,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,120,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-03,0,2025-02,0,-11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,3.0,14.0,147.0,1.0,2,0,0,2130,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,8a82eda5ceac8dc9bc217ca0985392aceff8fcd4,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,120,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
