repo_name,clone_path,missing_commit_sha,affected_month_count,affected_months,commit_resolution_types,exists_before,after_unshallow,after_fetch_all,after_explicit_refs,after_direct_sha_fetch,after_pr_fetch,final_exists,recovery_stage,object_type,commit_date,commit_subject
DataScienceUIBK/Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,6332b8fe8859a9705f3cf67b003f53aca0df9746,1,2025-06,observed,1,1,1,1,1,1,1,already_available,commit,2025-06-24T16:56:52+02:00,Merge pull request #32 from DataScienceUIBK/onlineretreiver
DataScienceUIBK/Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,7989aaaec160b9a72221d155a76044a41f4ac733,1,2025-07,observed,1,1,1,1,1,1,1,already_available,commit,2025-07-24T13:41:16+02:00,Merge branch 'react-rag' into development
DataScienceUIBK/Rankify,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/DataScienceUIBK_Rankify,cbcb56a58e412562b4bcb664994586479634c8db,1,2025-08,observed,1,1,1,1,1,1,1,already_available,commit,2025-08-27T20:44:30+02:00,Merge pull request #41 from aherzinger/main
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,05092d5c2ad67710c5550476b283a609035a363a,1,2025-03,observed,1,1,1,1,1,1,1,already_available,commit,2025-03-23T12:33:59-07:00,Debug FlexAttention
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,0d03635510b97fc36001e7ccf6537a23a69b4178,1,2024-10,observed,1,1,1,1,1,1,1,already_available,commit,2024-10-31T20:17:04-07:00,Shebang setup script
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,28efa22eba5633769975e9b89f78b17ff0cfe2e6,2,2024-12;2025-01,carried_forward;observed,1,1,1,1,1,1,1,already_available,commit,2024-12-16T14:44:47-08:00,Update readme
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,5ad99bc8b49618ad9a47dd06ffc52e29c1f00197,1,2024-06,observed,1,1,1,1,1,1,1,already_available,commit,2024-06-30T14:53:18-07:00,Update requirements.txt
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,5bb99aff94363125b0859c3ad98b2cae9f06ba98,1,2025-02,observed,1,1,1,1,1,1,1,already_available,commit,2025-02-28T18:10:12-08:00,button_fine_main_coarser_cstick_medium_analog_shoulder
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,7aa4f6b9c5b64ae6d208932476e706ead2d17f2a,1,2024-09,observed,1,1,1,1,1,1,1,already_available,commit,2024-09-24T15:07:07-07:00,Debug DDP shared tensor
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,91928872fc2478c1d065463a6c0654ce304109ca,1,2024-11,observed,1,1,1,1,1,1,1,already_available,commit,2024-11-28T16:23:31-08:00,Move episode sampling fn to preprocessor
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,a3ae22446bb735219ffd527354e5c42414dc72f8,1,2024-08,observed,1,1,1,1,1,1,1,already_available,commit,2024-08-19T22:50:19-07:00,Fix val_op
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,ba3301471d1a7ca863f37925b5ab75abeab25226,1,2024-05,observed,1,1,1,1,1,1,1,already_available,commit,2024-05-18T18:37:46-10:00,Replay attrs cls
ericyuegu/hal,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,cb248a324fcb7d09d52a57d0e5fe844dac86666c,1,2024-07,observed,1,1,1,1,1,1,1,already_available,commit,2024-07-28T12:43:10-07:00,pip-compile
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,2c5cbca30f1b3a2f5b37ebc54d662d69d84999d3,1,2024-11,observed,1,1,1,1,1,1,1,already_available,commit,2024-11-30T17:16:32+00:00,feat(occupancy): integrate historical data into occupancy calculation
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,3c4cdab515b795e0d15d0112b0fd0b495a85e70a,1,2025-05,observed,1,1,1,1,1,1,1,already_available,commit,2025-05-25T12:48:09+01:00,Add comprehensive documentation for advanced features and components
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,40ea0a85bd4d8c0c7b7ea7ba57c4aeb34ad5ba7f,1,2025-03,observed,1,1,1,1,1,1,1,already_available,commit,2025-03-31T18:02:09+01:00,refactor(area_occupancy): remove active_triggers from probability calculations
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,47f11ad1045f73fa16377418df37b933c6f35f44,1,2025-07,observed,1,1,1,1,1,1,1,already_available,commit,2025-07-31T12:44:59+00:00,Refactor entity probability handling in Area Occupancy component
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,6125eefc196572a79e30c0834a350aa41f97920e,1,2025-02,observed,1,1,1,1,1,1,1,already_available,commit,2025-02-02T13:50:41+00:00,test(area_occupancy): add comprehensive tests for probability calculation and integration
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,9f1894f0782625110c0bd780666f4801ac5775ee,1,2025-08,observed,1,1,1,1,1,1,1,already_available,commit,2025-08-16T23:56:51+01:00,Merge pull request #139 from Hankanman/dependabot/pip/ruff-0.12.8
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,aa61b797bc78c00e6632f4b3a9250f1868154903,2,2024-12;2025-01,carried_forward;observed,1,1,1,1,1,1,1,already_available,commit,2024-12-19T18:31:12+00:00,Merge pull request #19 from Hankanman/dev
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,b538f329ae8effba2437427e0ca7edea3ebb352c,1,2025-04,observed,1,1,1,1,1,1,1,already_available,commit,2025-04-28T12:19:57+01:00,Implement virtual sensor configuration and coordinator for Area Occupancy Detection
Hankanman/Area-Occupancy-Detection,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Hankanman_Area-Occupancy-Detection,f0210dfef813f845b4e66ef0fd75727173c2248d,1,2025-06,observed,1,1,1,1,1,1,1,already_available,commit,2025-06-30T15:15:01+01:00,Merge pull request #81 from Hankanman/dev
ToolUse/infinite-ai-seo,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ToolUse_infinite-ai-seo,1e1338fdabd877df880eacfbea799ead6de17d43,1,2025-03,observed,1,1,1,1,1,1,1,already_available,commit,2025-03-05T18:29:09-05:00,Update README.md
W1ndys/W1ndysBot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/W1ndys_W1ndysBot,64984204c81f8193080999b3c87238de94c4d187,1,2025-08,observed,0,0,0,0,0,0,0,unresolved_after_fetch,,,
