control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month
aws/nova-act,20,18,69,67,1,aligned,6,6,0,0,2025-03,2025-08
cyb3rfortr3ss/ByDeF,20,18,69,67,1,aligned,3,3,0,0,2025-03,2025-05
vonssy/DreamerQuests-BOT,20,18,69,67,1,aligned,5,5,0,0,2025-03,2025-07
LuneMods/KCD2-Blender-Toolkit,13,13,72,47,1,aligned,2,2,0,0,2025-02,2025-03
MIT-Emerging-Talent/ET6-edXtras,13,13,72,47,1,aligned,3,3,0,0,2025-02,2025-04
ninareyes1/Simple-Digital-Clock,13,13,72,47,1,aligned,1,1,0,0,2025-02,2025-02
pieces-app/cli-agent,8,8,123,123,1,aligned,22,22,0,0,2023-12,2025-09
HelpingAI/Webscout,6,6,21,21,1,aligned,19,19,0,0,2024-02,2025-08
MrTimonM/Arichain-Bot,6,6,32,30,1,aligned,1,1,0,0,2025-01,2025-01
RobinWu218/ToST,6,5,42,20,1,aligned,3,1,2,0,2024-12,2025-02
ali-bahrainian/RAG_best_practices,6,6,32,31,1,aligned,4,4,0,0,2024-12,2025-03
lancedb/lancedb,6,6,109,109,1,aligned,31,31,0,0,2023-03,2025-09
loml13yyy/AtlassianConfluence-RCE,6,6,21,21,1,aligned,1,1,0,0,2024-10,2024-10
loml13yyy/yyGRPU8,6,6,21,21,1,aligned,1,1,0,0,2024-10,2024-10
microsoft/semantic-link-labs,6,6,109,91,1,aligned,17,17,0,0,2024-05,2025-09
vonssy/BlockBitsApp-BOT,6,5,42,29,1,aligned,1,1,0,0,2024-12,2024-12
yihozhang/most-influential-pl-papers,6,6,32,30,1,aligned,1,1,0,0,2025-01,2025-01
00sapo/taskcheck,5,5,18,18,1,aligned,9,9,0,0,2024-11,2025-07
justin4ai/Quark,5,5,18,0,0,control_clone_missing,1,0,0,1,2024-11,2024-11
sakomws/ai-workshop,5,5,18,18,1,aligned,3,2,1,0,2024-10,2024-12
PromtEngineer/localGPT,4,4,61,61,1,aligned,27,27,0,0,2023-05,2025-07
Scrapybara/scrapybara-playground,4,3,19,16,1,aligned,4,4,0,0,2024-12,2025-03
daxa-ai/pebblo,4,4,61,61,1,aligned,18,18,0,0,2024-01,2025-06
Event-AHU/OpenEvDET,2,2,23,9,1,aligned,15,7,8,0,2024-06,2025-08
NVIDIA/cuEquivariance,2,2,40,20,1,aligned,10,10,0,0,2024-11,2025-08
QiuChenly/InjectLib,2,2,40,0,0,control_clone_missing,0,0,0,0,,
R0uter/ss.conf-for-surge,2,2,39,39,1,aligned,105,105,0,0,2015-11,2024-07
aio-libs/aiohttp,2,2,14,14,1,aligned,144,144,0,0,2013-10,2025-09
aj47/100x-orchestrator,2,2,40,20,1,aligned,4,4,0,0,2024-11,2025-02
bropines/chrome-lens-py,2,2,15,15,1,aligned,14,14,0,0,2024-08,2025-09
dromara/domain-admin,2,2,16,16,1,aligned,36,36,0,0,2022-09,2025-08
dymmond/edgy,2,2,15,15,1,aligned,29,29,0,0,2023-05,2025-09
golemfoundation/octant,2,2,40,40,1,aligned,36,33,3,0,2022-09,2025-08
neuml/rag,2,2,21,21,1,aligned,11,11,0,0,2024-07,2025-05
plurai-ai/intellagent,2,2,14,14,1,aligned,7,7,0,0,2024-10,2025-04
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,1,1,20,20,1,aligned,21,21,0,0,2023-07,2025-03
4mritGiri/NumberTracker,1,1,19,19,1,aligned,1,1,0,0,2022-06,2022-06
