repo_name,time,event,time_to_event,python_eligible,scan_status,exclusion_reason
Dror-Bengal/CursorFocus,2024-12,,,1,success_python,missing_valid_event
Dror-Bengal/CursorFocus,2025-01,,,1,success_python,missing_valid_event
The-Pocket-World/PocketManus,2025-03,,,1,success_python,missing_valid_event
W1ndys/W1ndysBot,2025-07,,,,commit_not_found,missing_valid_event
W1ndys/W1ndysBot,2025-08,,,,commit_not_found,missing_valid_event
loning/universe,2025-03,,,0,success_no_python,missing_valid_event
stampchain-io/btc_stamps,2024-01,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-02,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-03,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-04,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-05,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-06,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-07,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-08,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-09,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-10,,,1,success_python,missing_valid_event
stampchain-io/btc_stamps,2024-11,,,1,success_python,missing_valid_event
cgevans/qslib,2025-02,2025-02,0.0,0,success_no_python,treatment_no_python
hyperb1iss/droidmind,2025-02,2025-03,-1.0,0,success_no_python,treatment_no_python
ilanbenb/wa_llm,2024-12,2025-02,-2.0,0,success_no_python,treatment_no_python
trycua/cua,2025-01,2025-03,-2.0,0,success_no_python,treatment_no_python
trycua/cua,2025-02,2025-03,-1.0,0,success_no_python,treatment_no_python
