treatment_repo,control_rank,control_repo,event_window_min,event_window_max,treatment_python_months_observed_in_window,control_python_eligible_months,control_no_python_months,control_unknown_or_unavailable_months,stable_python_for_observed_treatment_months,eligible_snapshot_age_max_months
1mrat/cursor-taskrunner,1,PhilNad/robot-arm-kinematic-calibration,-6,6,1,1,0,0,1,0
1mrat/cursor-taskrunner,2,The-WhiteRabbit/dnfm_server,-6,6,1,1,0,0,1,0
1mrat/cursor-taskrunner,3,TheFocusedCoder/api-agent,-6,6,1,1,0,0,1,0
Anemll/Anemll,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,6,6,0,0,1,3
Anemll/Anemll,2,LuneMods/KCD2-Blender-Toolkit,-6,6,6,6,0,0,1,4
Anemll/Anemll,3,ninareyes1/Simple-Digital-Clock,-6,6,6,6,0,0,1,5
Apocrathia/home-assistant-config,1,jacebrowning/datafiles,-6,6,13,13,0,0,1,2
Apocrathia/home-assistant-config,2,linuxacademy/content-gitops,-6,6,13,13,0,0,1,65
Apocrathia/home-assistant-config,3,VirtualFlow/VFVS,-6,6,13,13,0,0,1,18
Aronnaxx/Behold-Urwar-Droid-Concepts,1,aws/nova-act,-6,6,6,6,0,0,1,0
Aronnaxx/Behold-Urwar-Droid-Concepts,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
Aronnaxx/Behold-Urwar-Droid-Concepts,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
AttackIQ/DetectIQ,1,00sapo/taskcheck,-6,6,2,2,0,0,1,0
AttackIQ/DetectIQ,2,sakomws/ai-workshop,-6,6,2,2,0,0,1,0
AttackIQ/DetectIQ,3,justin4ai/Quark,-6,6,2,0,0,2,0,
Chocksy/qc-options-framework,1,Jieqianyu/SGN,-6,6,7,7,0,0,1,6
Chocksy/qc-options-framework,2,Retmon403/cs2_cheats_for_python,-6,6,7,7,0,0,1,6
Chocksy/qc-options-framework,3,Wang-ML-Lab/unified-continual-learning,-6,6,7,7,0,0,1,12
DannyMac180/mirror,1,viktoriasemaan/sa-ai-agent,-6,6,1,1,0,0,1,2
DannyMac180/mirror,2,adelatour11/androidtvbackground,-6,6,1,1,0,0,1,6
DannyMac180/mirror,3,Makopolo/megascan_houdini20.0_USD_plugin,-6,6,1,1,0,0,1,5
DataDog/integrations-core,1,microsoft/semantic-link-labs,-6,6,12,12,0,0,1,0
DataDog/integrations-core,2,lancedb/lancedb,-6,6,12,12,0,0,1,0
DataDog/integrations-core,3,pieces-app/cli-agent,-6,6,12,12,0,0,1,0
DataScienceUIBK/Rankify,1,aio-libs/aiohttp,-6,6,7,7,0,0,1,0
DataScienceUIBK/Rankify,2,plurai-ai/intellagent,-6,6,7,7,0,0,1,4
DataScienceUIBK/Rankify,3,pieces-app/cli-agent,-6,6,7,7,0,0,1,0
Elevate-Code/better-voice-typing,1,loml13yyy/AtlassianConfluence-RCE,-6,6,7,7,0,0,1,6
Elevate-Code/better-voice-typing,2,loml13yyy/yyGRPU8,-6,6,7,7,0,0,1,6
Elevate-Code/better-voice-typing,3,HelpingAI/Webscout,-6,6,7,7,0,0,1,0
Hankanman/Area-Occupancy-Detection,1,AkariAsai/ScholarQABench,-6,6,8,8,0,0,1,2
Hankanman/Area-Occupancy-Detection,2,caffeinedoom/reconthing,-6,6,8,8,0,0,1,7
Hankanman/Area-Occupancy-Detection,3,vortezwohl/Bhakti,-6,6,8,8,0,0,1,5
Kiln-AI/Kiln,1,PromtEngineer/localGPT,-6,6,12,12,0,0,1,3
Kiln-AI/Kiln,2,daxa-ai/pebblo,-6,6,12,12,0,0,1,3
Kiln-AI/Kiln,3,neuml/rag,-6,6,12,12,0,0,1,3
KroMiose/nekro-agent,1,xinsir6/ControlNetPlus,-6,6,13,13,0,0,1,10
KroMiose/nekro-agent,2,FFY0/AdaKV,-6,6,13,13,0,0,1,4
KroMiose/nekro-agent,3,DakeQQ/YOLO-Depth-Estimation-for-Android,-6,6,13,13,0,0,1,2
LearningCircuit/local-deep-research,1,EURAC-EEBgroup/brick-llm,-6,6,7,7,0,0,1,3
LearningCircuit/local-deep-research,2,dromara/domain-admin,-6,6,7,7,0,0,1,1
LearningCircuit/local-deep-research,3,ITSpecialist111/ai_automation_suggester,-6,6,7,7,0,0,1,2
MDGrey33/pyvisionai,1,ali-bahrainian/RAG_best_practices,-6,6,9,8,0,1,0,4
MDGrey33/pyvisionai,2,MrTimonM/Arichain-Bot,-6,6,9,7,0,2,0,6
MDGrey33/pyvisionai,3,yihozhang/most-influential-pl-papers,-6,6,9,7,0,2,0,6
Meeting-Baas/speaking-meeting-bot,1,00sapo/taskcheck,-6,6,7,7,0,0,1,2
Meeting-Baas/speaking-meeting-bot,2,sakomws/ai-workshop,-6,6,7,7,0,0,1,5
Meeting-Baas/speaking-meeting-bot,3,justin4ai/Quark,-6,6,7,0,0,7,0,
Mineru98/mysql-mcp-server,1,aws/nova-act,-6,6,1,1,0,0,1,0
Mineru98/mysql-mcp-server,2,cyb3rfortr3ss/ByDeF,-6,6,1,1,0,0,1,0
Mineru98/mysql-mcp-server,3,vonssy/DreamerQuests-BOT,-6,6,1,1,0,0,1,0
Multi-V-VM/MVVM,1,4mritGiri/NumberTracker,-6,6,11,11,0,0,1,37
Multi-V-VM/MVVM,2,chrisyy2003/nonebot-plugin-gpt3,-6,6,11,11,0,0,1,27
Multi-V-VM/MVVM,3,yoongi43/music_audio_enhancement_conformer,-6,6,11,11,0,0,1,4
Ody-Z/Trading_Game_Simulator,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,1,1,0,0,1,0
Ody-Z/Trading_Game_Simulator,2,LuneMods/KCD2-Blender-Toolkit,-6,6,1,1,0,0,1,0
Ody-Z/Trading_Game_Simulator,3,ninareyes1/Simple-Digital-Clock,-6,6,1,1,0,0,1,0
OpenMOSS/Language-Model-SAEs,1,Event-AHU/OpenEvDET,-6,6,13,5,8,0,0,1
OpenMOSS/Language-Model-SAEs,2,RobinWu218/ToST,-6,6,13,5,2,6,0,4
OpenMOSS/Language-Model-SAEs,3,vonssy/BlockBitsApp-BOT,-6,6,13,7,0,6,0,6
OpenSPP/openspp-modules,1,GispoCoding/qgis-venv-creator,-6,6,11,11,0,0,1,16
OpenSPP/openspp-modules,2,davidhandsome86/LLM_RAG,-6,6,11,11,0,0,1,16
OpenSPP/openspp-modules,3,omkarcloud/amazon-scraper,-6,6,11,11,0,0,1,18
PiotrCzapla/smart_dictation,1,loml13yyy/AtlassianConfluence-RCE,-6,6,1,1,0,0,1,0
PiotrCzapla/smart_dictation,2,loml13yyy/yyGRPU8,-6,6,1,1,0,0,1,0
PiotrCzapla/smart_dictation,3,HelpingAI/Webscout,-6,6,1,1,0,0,1,0
PostHog/posthog,1,NVIDIA/cuEquivariance,-6,6,13,10,0,3,0,0
PostHog/posthog,2,aj47/100x-orchestrator,-6,6,13,10,0,3,0,6
PostHog/posthog,3,golemfoundation/octant,-6,6,13,13,0,0,1,0
ResearchHub/researchhub-backend,1,jinli99/iShapEditing,-6,6,12,12,0,0,1,7
ResearchHub/researchhub-backend,2,slopp/30_days_of_dagster,-6,6,12,10,0,2,0,8
ResearchHub/researchhub-backend,3,PiotrMachowski/Home-Assistant-custom-components-TGE,-6,6,12,12,0,0,1,3
Scrapybara/codecapy,1,ali-bahrainian/RAG_best_practices,-6,6,7,7,0,0,1,4
Scrapybara/codecapy,2,MrTimonM/Arichain-Bot,-6,6,7,7,0,0,1,6
Scrapybara/codecapy,3,yihozhang/most-influential-pl-papers,-6,6,7,7,0,0,1,6
SlyyCooper/cursorrules-architect,1,Event-AHU/OpenEvDET,-6,6,6,3,3,0,0,0
SlyyCooper/cursorrules-architect,2,RobinWu218/ToST,-6,6,6,3,2,1,0,2
SlyyCooper/cursorrules-architect,3,vonssy/BlockBitsApp-BOT,-6,6,6,5,0,1,0,4
TextGeneratorio/text-generator.io,1,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,-6,6,12,12,0,0,1,19
TextGeneratorio/text-generator.io,2,weaviate/t2v-transformers-models,-6,6,12,12,0,0,1,3
TextGeneratorio/text-generator.io,3,saucer-man/qq_msg_decode,-6,6,12,12,0,0,1,14
The-Pocket/PocketFlow,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,9,7,0,2,0,4
The-Pocket/PocketFlow,2,LuneMods/KCD2-Blender-Toolkit,-6,6,9,7,0,2,0,5
The-Pocket/PocketFlow,3,ninareyes1/Simple-Digital-Clock,-6,6,9,7,0,2,0,6
The-Pocket/PocketFlow-Template-Python,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,7,7,0,0,1,4
The-Pocket/PocketFlow-Template-Python,2,LuneMods/KCD2-Blender-Toolkit,-6,6,7,7,0,0,1,5
The-Pocket/PocketFlow-Template-Python,3,ninareyes1/Simple-Digital-Clock,-6,6,7,7,0,0,1,6
The-Pocket/Tutorial-AI-Paul-Graham,1,aws/nova-act,-6,6,2,1,0,1,0,0
The-Pocket/Tutorial-AI-Paul-Graham,2,cyb3rfortr3ss/ByDeF,-6,6,2,1,0,1,0,0
The-Pocket/Tutorial-AI-Paul-Graham,3,vonssy/DreamerQuests-BOT,-6,6,2,1,0,1,0,0
The-Pocket/Tutorial-Cold-Email-Personalization,1,aws/nova-act,-6,6,1,1,0,0,1,0
The-Pocket/Tutorial-Cold-Email-Personalization,2,cyb3rfortr3ss/ByDeF,-6,6,1,1,0,0,1,0
The-Pocket/Tutorial-Cold-Email-Personalization,3,vonssy/DreamerQuests-BOT,-6,6,1,1,0,0,1,0
The-Pocket/Tutorial-Cursor,1,aws/nova-act,-6,6,1,1,0,0,1,0
The-Pocket/Tutorial-Cursor,2,cyb3rfortr3ss/ByDeF,-6,6,1,1,0,0,1,0
The-Pocket/Tutorial-Cursor,3,vonssy/DreamerQuests-BOT,-6,6,1,1,0,0,1,0
TheSethRose/Agent-Chat,1,loml13yyy/AtlassianConfluence-RCE,-6,6,1,1,0,0,1,0
TheSethRose/Agent-Chat,2,loml13yyy/yyGRPU8,-6,6,1,1,0,0,1,0
TheSethRose/Agent-Chat,3,HelpingAI/Webscout,-6,6,1,1,0,0,1,0
ToolUse/infinite-ai-seo,1,MIT-Emerging-Talent/ET6-edXtras,-6,6,2,2,0,0,1,0
