treatment_repo,treatment_month,event_month,time_to_event,in_event_window,original_control_slots,python_eligible_controls,no_python_controls,snapshot_unknown_controls,missing_clone_controls,missing_monthly_history_controls,no_prior_snapshot_controls,exact_month_python_controls,prior_asof_python_controls,has_any_python_control,has_all_three_python_controls,coverage_class,eligible_snapshot_age_min_months,eligible_snapshot_age_median_months,eligible_snapshot_age_max_months,python_eligible_control_repos,no_python_control_repos,unavailable_or_unknown_control_repos,stable_python_control_count_event_window
1mrat/cursor-taskrunner,2024-08,2024-08,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,PhilNad/robot-arm-kinematic-calibration | The-WhiteRabbit/dnfm_server | TheFocusedCoder/api-agent,,,3
Anemll/Anemll,2025-02,2025-02,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Anemll/Anemll,2025-03,2025-02,1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,1,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Anemll/Anemll,2025-04,2025-02,2.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,1.0,2,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Anemll/Anemll,2025-05,2025-02,3.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,1,2.0,3,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Anemll/Anemll,2025-06,2025-02,4.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,2,3.0,4,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Anemll/Anemll,2025-07,2025-02,5.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,3,4.0,5,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,3
Apocrathia/home-assistant-config,2024-01,2025-02,-13.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,46,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-02,2025-02,-12.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,1.0,47,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-03,2025-02,-11.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,2.0,48,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-04,2025-02,-10.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,3.0,49,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-05,2025-02,-9.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,4.0,50,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-06,2025-02,-8.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,5.0,51,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-07,2025-02,-7.0,0,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,6.0,52,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-08,2025-02,-6.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,7.0,53,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-09,2025-02,-5.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,8.0,54,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-10,2025-02,-4.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,9.0,55,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-11,2025-02,-3.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,10.0,56,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2024-12,2025-02,-2.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,11.0,57,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-01,2025-02,-1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,2,12.0,58,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-02,2025-02,0.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,13.0,59,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-03,2025-02,1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,1,14.0,60,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-04,2025-02,2.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,15.0,61,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-05,2025-02,3.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,16.0,62,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-06,2025-02,4.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,17.0,63,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-07,2025-02,5.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,18.0,64,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Apocrathia/home-assistant-config,2025-08,2025-02,6.0,1,3,3,0,0,0,0,0,1,2,1,1,3_of_3,0,1.0,65,VirtualFlow/VFVS | jacebrowning/datafiles | linuxacademy/content-gitops,,,3
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-03,2025-03,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-04,2025-03,1.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,1,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
Aronnaxx/Behold-Urwar-Droid-Concepts,2025-05,2025-03,2.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,1,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
