treatment_repo,treatment_month,event_month,time_to_event,in_event_window,treatment_python_eligible,treatment_scan_status,control_rank,control_repo,pair_status,control_clone_found,control_slot_status,control_slot_usable,eligibility_lookup,selected_eligibility_month,selected_snapshot_observed_month,selected_snapshot_commit,selected_commit_resolution,selected_scan_status,selected_python_eligible,asof_row_gap_months,snapshot_age_months,selected_months_since_observed_commit,selected_error_message,pair_status_overridden_by_history
1mrat/cursor-taskrunner,2024-08,2024-08,0.0,1,1,success_python,1,PhilNad/robot-arm-kinematic-calibration,aligned,1,python_eligible,1,exact_month,2024-08,2024-08,6e0292a27caedfd3a205502115d243868fafc00d,observed,success_python,1,0,0,0,,0
1mrat/cursor-taskrunner,2024-08,2024-08,0.0,1,1,success_python,2,The-WhiteRabbit/dnfm_server,aligned,1,python_eligible,1,exact_month,2024-08,2024-08,27aef2893d5aafe85066fdc682f9ef1bc5fce2d6,observed,success_python,1,0,0,0,,0
1mrat/cursor-taskrunner,2024-08,2024-08,0.0,1,1,success_python,3,TheFocusedCoder/api-agent,aligned,1,python_eligible,1,exact_month,2024-08,2024-08,f8ffde215c91238ab844dc60531b179d6067a211,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-02,2025-02,0.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,exact_month,2025-02,2025-02,ae3c1e35770536349214505cccbfba4bc11d895c,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-02,2025-02,0.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,exact_month,2025-02,2025-02,9bbb606215b45b26e20f214ef65359d3a0d561f3,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-02,2025-02,0.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,exact_month,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-03,2025-02,1.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,exact_month,2025-03,2025-03,4bf71d024e75d12903ebfc79157120e477643dac,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-03,2025-02,1.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,exact_month,2025-03,2025-03,c335231561e1327a43f7aac66357232fa83ee545,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-03,2025-02,1.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,prior_asof,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,1,1,0,,0
Anemll/Anemll,2025-04,2025-02,2.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,exact_month,2025-04,2025-04,298895297e3070065b1d3a8f8b0ad1e0b80e2dfa,observed,success_python,1,0,0,0,,0
Anemll/Anemll,2025-04,2025-02,2.0,1,1,success_python,2,LuneMods/KCD2-Blender-Toolkit,aligned,1,python_eligible,1,prior_asof,2025-03,2025-03,c335231561e1327a43f7aac66357232fa83ee545,observed,success_python,1,1,1,0,,0
Anemll/Anemll,2025-04,2025-02,2.0,1,1,success_python,3,ninareyes1/Simple-Digital-Clock,aligned,1,python_eligible,1,prior_asof,2025-02,2025-02,bff2e4c50c8d83c5407270dc94ad8aa6d4fe9865,observed,success_python,1,2,2,0,,0
Anemll/Anemll,2025-05,2025-02,3.0,1,1,success_python,1,MIT-Emerging-Talent/ET6-edXtras,aligned,1,python_eligible,1,prior_asof,2025-04,2025-04,298895297e3070065b1d3a8f8b0ad1e0b80e2dfa,observed,success_python,1,1,1,0,,0
