control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
00sapo/taskcheck,5,5,18,18,1,aligned,9,9,0,0,2024-11,2025-07,00sapo/taskcheck,0,0,9,2024-11,2025-07,9,2024-11,2025-07,9,2024-11,2025-07,0,,,0,9,0,0,,0,0,0,not_linked_to_estimable_treatment
2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,1,1,20,20,1,aligned,21,21,0,0,2023-07,2025-03,2019211474/dl-nasa-soh-cnn-bilstm-attention,1,1,15,2024-01,2025-03,15,2024-01,2025-03,1,2025-03,2025-03,1,2025-03,2025-03,0,15,0,0,,0,0,0,model_a_estimable_available
4mritGiri/NumberTracker,1,1,19,19,1,aligned,1,1,0,0,2022-06,2022-06,4mritgiri/numbertracker,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
666wcy/ARPT-Bot,1,1,15,15,1,aligned,10,10,0,0,2021-06,2022-03,666wcy/arpt-bot,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
AkariAsai/ScholarQABench,1,1,10,10,1,aligned,10,10,0,0,2024-11,2025-08,akariasai/scholarqabench,1,1,10,2024-11,2025-08,10,2024-11,2025-08,10,2024-11,2025-08,10,2024-11,2025-08,0,10,0,0,,0,0,0,model_a_estimable_available
AlexIoannides/pyspark-example-project,1,1,20,20,1,aligned,45,45,0,0,2017-12,2021-08,alexioannides/pyspark-example-project,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
ArpiarSaundersLab/annsql,1,1,17,12,1,aligned,9,9,0,0,2024-09,2025-05,arpiarsaunderslab/annsql,1,1,9,2024-09,2025-05,9,2024-09,2025-05,9,2024-09,2025-05,9,2024-09,2025-05,0,9,0,0,,0,0,0,model_a_estimable_available
BalancerMaxis/multisig-ops,1,1,6,6,1,aligned,34,33,1,0,2022-12,2025-09,balancermaxis/multisig-ops,1,1,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,20,2024-01,2025-08,0,20,0,0,,0,0,0,model_a_estimable_available
Benzauber/convert-commander,1,1,2,2,1,aligned,10,10,0,0,2024-11,2025-08,benzauber/convert-commander,0,0,10,2024-11,2025-08,10,2024-11,2025-08,10,2024-11,2025-08,0,,,0,10,0,0,,0,0,0,not_linked_to_estimable_treatment
BiancoChiu/iOSRealRun-cli-18,1,1,2,2,1,aligned,17,17,0,0,2024-02,2025-06,biancochiu/iosrealrun-cli-18,1,1,17,2024-02,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,17,2024-02,2025-06,0,17,0,0,,0,0,0,model_a_estimable_available
C4NU/Paddie,1,1,16,16,1,aligned,20,20,0,0,2023-08,2025-03,c4nu/paddie,1,1,15,2024-01,2025-03,15,2024-01,2025-03,15,2024-01,2025-03,15,2024-01,2025-03,0,15,0,0,,0,0,0,model_a_estimable_available
Cherecho/Triangular-arbitrage,1,1,13,13,1,aligned,1,1,0,0,2022-05,2022-05,cherecho/triangular-arbitrage,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
