exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2024-11,,,1,success_python,87.0,3031.0,0,1113.0,1113.0,,replication_panel,0,,1.0,6,0,1c51a1d6596b27cf0803be6fe76a3cf55d136027,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2024-12,,,1,success_python,1.0,21.0,25,1113.0,1113.0,,replication_panel,0,,1.0,2,0,5d3fcfe965b3f342b19ea3a96b37c9840583eab4,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-01,,,1,success_python,0.0,0.0,56,1113.0,1113.0,,replication_panel,0,,0.0,1,0,5d3fcfe965b3f342b19ea3a96b37c9840583eab4,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-02,,,1,success_python,0.0,0.0,0,1113.0,1113.0,,replication_panel,0,,0.0,0,0,5d3fcfe965b3f342b19ea3a96b37c9840583eab4,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-03,,,1,success_python,3.0,17.0,115,1113.0,1113.0,,replication_panel,0,,1.0,2,0,c74c7283a2a9cc69474607bf262bafc6198c76ca,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-04,,,1,success_python,0.0,0.0,146,1113.0,1113.0,,replication_panel,0,,0.0,4,0,c74c7283a2a9cc69474607bf262bafc6198c76ca,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-05,,,1,success_python,43.0,2614.0,176,2445.0,2445.0,,replication_panel,0,,2.0,1,0,c12e679d78c47cf47f27ed37478f1b1abf529b77,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-06,,,1,success_python,28.0,1124.0,207,2872.0,2872.0,,replication_panel,0,,3.0,2,2,5dd5f96d2b171b8b846dfd18ca79af3e76c09a0d,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,00sapo/taskcheck,2025-07,,,1,success_python,3.0,12.0,237,2873.0,2873.0,,replication_panel,0,,1.0,0,0,90d25143fe856dc6079253d5b40fc08bfe89456e,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2024-11,,,1,success_python,16.0,1781.0,0,786.0,786.0,,replication_panel,0,,2.0,20,2,0daf3fb2c5f7ea7f15b45b2b78959f7c0ac495cc,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2024-12,,,1,success_python,3.0,4.0,24,786.0,786.0,,replication_panel,0,,1.0,0,0,c6af5ce2dd031d22e63cb2cfe906d4d7eaf8cd29,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-01,,,1,success_python,3.0,1116.0,55,1246.0,1246.0,,replication_panel,0,,2.0,14,0,799f1b779024bb90c5bca1df44b23a9ec13ee5c3,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-02,,,1,success_python,0.0,0.0,86,1246.0,1246.0,,replication_panel,0,,0.0,3,0,799f1b779024bb90c5bca1df44b23a9ec13ee5c3,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-03,,,1,success_python,7.0,327.0,114,1351.0,1351.0,,replication_panel,0,,2.0,0,0,47516bf205985b3e69a7bac2e1cd36540053803a,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-04,,,1,success_python,0.0,0.0,145,1351.0,1351.0,,replication_panel,0,,0.0,0,1,47516bf205985b3e69a7bac2e1cd36540053803a,carried_forward
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-05,,,1,success_python,5.0,120.0,175,1305.0,1305.0,,replication_panel,0,,2.0,1,0,f0d8e7aaa90f855e27ba3f7347c100a2b0f578bb,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-06,,,1,success_python,3.0,185.0,206,1339.0,1339.0,,replication_panel,0,,2.0,1,1,094aeaeeb494ad5b7f5ada26f3ca0a3df3ffa55d,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-07,,,1,success_python,2.0,203.0,236,1339.0,1339.0,,replication_panel,0,,1.0,1,0,48a6e6b7605a540c6fe4f1a5f4f2ceb4e31d59a5,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,Benzauber/convert-commander,2025-08,,,1,success_python,3.0,686.0,267,1728.0,1728.0,,replication_panel,0,,2.0,2,0,91e35d37877657be0089732cd8e4fd0c81c1822a,observed
model_a_estimability,control_not_linked_to_estimable_treatment,control,control,FMInference/FlexiGen,2024-01,,,1,success_python,0.0,0.0,0,661431.0,,661431.0,run-x-a05b-sonarqube-whole-repository,1,control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,0.0,0,0,d34f7b4b43ed87a374f394b0535ed685af66197b,carried_forward
