repo_name,repo_key,event,event_index,model_a_complete_rows,pre_treatment_complete_rows,post_treatment_complete_rows,first_complete_month,last_complete_month,borusyak_estimable,estimability_reason
1mrat/cursor-taskrunner,1mrat/cursor-taskrunner,2024-08,8,1,0,1,2024-08,2024-08,0,no_pre_treatment_complete_case_row
Anemll/Anemll,anemll/anemll,2025-02,14,6,0,6,2025-02,2025-07,0,no_pre_treatment_complete_case_row
Apocrathia/home-assistant-config,apocrathia/home-assistant-config,2025-02,14,20,13,7,2024-01,2025-08,1,estimable
Aronnaxx/Behold-Urwar-Droid-Concepts,aronnaxx/behold-urwar-droid-concepts,2025-03,15,6,0,6,2025-03,2025-08,0,no_pre_treatment_complete_case_row
AttackIQ/DetectIQ,attackiq/detectiq,2024-11,11,2,0,2,2024-11,2024-12,0,no_pre_treatment_complete_case_row
Chocksy/qc-options-framework,chocksy/qc-options-framework,2025-03,15,12,11,1,2024-04,2025-03,1,estimable
DannyMac180/mirror,dannymac180/mirror,2024-12,12,1,0,1,2024-12,2024-12,0,no_pre_treatment_complete_case_row
DataDog/integrations-core,datadog/integrations-core,2025-03,15,20,14,6,2024-01,2025-08,1,estimable
DataScienceUIBK/Rankify,datascienceuibk/rankify,2025-03,15,7,1,6,2025-02,2025-08,1,estimable
Elevate-Code/better-voice-typing,elevate-code/better-voice-typing,2024-10,10,10,0,10,2024-10,2025-07,0,no_pre_treatment_complete_case_row
Hankanman/Area-Occupancy-Detection,hankanman/area-occupancy-detection,2024-12,12,10,1,9,2024-11,2025-08,1,estimable
Kiln-AI/Kiln,kiln-ai/kiln,2025-01,13,13,5,8,2024-08,2025-08,1,estimable
KroMiose/nekro-agent,kromiose/nekro-agent,2025-01,13,14,6,8,2024-07,2025-08,1,estimable
LearningCircuit/local-deep-research,learningcircuit/local-deep-research,2025-03,15,7,1,6,2025-02,2025-08,1,estimable
MDGrey33/pyvisionai,mdgrey33/pyvisionai,2025-01,13,9,2,7,2024-11,2025-07,1,estimable
Meeting-Baas/speaking-meeting-bot,meeting-baas/speaking-meeting-bot,2024-11,11,8,0,8,2024-11,2025-06,0,no_pre_treatment_complete_case_row
Mineru98/mysql-mcp-server,mineru98/mysql-mcp-server,2025-03,15,1,0,1,2025-03,2025-03,0,no_pre_treatment_complete_case_row
Multi-V-VM/MVVM,multi-v-vm/mvvm,2025-03,15,19,14,5,2024-01,2025-07,1,estimable
Ody-Z/Trading_Game_Simulator,ody-z/trading_game_simulator,2025-02,14,1,0,1,2025-02,2025-02,0,no_pre_treatment_complete_case_row
OpenMOSS/Language-Model-SAEs,openmoss/language-model-saes,2024-12,12,17,9,8,2024-03,2025-07,1,estimable
