snapshot_key,dataset_source,scope_role,repo_name,time,clone_path,latest_commit_effective,commit_resolution,months_since_observed_commit,python_eligible,scan_status,project_key,project_version,status,ncloc_recovered,git_precheck_status,scanner_log_path,error_message,ncloc_patch_available,ncloc_patch_source
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-01,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,6,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-02,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,7,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-03,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,8,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-04,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,9,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-05,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,10,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-06,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,11,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-07,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,12,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-08,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,13,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-09,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,14,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2024-10,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,5221bbfc995e48829975b34634f55d0e5936e59a,carried_forward,15,1,success_python,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,5221bbfc995e48829975b34634f55d0e5936e59a,success,410.0,ready,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,,True,run-x-a05b-sonarqube-whole-repository
