manifest_order,dataset_source,scope_role,repo_name,clone_path,affected_repo_month_rows,first_affected_month,last_affected_month,snapshot_key,commit_sha,project_version,project_key
1,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,14,2024-01,2025-02,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e
2,control,control,Envious-Data/Env-KB,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,3,2024-01,2024-03,control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,a05b_ncloc_Envious-Data_Env-KB_e9f0ea380e53
3,control,control,FMInference/FlexiGen,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,3,2024-01,2024-03,control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,d34f7b4b43ed87a374f394b0535ed685af66197b,d34f7b4b43ed87a374f394b0535ed685af66197b,a05b_ncloc_FMInference_FlexiGen_d34f7b4b43ed
4,control,control,FlipperPA/peregrine,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,11,2024-01,2024-11,control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,dcdecaab9fccbab895f3a369c52046c47162191e,dcdecaab9fccbab895f3a369c52046c47162191e,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc
5,control,control,LGro/PyAPSI,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,3,2024-01,2024-03,control__LGro_PyAPSI__44f07dd2be73__850a292f5fc1b928,44f07dd2be7371f810474635c27c71e5baaf45ea,44f07dd2be7371f810474635c27c71e5baaf45ea,a05b_ncloc_LGro_PyAPSI_44f07dd2be73
6,control,control,R0uter/ss.conf-for-surge,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,6,2024-01,2024-06,control__R0uter_ss.conf-for-surge__1b34dbb5be92__d159df3474d54244,1b34dbb5be92aeec104591dad35623b17f715ef1,1b34dbb5be92aeec104591dad35623b17f715ef1,a05b_ncloc_R0uter_ss.conf-for-surge_1b34dbb5be92
7,control,control,Retmon403/cs2_cheats_for_python,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,1,2024-01,2024-01,control__Retmon403_cs2_cheats_for_python__5faa2e69fc99__f126afd1baa31298,5faa2e69fc99b9728245067896f5d52fe7b5f1d7,5faa2e69fc99b9728245067896f5d52fe7b5f1d7,a05b_ncloc_Retmon403_cs2_cheats_for_python_5faa2e69fc99
8,control,control,Wang-ML-Lab/unified-continual-learning,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Wang-ML-Lab_unified-continual-learning,12,2024-01,2024-12,control__Wang-ML-Lab_unified-continual-learning__ece69da47b40__e9b6c3487cd6bf18,ece69da47b40a18cd53cd89a4517c9b4c0ce29b5,ece69da47b40a18cd53cd89a4517c9b4c0ce29b5,a05b_ncloc_Wang-ML-Lab_unified-continual-learning_ece69da47b40
9,control,control,dimatura/pypcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dimatura_pypcd,5,2024-01,2024-05,control__dimatura_pypcd__940c36b37503__17ff554a9fff5402,940c36b375038ba19de8c1d6b3d292ddff8c0bd4,940c36b375038ba19de8c1d6b3d292ddff8c0bd4,a05b_ncloc_dimatura_pypcd_940c36b37503
10,control,control,djeada/Kurs-Podstaw-Pythona,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/djeada_Kurs-Podstaw-Pythona,2,2024-01,2024-02,control__djeada_Kurs-Podstaw-Pythona__28db5fdf224b__af663394d5c5dc77,28db5fdf224bfcf3916266630a5d2cc0e6908b06,28db5fdf224bfcf3916266630a5d2cc0e6908b06,a05b_ncloc_djeada_Kurs-Podstaw-Pythona_28db5fdf224b
11,control,control,jfcrenshaw/pzflow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jfcrenshaw_pzflow,1,2024-01,2024-01,control__jfcrenshaw_pzflow__268a52b8ef3e__155e34301cdf33c8,268a52b8ef3e38d3e1a4f1364a0430a8148eed22,268a52b8ef3e38d3e1a4f1364a0430a8148eed22,a05b_ncloc_jfcrenshaw_pzflow_268a52b8ef3e
12,control,control,jrowellfx/lsseq,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,7,2024-01,2024-07,control__jrowellfx_lsseq__89ee591fd919__6e52c01c11031e51,89ee591fd9198af2cf19b4e2c03c66a54cef901d,89ee591fd9198af2cf19b4e2c03c66a54cef901d,a05b_ncloc_jrowellfx_lsseq_89ee591fd919
13,control,control,lancedb/lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,3,2024-01,2024-03,control__lancedb_lancedb__a26c8f331659__ed208466eb462c28,a26c8f3316591a1a6385c482bc9078597d8d34c0,a26c8f3316591a1a6385c482bc9078597d8d34c0,a05b_ncloc_lancedb_lancedb_a26c8f331659
14,control,control,odoo/industry,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,7,2024-01,2024-07,control__odoo_industry__2be11cdea5a9__d4cf1059d41c24dd,2be11cdea5a98396919f6df9c1efba60d2e53b05,2be11cdea5a98396919f6df9c1efba60d2e53b05,a05b_ncloc_odoo_industry_2be11cdea5a9
15,control,control,ruiqini/NTFields,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,6,2024-01,2024-06,control__ruiqini_NTFields__16b9da561fb3__a37a134d35122f30,16b9da561fb359e3b829399315627b76dc94e356,16b9da561fb359e3b829399315627b76dc94e356,a05b_ncloc_ruiqini_NTFields_16b9da561fb3
16,control,control,saucer-man/qq_msg_decode,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,5,2024-01,2024-05,control__saucer-man_qq_msg_decode__ee62f41bac5b__da419abd8acb9c96,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,ee62f41bac5b3ff4550250ef11bd186f3ee7a4be,a05b_ncloc_saucer-man_qq_msg_decode_ee62f41bac5b
17,control,control,wasilukm/hoymiles-mqtt,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/wasilukm_hoymiles-mqtt,1,2024-01,2024-01,control__wasilukm_hoymiles-mqtt__0c5d55a64abb__a91935d662a6bcc1,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,0c5d55a64abb2d49b8e21b9fe01011e2ba65fe65,a05b_ncloc_wasilukm_hoymiles-mqtt_0c5d55a64abb
18,control,control,weizequan/TASHR,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,2,2024-01,2024-02,control__weizequan_TASHR__7484e548f438__62003a006754769e,7484e548f438f0ccf29562f7fafb08ed4bea7b42,7484e548f438f0ccf29562f7fafb08ed4bea7b42,a05b_ncloc_weizequan_TASHR_7484e548f438
19,treatment,treatment,cgevans/qslib,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cgevans_qslib,1,2024-01,2024-01,treatment__cgevans_qslib__f2495546efad__9d077bb9dba067bf,f2495546efada29427371a14b4caeddd5e0a0421,f2495546efada29427371a14b4caeddd5e0a0421,a05b_ncloc_cgevans_qslib_f2495546efad
20,treatment,treatment,ericmjl/pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,1,2024-01,2024-01,treatment__ericmjl_pyds-cli__c1c59db5b5a5__5ebb125a1744e1b4,c1c59db5b5a58036cd0d69eba0377388b7c09be6,c1c59db5b5a58036cd0d69eba0377388b7c09be6,a05b_ncloc_ericmjl_pyds-cli_c1c59db5b5a5
21,treatment,treatment,lss233/kirara-ai,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/lss233_kirara-ai,1,2024-01,2024-01,treatment__lss233_kirara-ai__742e32566be6__59fe36aa5b4ea124,742e32566be60609889fd085b817ea2db7e1eae4,742e32566be60609889fd085b817ea2db7e1eae4,a05b_ncloc_lss233_kirara-ai_742e32566be6
