manifest_order,dataset_source,scope_role,repo_name,clone_path,affected_repo_month_rows,first_affected_month,last_affected_month,snapshot_key,commit_sha,project_version,project_key,implementation_version,scanner_log_path,scan_started_at,scan_completed_at,status,ncloc_recovered,ce_task_id,analysis_id,error_message,git_precheck_status
1,control,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,14,2024-01,2025-02,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631,5221bbfc995e48829975b34634f55d0e5936e59a,5221bbfc995e48829975b34634f55d0e5936e59a,a05b_ncloc_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_5221bbfc995e,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__5221bbfc995e__02148d62bd1bd631.log,2026-08-02T21:53:40+00:00,2026-08-02T21:53:54+00:00,success,410.0,f389bf2c-df0b-491c-bf6f-6e275df74666,ae7eb6dc-d646-45cb-bad0-e15bfa40f179,,ready
2,control,control,Envious-Data/Env-KB,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,3,2024-01,2024-03,control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,a05b_ncloc_Envious-Data_Env-KB_e9f0ea380e53,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Envious-Data_Env-KB__e9f0ea380e53__f95934269f739d23.log,2026-08-02T21:53:54+00:00,2026-08-02T21:54:08+00:00,success,58.0,3fd7ecf4-ae92-42eb-be85-7b54d0ec4ecc,d3a9214a-a9a3-4301-acca-464cb5305a3e,,ready
3,control,control,FMInference/FlexiGen,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,3,2024-01,2024-03,control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd,d34f7b4b43ed87a374f394b0535ed685af66197b,d34f7b4b43ed87a374f394b0535ed685af66197b,a05b_ncloc_FMInference_FlexiGen_d34f7b4b43ed,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FMInference_FlexiGen__d34f7b4b43ed__e2584b77d3d5ddfd.log,2026-08-02T21:54:08+00:00,2026-08-02T21:55:31+00:00,success,661431.0,40808366-577b-4c9c-a681-5812ea29e330,9de9da31-a26f-4d4f-9c65-f6146e14c1df,,ready
4,control,control,FlipperPA/peregrine,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,11,2024-01,2024-11,control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31,dcdecaab9fccbab895f3a369c52046c47162191e,dcdecaab9fccbab895f3a369c52046c47162191e,a05b_ncloc_FlipperPA_peregrine_dcdecaab9fcc,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__FlipperPA_peregrine__dcdecaab9fcc__571d30a401918d31.log,2026-08-02T21:55:31+00:00,2026-08-02T21:55:46+00:00,success,1427.0,e2235d5d-1c0f-4591-a2e2-cd38da9c44ff,ea92ef72-3b98-436f-8b50-f8204adee837,,ready
5,control,control,LGro/PyAPSI,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LGro_PyAPSI,3,2024-01,2024-03,control__LGro_PyAPSI__44f07dd2be73__850a292f5fc1b928,44f07dd2be7371f810474635c27c71e5baaf45ea,44f07dd2be7371f810474635c27c71e5baaf45ea,a05b_ncloc_LGro_PyAPSI_44f07dd2be73,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__LGro_PyAPSI__44f07dd2be73__850a292f5fc1b928.log,2026-08-02T21:55:46+00:00,2026-08-02T21:56:00+00:00,success,413.0,b83f1de1-68d7-4e08-822e-575d7b406a6f,9c9b4c14-b66d-4e3e-a5e3-757eac780689,,ready
6,control,control,R0uter/ss.conf-for-surge,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/R0uter_ss.conf-for-surge,6,2024-01,2024-06,control__R0uter_ss.conf-for-surge__1b34dbb5be92__d159df3474d54244,1b34dbb5be92aeec104591dad35623b17f715ef1,1b34dbb5be92aeec104591dad35623b17f715ef1,a05b_ncloc_R0uter_ss.conf-for-surge_1b34dbb5be92,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__R0uter_ss.conf-for-surge__1b34dbb5be92__d159df3474d54244.log,2026-08-02T21:56:00+00:00,2026-08-02T21:56:16+00:00,success,231.0,a0ea69e1-ed8f-44a9-b319-246ecf1660c4,09ad7480-8935-4327-9435-b94ece9d2fb7,,ready
7,control,control,Retmon403/cs2_cheats_for_python,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Retmon403_cs2_cheats_for_python,1,2024-01,2024-01,control__Retmon403_cs2_cheats_for_python__5faa2e69fc99__f126afd1baa31298,5faa2e69fc99b9728245067896f5d52fe7b5f1d7,5faa2e69fc99b9728245067896f5d52fe7b5f1d7,a05b_ncloc_Retmon403_cs2_cheats_for_python_5faa2e69fc99,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Retmon403_cs2_cheats_for_python__5faa2e69fc99__f126afd1baa31298.log,2026-08-02T21:56:16+00:00,2026-08-02T21:56:29+00:00,success,4203.0,26478e02-467c-4fd6-85e1-eabc43dc56ee,f07a185f-c7e5-4874-a3a3-728ba09f2592,,ready
8,control,control,Wang-ML-Lab/unified-continual-learning,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Wang-ML-Lab_unified-continual-learning,12,2024-01,2024-12,control__Wang-ML-Lab_unified-continual-learning__ece69da47b40__e9b6c3487cd6bf18,ece69da47b40a18cd53cd89a4517c9b4c0ce29b5,ece69da47b40a18cd53cd89a4517c9b4c0ce29b5,a05b_ncloc_Wang-ML-Lab_unified-continual-learning_ece69da47b40,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__Wang-ML-Lab_unified-continual-learning__ece69da47b40__e9b6c3487cd6bf18.log,2026-08-02T21:56:29+00:00,2026-08-02T21:56:43+00:00,success,3650.0,5293fcb2-d5ff-4446-8a8e-99a9b81eb87c,096e2e26-b1e4-472a-93a0-5265e0e0af9e,,ready
9,control,control,dimatura/pypcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dimatura_pypcd,5,2024-01,2024-05,control__dimatura_pypcd__940c36b37503__17ff554a9fff5402,940c36b375038ba19de8c1d6b3d292ddff8c0bd4,940c36b375038ba19de8c1d6b3d292ddff8c0bd4,a05b_ncloc_dimatura_pypcd_940c36b37503,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__dimatura_pypcd__940c36b37503__17ff554a9fff5402.log,2026-08-02T21:56:43+00:00,2026-08-02T21:56:57+00:00,success,2447.0,a257c3d6-c11e-479f-8f10-af08ef23cab9,ee4f0517-38a6-44e6-84cf-dda08a9a100b,,ready
10,control,control,djeada/Kurs-Podstaw-Pythona,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/djeada_Kurs-Podstaw-Pythona,2,2024-01,2024-02,control__djeada_Kurs-Podstaw-Pythona__28db5fdf224b__af663394d5c5dc77,28db5fdf224bfcf3916266630a5d2cc0e6908b06,28db5fdf224bfcf3916266630a5d2cc0e6908b06,a05b_ncloc_djeada_Kurs-Podstaw-Pythona_28db5fdf224b,v1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-a05b/scanner_logs/control__djeada_Kurs-Podstaw-Pythona__28db5fdf224b__af663394d5c5dc77.log,2026-08-02T21:56:57+00:00,2026-08-02T21:57:11+00:00,success,2989.0,b7222117-c5bd-41b4-8be8-e8343ba13265,7240a226-8d40-429e-a0df-ffdf8162b31a,,ready
