section,metric,value,note
input,rows,1954,""
input,repositories,167,""
input,treatment_rows,914,""
input,control_rows,1040,""
input,treatment_repositories,63,""
input,control_repositories,104,""
sample,untreated_first_stage_rows,1591,Controls plus not-yet-treated treatment observations.
sample,treated_static_rows,363,All event-time 0 and later observations.
sample,treated_dynamic_0_to_max_rows,343,Event times 0 through 6.
qc,duplicate_repo_time_rows,0,""
qc,normalized_timing_errors,0,""
qc,missing_model_rows,0,""
qc,legacy_mismatch_rows,11,Audit only; normalized absorbing timing is authoritative.
qc,legacy_mismatch_repositories,3,""
