manifest_order,dataset_source,repo_name,repo_key,latest_commit_effective,repo_month_rows,first_panel_month,last_panel_month,commit_resolution_values,max_months_since_observed_commit,clone_path,python_file_count_all,python_file_count_source,tracked_file_count,ncloc_model_a,ncloc_source_values,ncloc_recovery_applied_repo_month_rows,ncloc_recovery_snapshot_key,ncloc_py_status,commit_sha,snapshot_key,project_key,project_version,scan_scope,python_file_count_manifest,scan_attempt,status,git_precheck_status,python_file_count_git,python_file_count_matches_manifest,scanner_return_code,ce_task_id,analysis_id,scanner_log_path,scan_started_at,scan_completed_at,runtime_seconds,error_stage,error_message,ncloc_py_status_original,ncloc_py_original,ncloc_py,ncloc_py_available,ncloc_py_source
2,control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2019211474/dl-nasa-soh-cnn-bilstm-attention,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,1,2025-03,2025-03,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/2019211474_DL-NASA-SOH-CNN-BILSTM-Attention,3.0,3.0,15.0,410.0,replication_panel,0,,dry_run,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__2155b95284b5__74afd693fefd6d61,b01_ncloc_py_control_2019211474_DL-NASA-SOH-CNN-BILSTM-Attention_2155b95284b5_74afd693fefd,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,python_only_sonar_inclusions,3,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__2019211474_DL-NASA-SOH-CNN-BILSTM-Attention__2155b95284b5__74afd693fefd6d61.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
3,control,AkariAsai/ScholarQABench,akariasai/scholarqabench,8f63e5b270ac2eac04ba06bfe42913388087f87f,3,2024-11,2025-01,carried_forward | observed,2,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,7.0,7.0,20.0,1469.0,replication_panel,0,,dry_run,8f63e5b270ac2eac04ba06bfe42913388087f87f,control__AkariAsai_ScholarQABench__8f63e5b270ac__82c4d2efd3a0ff8f,b01_ncloc_py_control_AkariAsai_ScholarQABench_8f63e5b270ac_82c4d2efd3a0,8f63e5b270ac2eac04ba06bfe42913388087f87f,python_only_sonar_inclusions,7,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__AkariAsai_ScholarQABench__8f63e5b270ac__82c4d2efd3a0ff8f.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
4,control,AkariAsai/ScholarQABench,akariasai/scholarqabench,c439fbce548b5fab5ff5304e748763e6c8b2b014,2,2025-02,2025-03,carried_forward | observed,1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,8.0,8.0,24.0,1602.0,replication_panel,0,,dry_run,c439fbce548b5fab5ff5304e748763e6c8b2b014,control__AkariAsai_ScholarQABench__c439fbce548b__a384895fe479365a,b01_ncloc_py_control_AkariAsai_ScholarQABench_c439fbce548b_a384895fe479,c439fbce548b5fab5ff5304e748763e6c8b2b014,python_only_sonar_inclusions,8,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__AkariAsai_ScholarQABench__c439fbce548b__a384895fe479365a.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
5,control,AkariAsai/ScholarQABench,akariasai/scholarqabench,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,3,2025-04,2025-06,carried_forward | observed,2,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,8.0,8.0,24.0,1602.0,replication_panel,0,,dry_run,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,control__AkariAsai_ScholarQABench__05b6bc5cd46a__42ca0f5139133a63,b01_ncloc_py_control_AkariAsai_ScholarQABench_05b6bc5cd46a_42ca0f513913,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,python_only_sonar_inclusions,8,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__AkariAsai_ScholarQABench__05b6bc5cd46a__42ca0f5139133a63.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
6,control,AkariAsai/ScholarQABench,akariasai/scholarqabench,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,1,2025-07,2025-07,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,8.0,8.0,24.0,1602.0,replication_panel,0,,dry_run,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,control__AkariAsai_ScholarQABench__a87a5e9cf891__c44930b310ea4c1b,b01_ncloc_py_control_AkariAsai_ScholarQABench_a87a5e9cf891_c44930b310ea,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,python_only_sonar_inclusions,8,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__AkariAsai_ScholarQABench__a87a5e9cf891__c44930b310ea4c1b.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
7,control,AkariAsai/ScholarQABench,akariasai/scholarqabench,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,1,2025-08,2025-08,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/AkariAsai_ScholarQABench,8.0,8.0,24.0,1602.0,replication_panel,0,,dry_run,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,control__AkariAsai_ScholarQABench__95e6fc52b0a8__f5c7b70409428779,b01_ncloc_py_control_AkariAsai_ScholarQABench_95e6fc52b0a8_f5c7b7040942,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,python_only_sonar_inclusions,8,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__AkariAsai_ScholarQABench__95e6fc52b0a8__f5c7b70409428779.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
8,control,ArpiarSaundersLab/annsql,arpiarsaunderslab/annsql,743f9eb70bd0a38892c47d6d7edb2598464bbd56,1,2024-09,2024-09,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,11.0,11.0,27.0,779.0,replication_panel,0,,dry_run,743f9eb70bd0a38892c47d6d7edb2598464bbd56,control__ArpiarSaundersLab_annsql__743f9eb70bd0__ba48d9582c39e2b6,b01_ncloc_py_control_ArpiarSaundersLab_annsql_743f9eb70bd0_ba48d9582c39,743f9eb70bd0a38892c47d6d7edb2598464bbd56,python_only_sonar_inclusions,11,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__ArpiarSaundersLab_annsql__743f9eb70bd0__ba48d9582c39e2b6.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
9,control,ArpiarSaundersLab/annsql,arpiarsaunderslab/annsql,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,1,2024-10,2024-10,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,11.0,11.0,30.0,1027.0,replication_panel,0,,dry_run,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,control__ArpiarSaundersLab_annsql__c66fb84a7ce4__8a643b5f717125b3,b01_ncloc_py_control_ArpiarSaundersLab_annsql_c66fb84a7ce4_8a643b5f7171,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,python_only_sonar_inclusions,11,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__ArpiarSaundersLab_annsql__c66fb84a7ce4__8a643b5f717125b3.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
10,control,ArpiarSaundersLab/annsql,arpiarsaunderslab/annsql,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,1,2024-11,2024-11,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,14.0,14.0,34.0,1416.0,replication_panel,0,,dry_run,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,control__ArpiarSaundersLab_annsql__dd27a7d1a7b0__850275de23e15cbf,b01_ncloc_py_control_ArpiarSaundersLab_annsql_dd27a7d1a7b0_850275de23e1,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,python_only_sonar_inclusions,14,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__ArpiarSaundersLab_annsql__dd27a7d1a7b0__850275de23e15cbf.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
11,control,ArpiarSaundersLab/annsql,arpiarsaunderslab/annsql,95458872d923921d3231becd2429b327a626bb6d,1,2024-12,2024-12,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ArpiarSaundersLab_annsql,14.0,14.0,34.0,1416.0,replication_panel,0,,dry_run,95458872d923921d3231becd2429b327a626bb6d,control__ArpiarSaundersLab_annsql__95458872d923__23cc042d9cb108a8,b01_ncloc_py_control_ArpiarSaundersLab_annsql_95458872d923_23cc042d9cb1,95458872d923921d3231becd2429b327a626bb6d,python_only_sonar_inclusions,14,2,dry_run,not_checked_dry_run,,,,,,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_x01/run-x-b01/scanner_logs/control__ArpiarSaundersLab_annsql__95458872d923__23cc042d9cb108a8.log,2026-08-03T03:50:29+00:00,2026-08-03T03:50:29+00:00,0.0,,,pending_sonarqube,,,False,
