section,metric,value,note
implementation,version,v2,
input,matching_pair_rows,345,
input,skip_repository_rows,8,
definition,python_eligibility,tracked_py_file_count_gt_0,Primary eligibility requires at least one tracked .py path in latest_commit_effective.
definition,empty_latest_commit_resolution,repository_forward_fill,Empty monthly latest_commit values use the most recent observed commit from the same repository.
definition,unknown_eligibility,blank,Failed or unavailable snapshots keep Python eligibility and file counts missing rather than zero.
definition,secondary_source_excluded_dirs,.eggs;.nox;.tox;.venv;__pycache__;build;dist;env;generated;node_modules;site-packages;third-party;third_party;vendor;venv,Applied only to python_file_count_source; it does not change primary eligibility.
scope,treatment_repositories,115,
scope,treatment_repo_month_rows,2830,
result,treatment_repo_months_with_python,2787,
result,treatment_repo_months_without_python,41,
result,treatment_repo_month_scan_failures,2,
resolution,treatment_repo_months_carried_forward,708,
scope,control_repositories,162,
scope,control_repo_month_rows,3655,
result,control_repo_months_with_python,3494,
result,control_repo_months_without_python,160,
result,control_repo_month_scan_failures,1,
resolution,control_repo_months_carried_forward,1535,
input,treatment_monthly_rows_selected,2830,
input,control_monthly_rows_selected,3655,
result,total_repo_month_rows,6485,
result,unique_historical_snapshots_scanned,4242,
result,total_repo_months_with_python,6281,
result,total_repo_months_without_python,201,
result,total_repo_months_unknown,3,
result,total_repo_month_scan_failures,3,
panel,matching_scope_panel_rows,2320,
panel,panel_rows_joined_to_eligibility,2320,
panel,panel_rows_missing_monthly_snapshot,0,
panel,panel_rows_with_resolved_python_eligibility,2317,
panel,panel_rows_with_unknown_python_eligibility,3,
qc,anomaly_rows,37,
commit_resolution,carried_forward,2243,
commit_resolution,observed,4242,
scan_status,commit_not_found,2,
scan_status,missing_clone,1,
scan_status,success_no_python,201,
scan_status,success_python,6281,
anomaly_type,repo_month_scan_failure,3,
anomaly_type,scope_repo_missing_monthly_rows,1,
anomaly_type,scope_repo_missing_panel_rows,33,
