section,metric,value,note
implementation,version,v1,
definition,target,python_eligible_repo_month_with_missing_ncloc,
definition,scan_scope,whole_repository,"Model A NCLOC, not Python-only NCLOC."
definition,checkout_method,detached_temporary_git_worktree,
definition,dry_run,0,
input,pooled_panel_rows,2224,
target,missing_ncloc_repo_month_rows,128,
target,unique_repository_commit_snapshots,28,
target_by_role,control_snapshots,18,
target_by_role,control_affected_repo_month_rows,92,
target_by_role,treatment_snapshots,10,
target_by_role,treatment_affected_repo_month_rows,36,
result_status,success,28,
result,successful_snapshots,28,
result,ncloc_min,58.0,
result,ncloc_median,2133.0,
result,ncloc_max,661431.0,
patch,repo_month_rows_with_recovered_ncloc,128,
patch,repo_month_rows_without_recovered_ncloc,0,
